Data Rombel Kota Palembang - Dapodikdasmen;;;;;;;;;;;;;
No;Wilayah;Total;TK;KB;TPA;SPS;PKBM;SKB;SD;SMP;SMA;SMK;SLB
1;Kec. Sukarami;1,459;151;45;2;7;31;0;618;249;140;134;82
2;Kec. Ilir Barat I;1,307;133;38;0;6;24;0;544;197;238;109;18
3;Kec. Kalidoni;1,088;95;37;0;2;59;0;529;206;87;73;0
4;Kec. Kemuning;1,019;73;13;0;7;15;0;415;149;151;154;42
5;Kec. Ilir Timur II;825;41;17;0;4;0;0;271;101;243;124;24
6;Kec. Sako;817;116;23;0;10;21;0;334;161;65;40;47
7;Kec. Plaju;770;49;26;0;4;7;0;391;146;69;78;0
8;Kec. Kertapati;733;27;31;1;13;4;0;371;147;76;63;0
9;Kec. Alang-Alang Lebar;703;82;46;1;1;10;17;287;162;60;7;30
10;Kec. Ilir Timur I;695;46;8;0;0;4;0;242;133;109;153;0
11;Kec. Seberang Ulu I;604;21;39;0;0;14;0;232;74;120;104;0
12;Kec. Seberang Ulu II;603;52;26;0;2;9;0;227;124;85;68;10
13;Kec. Jakabaring;549;46;20;0;1;1;0;321;160;0;0;0
14;Kec. Ilir Timur III;526;61;22;0;7;38;0;224;174;0;0;0
15;Kec. Gandus;493;35;42;0;3;2;0;235;113;63;0;0
16;Kec. Ilir Barat II;374;32;14;0;5;28;0;153;76;36;30;0
17;Kec. Bukit Kecil;369;28;11;0;0;34;0;194;87;14;1;0
18;Kec. Sematang Borang;271;40;15;0;14;17;0;116;55;0;14;0
Total;Total;13,205;1,128;473;4;86;318;17;5,704;2,514;1,556;1,152;253
