Data Guru Kota Palembang - Dapodikdasmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;TK;;;KB;;;TPA;;;SPS;;;PKBM;;;SKB;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Kec. Ilir Barat I;2,057;435;1,622;142;4;138;37;4;33;0;0;0;3;0;3;13;5;8;0;0;0;775;144;631;333;88;245;496;134;362;237;53;184;21;3;18
2;Kec. Sukarami;1,931;387;1,544;163;1;162;40;1;39;3;0;3;7;0;7;13;5;8;0;0;0;743;113;630;369;64;305;298;103;195;199;77;122;96;23;73
3;Kec. Kemuning;1,668;441;1,227;94;0;94;10;0;10;0;0;0;4;0;4;0;0;0;0;0;0;627;135;492;260;72;188;327;102;225;310;124;186;36;8;28
4;Kec. Kalidoni;1,393;259;1,134;106;3;103;38;0;38;0;0;0;2;0;2;24;3;21;0;0;0;667;101;566;306;86;220;158;34;124;92;32;60;0;0;0
5;Kec. Ilir Timur II;1,267;316;951;51;1;50;19;0;19;0;0;0;5;0;5;0;0;0;0;0;0;367;73;294;159;40;119;460;158;302;195;42;153;11;2;9
6;Kec. Ilir Timur I;1,139;311;828;49;1;48;10;0;10;0;0;0;0;0;0;6;1;5;0;0;0;332;63;269;204;62;142;206;75;131;332;109;223;0;0;0
7;Kec. Plaju;1,105;238;867;53;1;52;19;0;19;0;0;0;3;1;2;8;3;5;0;0;0;503;89;414;225;56;169;152;40;112;142;48;94;0;0;0
8;Kec. Sako;1,078;193;885;114;2;112;22;0;22;0;0;0;9;0;9;16;2;14;0;0;0;448;77;371;258;57;201;136;39;97;39;12;27;36;4;32
9;Kec. Alang-Alang Lebar;1,019;212;807;92;1;91;43;3;40;1;0;1;1;0;1;5;2;3;16;2;14;397;76;321;286;78;208;136;46;90;21;3;18;21;1;20
10;Kec. Seberang Ulu I;910;191;719;27;1;26;34;2;32;0;0;0;0;0;0;6;0;6;0;0;0;291;38;253;104;22;82;238;71;167;210;57;153;0;0;0
11;Kec. Kertapati;896;188;708;27;0;27;32;1;31;1;0;1;11;0;11;0;0;0;0;0;0;437;93;344;198;44;154;123;26;97;67;24;43;0;0;0
12;Kec. Seberang Ulu II;788;169;619;54;0;54;25;1;24;0;0;0;2;0;2;4;2;2;0;0;0;309;66;243;173;39;134;127;35;92;88;26;62;6;0;6
13;Kec. Ilir Timur III;748;151;597;66;0;66;25;2;23;0;0;0;7;0;7;30;5;25;0;0;0;334;68;266;286;76;210;0;0;0;0;0;0;0;0;0
14;Kec. Jakabaring;734;130;604;53;0;53;16;0;16;0;0;0;0;0;0;2;0;2;0;0;0;408;69;339;255;61;194;0;0;0;0;0;0;0;0;0
15;Kec. Gandus;654;127;527;29;0;29;36;1;35;0;0;0;1;1;0;1;0;1;0;0;0;298;49;249;161;42;119;128;34;94;0;0;0;0;0;0
16;Kec. Bukit Kecil;507;110;397;36;0;36;9;0;9;0;0;0;0;0;0;13;1;12;0;0;0;266;58;208;145;36;109;27;9;18;11;6;5;0;0;0
17;Kec. Ilir Barat II;453;78;375;30;0;30;12;1;11;0;0;0;3;0;3;32;5;27;0;0;0;177;29;148;109;23;86;54;15;39;36;5;31;0;0;0
18;Kec. Sematang Borang;320;66;254;40;0;40;14;0;14;0;0;0;14;0;14;10;6;4;0;0;0;142;29;113;75;22;53;0;0;0;25;9;16;0;0;0
Total;Total;18,667;4,002;14,665;1,226;15;1,211;441;16;425;5;0;5;72;2;70;183;40;143;16;2;14;7,521;1,37;6,151;3,906;968;2,938;3,066;921;2,145;2,004;627;1,377;227;41;186
