Data Peserta Didik Kota Palembang - Dapodikdasmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;TK;;;KB;;;TPA;;;SPS;;;PKBM;;;SKB;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Kec. Sukarami;39,225;20,433;18,792;2,025;1,024;1,001;736;356;380;0;0;0;157;84;73;309;233;76;0;0;0;18,77;9,718;9,052;8,445;4,361;4,084;4,513;1,947;2,566;3,867;2,458;1,409;403;252;151
2;Kec. Ilir Barat I;33,924;16,913;17,011;1,807;910;897;566;299;267;0;0;0;58;32;26;397;240;157;0;0;0;13,803;7,254;6,549;5,8;2,975;2,825;8,143;3,876;4,267;3,293;1,289;2,004;57;38;19
3;Kec. Kemuning;27,954;14,639;13,315;1,028;551;477;211;114;97;0;0;0;131;69;62;131;100;31;0;0;0;11,634;5,937;5,697;4,935;2,439;2,496;5,149;2,182;2,967;4,483;3,104;1,379;252;143;109
4;Kec. Kalidoni;27,526;14,495;13,031;1,46;776;684;471;227;244;0;0;0;28;9;19;932;624;308;0;0;0;13,598;7,06;6,538;6,215;3,22;2,995;2,74;1,253;1,487;2,082;1,326;756;0;0;0
5;Kec. Ilir Timur II;21,635;10,608;11,027;699;351;348;274;145;129;0;0;0;21;11;10;0;0;0;0;0;0;6,882;3,503;3,379;2,922;1,474;1,448;7,285;3,324;3,961;3,451;1,741;1,71;101;59;42
6;Kec. Sako;20,801;10,277;10,524;1,685;894;791;437;213;224;0;0;0;147;78;69;312;180;132;0;0;0;9,808;5,045;4,763;5,153;2,501;2,652;2,249;881;1,368;812;365;447;198;120;78
7;Kec. Kertapati;20,094;10,215;9,879;424;199;225;618;304;314;18;11;7;239;125;114;34;25;9;0;0;0;9,248;4,889;4,359;4,686;2,308;2,378;2,555;1,153;1,402;2,272;1,201;1,071;0;0;0
8;Kec. Plaju;19,426;10,077;9,349;815;433;382;417;206;211;0;0;0;51;25;26;90;53;37;0;0;0;9,955;5,19;4,765;4,186;2,128;2,058;1,955;862;1,093;1,957;1,18;777;0;0;0
9;Kec. Ilir Timur I;18,604;9,979;8,625;736;396;340;96;51;45;0;0;0;0;0;0;10;7;3;0;0;0;6,056;3,116;2,94;3,852;1,938;1,914;3,39;1,649;1,741;4,464;2,822;1,642;0;0;0
10;Kec. Alang-Alang Lebar;17,51;8,883;8,627;1,226;626;600;707;395;312;28;14;14;14;4;10;30;18;12;412;309;103;7,963;4,111;3,852;4,835;2,324;2,511;2,003;950;1,053;145;15;130;147;117;30
11;Kec. Seberang Ulu I;16,068;7,957;8,111;412;192;220;681;355;326;0;0;0;0;0;0;120;85;35;0;0;0;6,193;3,23;2,963;2,137;1,069;1,068;3,706;1,708;1,998;2,819;1,318;1,501;0;0;0
12;Kec. Seberang Ulu II;15,476;8,163;7,313;806;417;389;457;248;209;0;0;0;56;35;21;107;72;35;0;0;0;5,77;3,003;2,767;3,729;1,872;1,857;2,64;1,203;1,437;1,894;1,299;595;17;14;3
13;Kec. Jakabaring;14,524;7,446;7,078;614;321;293;366;190;176;0;0;0;15;5;10;0;0;0;0;0;0;8,686;4,497;4,189;4,843;2,433;2,41;0;0;0;0;0;0;0;0;0
14;Kec. Gandus;13,23;6,605;6,625;566;288;278;891;492;399;0;0;0;32;15;17;0;0;0;0;0;0;6,133;3,079;3,054;3,565;1,752;1,813;2,043;979;1,064;0;0;0;0;0;0
15;Kec. Ilir Timur III;12,857;6,617;6,24;1,007;525;482;394;210;184;0;0;0;58;35;23;429;257;172;0;0;0;5,704;2,959;2,745;5,265;2,631;2,634;0;0;0;0;0;0;0;0;0
16;Kec. Ilir Barat II;9,824;5,204;4,62;489;258;231;237;119;118;0;0;0;50;25;25;372;266;106;0;0;0;4,129;2,159;1,97;2,335;1,211;1,124;1,108;593;515;1,104;573;531;0;0;0
17;Kec. Bukit Kecil;8,862;4,559;4,303;389;214;175;164;75;89;0;0;0;0;0;0;372;205;167;0;0;0;4,989;2,602;2,387;2,688;1,32;1,368;260;143;117;0;0;0;0;0;0
18;Kec. Sematang Borang;6,754;3,562;3,192;635;341;294;267;117;150;0;0;0;170;89;81;249;195;54;0;0;0;3,434;1,79;1,644;1,607;825;782;0;0;0;392;205;187;0;0;0
Total;Total;344,294;176,632;167,662;16,823;8,716;8,107;7,99;4,116;3,874;46;25;21;1,227;641;586;3,894;2,56;1,334;412;309;103;152,755;79,142;73,613;77,198;38,781;38,417;49,739;22,703;27,036;33,035;18,896;14,139;1,175;743;432
