Data Sekolah Kota Palembang - Dapodikdasmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;TK;;;KB;;;TPA;;;SPS;;;PKBM;;;SKB;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S
1;Kec. Sukarami;167;34;133;56;0;56;31;0;31;0;0;0;10;0;10;4;0;4;0;0;0;27;22;5;18;7;11;12;3;9;8;1;7;1;1;0
2;Kec. Ilir Barat I;154;42;112;42;1;41;26;0;26;0;0;0;5;0;5;2;0;2;0;0;0;38;29;9;18;6;12;16;4;12;6;2;4;1;0;1
3;Kec. Kalidoni;126;34;92;28;0;28;24;0;24;0;0;0;1;0;1;5;0;5;0;0;0;38;28;10;18;5;13;7;1;6;5;0;5;0;0;0
4;Kec. Sako;123;17;106;49;0;49;21;0;21;0;0;0;5;0;5;3;0;3;0;0;0;20;11;9;12;4;8;5;2;3;4;0;4;4;0;4
5;Kec. Ilir Timur II;104;18;86;22;0;22;14;0;14;0;0;0;4;0;4;0;0;0;0;0;0;22;13;9;11;2;9;19;2;17;10;1;9;2;0;2
6;Kec. Kemuning;96;19;77;17;1;16;11;0;11;0;0;0;8;0;8;2;0;2;0;0;0;23;11;12;11;3;8;9;2;7;12;2;10;3;0;3
7;Kec. Kertapati;93;32;61;7;1;6;25;0;25;1;0;1;6;0;6;2;0;2;0;0;0;34;27;7;12;3;9;4;1;3;2;0;2;0;0;0
8;Kec. Alang-Alang Lebar;92;16;76;28;1;27;24;0;24;2;0;2;2;0;2;1;0;1;1;1;0;18;9;9;10;4;6;3;1;2;1;0;1;2;0;2
9;Kec. Plaju;85;19;66;10;0;10;14;0;14;0;0;0;2;0;2;2;0;2;0;0;0;27;15;12;16;3;13;8;1;7;6;0;6;0;0;0
10;Kec. Seberang Ulu II;85;17;68;21;1;20;16;0;16;0;0;0;2;0;2;1;0;1;0;0;0;18;13;5;12;2;10;8;1;7;6;0;6;1;0;1
11;Kec. Ilir Timur I;79;12;67;24;0;24;10;0;10;0;0;0;0;0;0;1;0;1;0;0;0;18;7;11;12;2;10;7;1;6;7;2;5;0;0;0
12;Kec. Gandus;70;21;49;13;0;13;23;0;23;0;0;0;3;0;3;1;0;1;0;0;0;17;14;3;8;5;3;5;2;3;0;0;0;0;0;0
13;Kec. Seberang Ulu I;67;19;48;9;0;9;15;0;15;0;0;0;1;0;1;2;0;2;0;0;0;16;13;3;6;2;4;11;3;8;7;1;6;0;0;0
14;Kec. Ilir Timur III;64;9;55;18;0;18;11;0;11;0;0;0;2;0;2;3;0;3;0;0;0;16;7;9;14;2;12;0;0;0;0;0;0;0;0;0
15;Kec. Jakabaring;60;17;43;15;1;14;10;0;10;0;0;0;2;0;2;0;0;0;0;0;0;20;11;9;13;5;8;0;0;0;0;0;0;0;0;0
16;Kec. Ilir Barat II;48;11;37;10;0;10;9;0;9;1;0;1;2;0;2;3;0;3;0;0;0;10;9;1;6;2;4;4;0;4;3;0;3;0;0;0
17;Kec. Bukit Kecil;43;8;35;9;0;9;12;0;12;0;0;0;0;0;0;2;0;2;0;0;0;12;6;6;7;2;5;1;0;1;0;0;0;0;0;0
18;Kec. Sematang Borang;39;7;32;15;1;14;8;0;8;0;0;0;4;0;4;2;0;2;0;0;0;6;4;2;3;2;1;0;0;0;1;0;1;0;0;0
Total;Total;1,595;352;1,243;393;7;386;304;0;304;4;0;4;59;0;59;36;0;36;1;1;0;380;249;131;207;61;146;119;24;95;78;9;69;14;1;13
