Data Guru Kota Palembang - Dapodikdasmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;TK;;;KB;;;TPA;;;SPS;;;PKBM;;;SKB;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Kec. Ilir Barat I;2,134;442;1,692;145;4;141;43;4;39;0;0;0;4;0;4;17;6;11;0;0;0;797;151;646;377;95;282;496;128;368;231;51;180;24;3;21
2;Kec. Sukarami;2,111;405;1,706;189;2;187;47;1;46;2;0;2;10;0;10;14;6;8;0;0;0;834;128;706;420;75;345;296;96;200;207;78;129;92;19;73
3;Kec. Kemuning;1,687;436;1,251;93;1;92;11;0;11;0;0;0;6;0;6;2;0;2;0;0;0;632;129;503;276;75;201;314;94;220;313;128;185;40;9;31
4;Kec. Kalidoni;1,492;285;1,207;108;3;105;38;0;38;1;0;1;2;0;2;32;7;25;0;0;0;712;111;601;338;95;243;165;36;129;96;33;63;0;0;0
5;Kec. Ilir Timur II;1,302;316;986;49;1;48;22;1;21;0;0;0;7;0;7;0;0;0;0;0;0;362;69;293;166;44;122;487;149;338;197;50;147;12;2;10
6;Kec. Plaju;1,16;245;915;55;0;55;15;0;15;0;0;0;3;1;2;8;3;5;0;0;0;527;93;434;263;65;198;153;37;116;136;46;90;0;0;0
7;Kec. Ilir Timur I;1,154;314;840;48;1;47;9;0;9;0;0;0;0;0;0;6;1;5;0;0;0;358;71;287;202;62;140;199;72;127;332;107;225;0;0;0
8;Kec. Sako;1,13;211;919;119;2;117;31;0;31;0;0;0;5;0;5;11;1;10;0;0;0;474;84;390;270;61;209;147;43;104;35;14;21;38;6;32
9;Kec. Alang-Alang Lebar;1,091;218;873;100;0;100;48;3;45;1;0;1;1;0;1;5;2;3;13;1;12;428;77;351;301;82;219;146;46;100;22;5;17;26;2;24
10;Kec. Kertapati;965;204;761;25;0;25;36;1;35;1;0;1;13;0;13;0;0;0;0;0;0;476;102;374;212;47;165;126;25;101;76;29;47;0;0;0
11;Kec. Seberang Ulu I;944;209;735;28;1;27;32;0;32;0;0;0;0;0;0;7;0;7;0;0;0;299;45;254;119;24;95;246;75;171;213;64;149;0;0;0
12;Kec. Seberang Ulu II;808;174;634;56;0;56;22;1;21;0;0;0;2;0;2;4;2;2;0;0;0;323;69;254;179;42;137;126;33;93;88;27;61;8;0;8
13;Kec. Ilir Timur III;777;165;612;67;1;66;26;2;24;0;0;0;7;0;7;38;8;30;0;0;0;341;71;270;298;83;215;0;0;0;0;0;0;0;0;0
14;Kec. Jakabaring;773;145;628;57;0;57;21;0;21;0;0;0;1;0;1;1;0;1;0;0;0;435;83;352;258;62;196;0;0;0;0;0;0;0;0;0
15;Kec. Gandus;720;149;571;38;0;38;39;1;38;0;0;0;2;1;1;1;0;1;0;0;0;321;58;263;189;53;136;130;36;94;0;0;0;0;0;0
16;Kec. Bukit Kecil;552;112;440;39;0;39;8;0;8;0;0;0;0;0;0;13;1;12;0;0;0;284;55;229;153;38;115;43;14;29;12;4;8;0;0;0
17;Kec. Ilir Barat II;498;95;403;30;0;30;12;0;12;0;0;0;5;0;5;32;6;26;0;0;0;205;39;166;120;26;94;60;18;42;34;6;28;0;0;0
18;Kec. Sematang Borang;358;78;280;45;0;45;16;0;16;0;0;0;10;0;10;11;7;4;0;0;0;156;35;121;94;27;67;0;0;0;26;9;17;0;0;0
Total;Total;19,656;4,203;15,453;1,291;16;1,275;476;14;462;5;0;5;78;2;76;202;50;152;13;1;12;7,964;1,47;6,494;4,235;1,056;3,179;3,134;902;2,232;2,018;651;1,367;240;41;199
