Data Peserta Didik Kota Palembang - Dapodikdasmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;TK;;;KB;;;TPA;;;SPS;;;PKBM;;;SKB;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Kec. Sukarami;38,203;20,033;18,17;1,594;820;774;652;324;328;0;0;0;283;147;136;286;206;80;0;0;0;18,587;9,655;8,932;8,24;4,209;4,031;4,114;1,794;2,32;4,044;2,636;1,408;403;242;161
2;Kec. Ilir Barat I;33,254;16,557;16,697;1,435;742;693;497;254;243;0;0;0;79;45;34;267;181;86;0;0;0;13,899;7,283;6,616;5,986;3,024;2,962;7,401;3,564;3,837;3,635;1,428;2,207;55;36;19
3;Kec. Kemuning;29,579;15,511;14,068;986;506;480;239;130;109;0;0;0;157;87;70;148;119;29;0;0;0;12,579;6,446;6,133;5,058;2,497;2,561;5,006;2,179;2,827;5,121;3,387;1,734;285;160;125
4;Kec. Kalidoni;26,349;13,861;12,488;1,018;524;494;454;222;232;0;0;0;17;7;10;592;422;170;0;0;0;13,358;6,995;6,363;6,218;3,115;3,103;2,527;1,109;1,418;2,165;1,467;698;0;0;0
5;Kec. Ilir Timur II;23,467;11,438;12,029;680;341;339;289;143;146;0;0;0;39;19;20;0;0;0;0;0;0;7,283;3,69;3,593;3,044;1,549;1,495;7,902;3,59;4,312;4,13;2,047;2,083;100;59;41
6;Kec. Kertapati;20,699;10,555;10,144;437;220;217;598;307;291;30;12;18;228;121;107;174;124;50;0;0;0;9,67;5,085;4,585;4,77;2,39;2,38;2,488;1,119;1,369;2,304;1,177;1,127;0;0;0
7;Kec. Plaju;19,734;10,157;9,577;856;436;420;435;231;204;0;0;0;87;52;35;81;65;16;0;0;0;9,923;5,153;4,77;4,276;2,126;2,15;1,975;869;1,106;2,101;1,225;876;0;0;0
8;Kec. Sako;19,631;9,706;9,925;1,503;785;718;294;152;142;0;0;0;136;65;71;129;84;45;0;0;0;9,664;4,936;4,728;4,921;2,413;2,508;1,991;748;1,243;756;378;378;237;145;92
9;Kec. Ilir Timur I;18,615;9,98;8,635;772;414;358;86;50;36;0;0;0;0;0;0;9;6;3;0;0;0;6,58;3,362;3,218;4,295;2,165;2,13;2,267;1,13;1,137;4,606;2,853;1,753;0;0;0
10;Kec. Seberang Ulu I;16,77;8,433;8,337;326;175;151;618;318;300;0;0;0;0;0;0;57;37;20;0;0;0;6,791;3,601;3,19;2,083;1,006;1,077;3,671;1,741;1,93;3,224;1,555;1,669;0;0;0
11;Kec. Alang-Alang Lebar;16,482;8,447;8,035;938;482;456;574;310;264;23;10;13;51;27;24;76;48;28;327;256;71;7,928;4,101;3,827;4,678;2,378;2,3;1,557;721;836;220;25;195;110;89;21
12;Kec. Seberang Ulu II;15,879;8,389;7,49;741;399;342;475;249;226;0;0;0;44;25;19;69;56;13;0;0;0;5,699;3,001;2,698;4,109;2,02;2,089;2,522;1,118;1,404;2,206;1,51;696;14;11;3
13;Kec. Jakabaring;15,049;7,742;7,307;548;280;268;367;178;189;0;0;0;77;40;37;0;0;0;0;0;0;8,927;4,71;4,217;5,13;2,534;2,596;0;0;0;0;0;0;0;0;0
14;Kec. Gandus;12,952;6,511;6,441;440;219;221;712;352;360;0;0;0;53;30;23;320;187;133;0;0;0;6,07;3,081;2,989;3,415;1,701;1,714;1,942;941;1,001;0;0;0;0;0;0
15;Kec. Ilir Timur III;12,429;6,398;6,031;826;401;425;301;152;149;0;0;0;74;34;40;258;156;102;0;0;0;5,717;2,987;2,73;5,253;2,668;2,585;0;0;0;0;0;0;0;0;0
16;Kec. Ilir Barat II;10,183;5,395;4,788;437;217;220;205;86;119;0;0;0;22;11;11;327;234;93;0;0;0;4,207;2,205;2,002;2,51;1,264;1,246;1,263;696;567;1,212;682;530;0;0;0
17;Kec. Bukit Kecil;8,833;4,562;4,271;356;172;184;155;80;75;0;0;0;0;0;0;283;202;81;0;0;0;5,22;2,7;2,52;2,526;1,264;1,262;293;144;149;0;0;0;0;0;0
18;Kec. Sematang Borang;6,297;3,37;2,927;496;273;223;194;100;94;0;0;0;186;108;78;288;244;44;0;0;0;3,334;1,727;1,607;1,339;694;645;0;0;0;460;224;236;0;0;0
Total;Total;344,405;177,045;167,36;14,389;7,406;6,983;7,145;3,638;3,507;53;22;31;1,533;818;715;3,364;2,371;993;327;256;71;155,436;80,718;74,718;77,851;39,017;38,834;46,919;21,463;25,456;36,184;20,594;15,59;1,204;742;462
