Data Peserta Didik Kota Palembang - Dapodikdasmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;TK;;;KB;;;TPA;;;SPS;;;PKBM;;;SKB;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Kec. Sukarami;40,383;20,834;19,549;2,669;1,34;1,329;618;342;276;64;32;32;105;51;54;418;307;111;0;0;0;19,528;9,952;9,576;8,125;4,166;3,959;4,624;1,985;2,639;3,796;2,392;1,404;436;267;169
2;Kec. Ilir Barat I;34,482;17,037;17,445;1,976;1,052;924;603;317;286;0;0;0;88;46;42;510;303;207;0;0;0;13,997;7,215;6,782;5,913;3,072;2,841;8,36;3,905;4,455;2,981;1,086;1,895;54;41;13
3;Kec. Kalidoni;28,52;14,835;13,685;1,582;795;787;467;212;255;5;3;2;36;12;24;1,184;673;511;0;0;0;13,961;7,239;6,722;6,189;3,158;3,031;2,975;1,367;1,608;2,121;1,376;745;0;0;0
4;Kec. Kemuning;28,351;14,929;13,422;1,087;553;534;227;131;96;0;0;0;134;75;59;167;99;68;0;0;0;11,135;5,797;5,338;4,779;2,397;2,382;5,737;2,444;3,293;4,797;3,261;1,536;288;172;116
5;Kec. Ilir Timur II;21,957;10,565;11,392;624;311;313;189;98;91;0;0;0;58;29;29;0;0;0;0;0;0;6,632;3,347;3,285;2,774;1,398;1,376;8,285;3,759;4,526;3,298;1,566;1,732;97;57;40
6;Kec. Sako;21,695;10,775;10,92;1,993;1,023;970;391;208;183;0;0;0;164;79;85;287;160;127;0;0;0;10,254;5,288;4,966;5,134;2,495;2,639;2,221;871;1,35;1,082;551;531;169;100;69
7;Kec. Plaju;19,856;10,145;9,711;1,063;591;472;353;172;181;0;0;0;75;34;41;96;62;34;0;0;0;9,983;5,196;4,787;4,337;2,212;2,125;2,076;898;1,178;1,873;980;893;0;0;0
8;Kec. Kertapati;19,311;9,762;9,549;479;235;244;716;358;358;16;9;7;190;104;86;35;31;4;0;0;0;9,201;4,802;4,399;4,305;2,154;2,151;2,606;1,114;1,492;1,763;955;808;0;0;0
9;Kec. Alang-Alang Lebar;19,053;9,72;9,333;1,459;746;713;646;344;302;28;10;18;11;5;6;291;188;103;593;412;181;8,29;4,298;3,992;5,191;2,544;2,647;2,244;1,032;1,212;140;14;126;160;127;33
10;Kec. Ilir Timur I;18,27;9,909;8,361;699;365;334;151;80;71;0;0;0;0;0;0;4;3;1;0;0;0;5,677;2,91;2,767;3,498;1,812;1,686;3,647;1,764;1,883;4,594;2,975;1,619;0;0;0
11;Kec. Seberang Ulu I;16,9;8,365;8,535;400;216;184;709;363;346;0;0;0;0;0;0;121;87;34;0;0;0;6,025;3,071;2,954;2,339;1,159;1,18;4,295;1,946;2,349;3,011;1,523;1,488;0;0;0
12;Kec. Seberang Ulu II;14,902;7,886;7,016;783;376;407;454;242;212;0;0;0;8;4;4;86;53;33;0;0;0;5,829;3,033;2,796;3,299;1,717;1,582;2,434;1,088;1,346;1,987;1,354;633;22;19;3
13;Kec. Jakabaring;14,825;7,676;7,149;793;423;370;406;208;198;0;0;0;12;6;6;9;7;2;0;0;0;8,772;4,569;4,203;4,833;2,463;2,37;0;0;0;0;0;0;0;0;0
14;Kec. Gandus;13,554;6,862;6,692;706;359;347;883;438;445;0;0;0;30;16;14;0;0;0;0;0;0;6,355;3,224;3,131;3,633;1,854;1,779;1,947;971;976;0;0;0;0;0;0
15;Kec. Ilir Timur III;13,483;6,978;6,505;1,024;511;513;440;229;211;0;0;0;66;32;34;611;374;237;0;0;0;5,869;3,013;2,856;5,473;2,819;2,654;0;0;0;0;0;0;0;0;0
16;Kec. Ilir Barat II;9,366;5,031;4,335;484;268;216;247;112;135;0;0;0;86;44;42;332;228;104;0;0;0;4,065;2,092;1,973;2,298;1,196;1,102;1,087;588;499;767;503;264;0;0;0
17;Kec. Bukit Kecil;9,279;4,725;4,554;430;242;188;113;64;49;0;0;0;0;0;0;407;239;168;0;0;0;4,941;2,536;2,405;2,846;1,365;1,481;529;274;255;13;5;8;0;0;0
18;Kec. Sematang Borang;7,374;3,851;3,523;653;315;338;273;125;148;0;0;0;232;116;116;320;248;72;0;0;0;3,712;1,952;1,76;1,83;923;907;0;0;0;354;172;182;0;0;0
Total;Total;351,561;179,885;171,676;18,904;9,721;9,183;7,886;4,043;3,843;113;54;59;1,295;653;642;4,878;3,062;1,816;593;412;181;154,226;79,534;74,692;76,796;38,904;37,892;53,067;24,006;29,061;32,577;18,713;13,864;1,226;783;443
