Data Sekolah Kota Palembang - Dapodikdasmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;TK;;;KB;;;TPA;;;SPS;;;PKBM;;;SKB;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S
1;Kec. Sukarami;167;34;133;57;0;57;30;0;30;0;0;0;7;0;7;4;0;4;0;0;0;27;22;5;19;7;12;12;3;9;10;1;9;1;1;0
2;Kec. Ilir Barat I;155;42;113;42;1;41;26;0;26;0;0;0;5;0;5;2;0;2;0;0;0;39;29;10;18;6;12;16;4;12;6;2;4;1;0;1
3;Kec. Kalidoni;127;34;93;29;0;29;25;0;25;0;0;0;1;0;1;5;0;5;0;0;0;39;28;11;16;5;11;7;1;6;5;0;5;0;0;0
4;Kec. Sako;124;17;107;50;0;50;21;0;21;0;0;0;5;0;5;3;0;3;0;0;0;20;11;9;12;4;8;4;2;2;5;0;5;4;0;4
5;Kec. Ilir Timur II;105;18;87;23;0;23;14;0;14;0;0;0;4;0;4;0;0;0;0;0;0;23;13;10;11;2;9;18;2;16;10;1;9;2;0;2
6;Kec. Kemuning;96;19;77;19;1;18;11;0;11;0;0;0;8;0;8;2;0;2;0;0;0;23;11;12;11;3;8;9;2;7;10;2;8;3;0;3
7;Kec. Kertapati;94;32;62;7;1;6;26;0;26;1;0;1;6;0;6;2;0;2;0;0;0;34;27;7;12;3;9;4;1;3;2;0;2;0;0;0
8;Kec. Alang-Alang Lebar;93;16;77;28;1;27;25;0;25;2;0;2;1;0;1;2;0;2;1;1;0;18;9;9;10;4;6;3;1;2;1;0;1;2;0;2
9;Kec. Plaju;84;19;65;10;0;10;14;0;14;0;0;0;2;0;2;1;0;1;0;0;0;27;15;12;16;3;13;8;1;7;6;0;6;0;0;0
10;Kec. Seberang Ulu II;83;17;66;21;1;20;15;0;15;0;0;0;2;0;2;1;0;1;0;0;0;18;13;5;11;2;9;8;1;7;6;0;6;1;0;1
11;Kec. Ilir Timur I;81;12;69;24;0;24;11;0;11;0;0;0;0;0;0;2;0;2;0;0;0;18;7;11;12;2;10;7;1;6;7;2;5;0;0;0
12;Kec. Gandus;73;21;52;14;0;14;24;0;24;0;0;0;3;0;3;1;0;1;0;0;0;17;14;3;8;5;3;5;2;3;1;0;1;0;0;0
13;Kec. Seberang Ulu I;69;20;49;9;0;9;16;0;16;0;0;0;1;0;1;3;0;3;0;0;0;16;13;3;7;3;4;10;3;7;7;1;6;0;0;0
14;Kec. Ilir Timur III;66;9;57;19;0;19;12;0;12;0;0;0;1;0;1;3;0;3;0;0;0;16;7;9;14;2;12;1;0;1;0;0;0;0;0;0
15;Kec. Jakabaring;61;17;44;16;1;15;10;0;10;0;0;0;1;0;1;1;0;1;0;0;0;20;11;9;13;5;8;0;0;0;0;0;0;0;0;0
16;Kec. Ilir Barat II;49;11;38;10;0;10;10;0;10;1;0;1;2;0;2;3;0;3;0;0;0;10;9;1;6;2;4;4;0;4;3;0;3;0;0;0
17;Kec. Bukit Kecil;45;8;37;10;0;10;12;0;12;0;0;0;0;0;0;2;0;2;0;0;0;12;6;6;7;2;5;2;0;2;0;0;0;0;0;0
18;Kec. Sematang Borang;40;7;33;15;1;14;9;0;9;0;0;0;4;0;4;2;0;2;0;0;0;6;4;2;3;2;1;0;0;0;1;0;1;0;0;0
Total;Total;1,612;353;1,259;403;7;396;311;0;311;4;0;4;53;0;53;39;0;39;1;1;0;383;249;134;206;62;144;118;24;94;80;9;71;14;1;13
