Data Peserta Didik Kota Palembang - Dapodikdasmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;TK;;;KB;;;TPA;;;SPS;;;PKBM;;;SKB;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Kec. Sukarami;35,186;18,57;16,616;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,491;9,66;8,831;7,955;4,05;3,905;4,307;1,942;2,365;4,081;2,701;1,38;352;217;135
2;Kec. Ilir Barat I;31,122;15,548;15,574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,777;7,241;6,536;5,953;3,049;2,904;7,48;3,643;3,837;3,846;1,57;2,276;66;45;21
3;Kec. Kemuning;28,431;14,835;13,596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,785;6,554;6,231;5,098;2,521;2,577;5,235;2,269;2,966;5,033;3,332;1,701;280;159;121
4;Kec. Kalidoni;24,251;12,67;11,581;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,282;6,945;6,337;6,15;3,113;3,037;2,552;1,091;1,461;2,267;1,521;746;0;0;0
5;Kec. Ilir Timur II;22,498;10,937;11,561;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,262;3,716;3,546;3,064;1,566;1,498;7,817;3,513;4,304;4,251;2,081;2,17;104;61;43
6;Kec. Kertapati;18,951;9,515;9,436;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,541;4,961;4,58;4,701;2,349;2,352;2,526;1,13;1,396;2,183;1,075;1,108;0;0;0
7;Kec. Plaju;18,36;9,42;8,94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,935;5,11;4,825;4,217;2,135;2,082;2,06;917;1,143;2,148;1,258;890;0;0;0
8;Kec. Ilir Timur I;18,354;9,731;8,623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,771;3,429;3,342;4,562;2,279;2,283;2,31;1,167;1,143;4,711;2,856;1,855;0;0;0
9;Kec. Sako;17,01;8,28;8,73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,391;4,752;4,639;4,701;2,261;2,44;1,896;730;1,166;773;386;387;249;151;98
10;Kec. Seberang Ulu I;15,908;7,931;7,977;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,005;3,688;3,317;2,08;1,013;1,067;3,676;1,754;1,922;3,147;1,476;1,671;0;0;0
11;Kec. Seberang Ulu II;14,559;7,705;6,854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,533;2,913;2,62;4,146;2,081;2,065;2,537;1,098;1,439;2,326;1,601;725;17;12;5
12;Kec. Alang-Alang Lebar;14,152;7,099;7,053;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,894;4,036;3,858;4,464;2,302;2,162;1,441;653;788;250;27;223;103;81;22
13;Kec. Jakabaring;14,143;7,173;6,97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,94;4,635;4,305;5,203;2,538;2,665;0;0;0;0;0;0;0;0;0
14;Kec. Gandus;11,174;5,594;5,58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,024;3,097;2,927;3,192;1,558;1,634;1,958;939;1,019;0;0;0;0;0;0
15;Kec. Ilir Timur III;10,923;5,622;5,301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,855;3,046;2,809;5,068;2,576;2,492;0;0;0;0;0;0;0;0;0
16;Kec. Ilir Barat II;9,473;4,992;4,481;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,359;2,286;2,073;2,592;1,295;1,297;1,301;707;594;1,221;704;517;0;0;0
17;Kec. Bukit Kecil;8,285;4,237;4,048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,441;2,846;2,595;2,493;1,22;1,273;351;171;180;0;0;0;0;0;0
18;Kec. Sematang Borang;4,803;2,46;2,343;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,189;1,636;1,553;1,113;581;532;0;0;0;501;243;258;0;0;0
Total;Total;317,583;162,319;155,264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;155,475;80,551;74,924;76,752;38,487;38,265;47,447;21,724;25,723;36,738;20,831;15,907;1,171;726;445
