Data Rombel Kota Palembang - Dapodikdasmen;;;;;;;;;;;;;
No;Wilayah;Total;TK;KB;TPA;SPS;PKBM;SKB;SD;SMP;SMA;SMK;SLB
1;Kec. Sukarami;1,39;133;44;0;11;29;0;580;261;136;134;62
2;Kec. Ilir Barat I;1,286;127;37;0;5;17;0;531;199;238;113;19
3;Kec. Kalidoni;1,046;89;35;0;2;47;0;510;206;85;72;0
4;Kec. Kemuning;1,018;71;14;0;8;12;0;421;156;152;147;37
5;Kec. Ilir Timur II;832;44;18;0;2;0;0;269;102;236;136;25
6;Kec. Sako;792;109;24;0;9;19;0;319;164;64;36;48
7;Kec. Plaju;757;41;28;0;4;7;0;389;142;69;77;0
8;Kec. Kertapati;739;21;32;1;10;4;0;366;156;76;73;0
9;Kec. Ilir Timur I;698;48;6;0;0;6;0;247;133;109;149;0
10;Kec. Alang-Alang Lebar;667;74;44;1;1;6;13;278;160;56;7;27
11;Kec. Seberang Ulu II;616;54;27;0;2;9;0;227;132;85;71;9
12;Kec. Seberang Ulu I;599;26;38;0;0;12;0;230;71;115;107;0
13;Kec. Jakabaring;545;43;21;0;1;0;0;319;161;0;0;0
14;Kec. Ilir Timur III;512;60;21;0;2;34;0;223;172;0;0;0
15;Kec. Gandus;475;31;44;0;3;0;0;225;109;63;0;0
16;Kec. Ilir Barat II;381;34;11;0;3;28;0;149;77;38;41;0
17;Kec. Bukit Kecil;345;26;9;0;0;21;0;193;84;12;0;0
18;Kec. Sematang Borang;251;34;14;0;11;16;0;110;52;0;14;0
Total;Total;12,949;1,065;467;2;74;267;13;5,586;2,537;1,534;1,177;227
