Data Peserta Didik Kota Palembang - Dapodikdasmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;TK;;;KB;;;TPA;;;SPS;;;PKBM;;;SKB;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Kec. Sukarami;41,285;21,404;19,881;2,707;1,39;1,317;707;370;337;64;29;35;117;66;51;463;335;128;0;0;0;19,805;10,08;9,725;8,224;4,22;4,004;4,591;1,985;2,606;4,15;2,646;1,504;457;283;174
2;Kec. Ilir Barat I;34,274;16,947;17,327;1,938;983;955;526;279;247;0;0;0;88;45;43;538;315;223;0;0;0;14,286;7,429;6,857;5,846;3,055;2,791;7,944;3,662;4,282;3,048;1,131;1,917;60;48;12
3;Kec. Kalidoni;29,46;15,268;14,192;1,74;900;840;420;213;207;5;3;2;24;10;14;1,045;601;444;0;0;0;14,658;7,491;7,167;6,392;3,267;3,125;2,94;1,338;1,602;2,236;1,445;791;0;0;0
4;Kec. Kemuning;28,605;15,147;13,458;1,119;566;553;191;93;98;0;0;0;80;40;40;185;112;73;0;0;0;11,076;5,763;5,313;4,853;2,465;2,388;5,843;2,511;3,332;4,949;3,415;1,534;309;182;127
5;Kec. Sako;22,213;11,113;11,1;1,967;1,016;951;320;170;150;0;0;0;158;86;72;170;107;63;0;0;0;10,776;5,552;5,224;5,178;2,544;2,634;2,3;904;1,396;1,161;622;539;183;112;71
6;Kec. Ilir Timur II;21,966;10,514;11,452;644;343;301;179;102;77;0;0;0;47;21;26;0;0;0;0;0;0;6,578;3,281;3,297;2,713;1,357;1,356;8,431;3,849;4,582;3,257;1,489;1,768;117;72;45
7;Kec. Plaju;19,835;10,097;9,738;1,181;620;561;387;190;197;0;0;0;88;49;39;60;34;26;0;0;0;10,071;5,253;4,818;4,382;2,233;2,149;2,059;907;1,152;1,607;811;796;0;0;0
8;Kec. Alang-Alang Lebar;19,355;9,861;9,494;1,603;838;765;540;290;250;19;10;9;52;19;33;115;83;32;535;368;167;8,672;4,483;4,189;5,303;2,634;2,669;2,208;997;1,211;157;21;136;151;118;33
9;Kec. Kertapati;19,148;9,727;9,421;582;298;284;629;338;291;20;14;6;196;111;85;30;26;4;0;0;0;9,271;4,776;4,495;4,208;2,136;2,072;2,473;1,033;1,44;1,739;995;744;0;0;0
10;Kec. Ilir Timur I;17,74;9,656;8,084;662;328;334;137;65;72;0;0;0;0;0;0;6;5;1;0;0;0;5,055;2,589;2,466;3,614;1,867;1,747;3,669;1,743;1,926;4,597;3,059;1,538;0;0;0
11;Kec. Seberang Ulu I;17,037;8,456;8,581;370;197;173;703;368;335;0;0;0;0;0;0;116;80;36;0;0;0;5,949;3,008;2,941;2,374;1,211;1,163;4,334;1,961;2,373;3,191;1,631;1,56;0;0;0
12;Kec. Jakabaring;15,034;7,778;7,256;887;465;422;371;194;177;0;0;0;1;1;0;10;7;3;0;0;0;8,796;4,578;4,218;4,969;2,533;2,436;0;0;0;0;0;0;0;0;0
13;Kec. Seberang Ulu II;14,652;7,835;6,817;822;408;414;386;206;180;0;0;0;104;55;49;77;52;25;0;0;0;5,781;2,988;2,793;3,093;1,585;1,508;2,245;1,011;1,234;2,124;1,514;610;20;16;4
14;Kec. Gandus;14,019;7,156;6,863;841;445;396;778;394;384;0;0;0;115;63;52;16;12;4;0;0;0;6,759;3,434;3,325;3,645;1,88;1,765;1,865;928;937;0;0;0;0;0;0
15;Kec. Ilir Timur III;13,928;7,212;6,716;984;516;468;381;205;176;0;0;0;50;24;26;640;387;253;0;0;0;6,006;3,063;2,943;5,667;2,914;2,753;200;103;97;0;0;0;0;0;0
16;Kec. Bukit Kecil;9,747;4,942;4,805;432;221;211;143;68;75;0;0;0;0;0;0;390;231;159;0;0;0;5,094;2,608;2,486;2,924;1,426;1,498;757;385;372;7;3;4;0;0;0
17;Kec. Ilir Barat II;9,147;4,896;4,251;533;273;260;220;100;120;0;0;0;43;19;24;320;224;96;0;0;0;3,982;2,037;1,945;2,25;1,163;1,087;1,116;608;508;683;472;211;0;0;0
18;Kec. Sematang Borang;7,633;4,013;3,62;723;356;367;277;149;128;0;0;0;227;126;101;281;216;65;0;0;0;3,898;2,049;1,849;1,908;965;943;0;0;0;319;152;167;0;0;0
Total;Total;355,078;182,022;173,056;19,735;10,163;9,572;7,295;3,794;3,501;108;56;52;1,39;735;655;4,462;2,827;1,635;535;368;167;156,513;80,462;76,051;77,543;39,455;38,088;52,975;23,925;29,05;33,225;19,406;13,819;1,297;831;466
