Data Sekolah Kota Palembang - Dapodikdasmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;TK;;;KB;;;TPA;;;SPS;;;PKBM;;;SKB;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S
1;Kec. Ilir Barat I;80;41;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;29;9;18;6;12;16;4;12;7;2;5;1;0;1
2;Kec. Kalidoni;67;34;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;28;9;18;5;13;7;1;6;5;0;5;0;0;0
3;Kec. Sukarami;65;34;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;22;5;18;7;11;10;3;7;8;1;7;2;1;1
4;Kec. Ilir Timur II;63;18;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;13;9;11;2;9;19;2;17;9;1;8;2;0;2
5;Kec. Kemuning;56;18;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;11;11;11;3;8;9;2;7;12;2;10;2;0;2
6;Kec. Plaju;56;19;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;15;12;15;3;12;8;1;7;6;0;6;0;0;0
7;Kec. Kertapati;53;31;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;27;7;12;3;9;5;1;4;2;0;2;0;0;0
8;Kec. Sako;46;17;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;11;9;12;4;8;5;2;3;5;0;5;4;0;4
9;Kec. Seberang Ulu II;45;16;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;13;5;12;2;10;8;1;7;6;0;6;1;0;1
10;Kec. Ilir Timur I;44;12;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;7;11;12;2;10;7;1;6;7;2;5;0;0;0
11;Kec. Seberang Ulu I;40;19;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;13;3;6;2;4;11;3;8;7;1;6;0;0;0
12;Kec. Jakabaring;33;16;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;11;9;13;5;8;0;0;0;0;0;0;0;0;0
13;Kec. Alang-Alang Lebar;33;13;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;8;9;10;4;6;3;1;2;1;0;1;2;0;2
14;Kec. Ilir Timur III;30;9;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;7;9;14;2;12;0;0;0;0;0;0;0;0;0
15;Kec. Gandus;29;21;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;14;2;8;5;3;5;2;3;0;0;0;0;0;0
16;Kec. Ilir Barat II;23;11;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;9;1;6;2;4;4;0;4;3;0;3;0;0;0
17;Kec. Bukit Kecil;20;8;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;6;6;7;2;5;1;0;1;0;0;0;0;0;0
18;Kec. Sematang Borang;10;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;2;3;2;1;0;0;0;1;0;1;0;0;0
Total;Total;793;343;450;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;376;248;128;206;61;145;118;24;94;79;9;70;14;1;13
