Data Rombel Kota Palembang - Dapodikdasmen;;;;;;;;;;;;;
No;Wilayah;Total;TK;KB;TPA;SPS;PKBM;SKB;SD;SMP;SMA;SMK;SLB
1;Kec. Sukarami;1,358;101;56;0;12;7;0;569;275;127;148;63
2;Kec. Ilir Barat I;1,254;103;44;0;6;5;0;529;203;231;116;17
3;Kec. Kemuning;1,017;70;14;0;9;2;0;421;163;152;148;38
4;Kec. Kalidoni;972;67;40;0;2;14;0;488;203;85;73;0
5;Kec. Ilir Timur II;845;44;18;0;2;0;0;273;109;232;143;24
6;Kec. Sako;762;102;24;0;7;7;0;315;166;62;31;48
7;Kec. Plaju;742;36;26;0;7;2;0;383;146;66;76;0
8;Kec. Kertapati;728;22;29;1;11;2;0;360;160;73;70;0
9;Kec. Ilir Timur I;674;50;7;0;0;3;0;248;137;80;149;0
10;Kec. Alang-Alang Lebar;628;62;44;1;1;3;5;273;156;54;8;21
11;Kec. Seberang Ulu II;614;46;31;0;3;3;0;225;137;84;77;8
12;Kec. Seberang Ulu I;602;23;37;0;0;3;0;239;72;118;110;0
13;Kec. Jakabaring;556;33;24;0;2;0;0;326;171;0;0;0
14;Kec. Ilir Timur III;512;62;20;0;0;8;0;224;173;25;0;0
15;Kec. Gandus;464;30;42;0;3;2;0;217;109;61;0;0
16;Kec. Ilir Barat II;367;26;14;0;3;10;0;150;80;40;44;0
17;Kec. Bukit Kecil;327;24;7;0;0;8;0;196;84;8;0;0
18;Kec. Sematang Borang;232;31;15;0;12;4;0;106;49;0;15;0
Total;Total;12,654;932;492;2;80;83;5;5,542;2,593;1,498;1,208;219
