Data Guru Kota Palembang - Dapodikdasmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;TK;;;KB;;;TPA;;;SPS;;;PKBM;;;SKB;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Kec. Ilir Barat I;1,95;414;1,536;143;6;137;36;3;33;0;0;0;3;0;3;9;4;5;0;0;0;700;125;575;321;87;234;470;128;342;246;58;188;22;3;19
2;Kec. Sukarami;1,85;388;1,462;146;0;146;42;1;41;1;0;1;13;0;13;11;2;9;0;0;0;656;104;552;411;78;333;278;94;184;237;95;142;55;14;41
3;Kec. Kemuning;1,65;422;1,228;91;0;91;11;0;11;0;0;0;6;0;6;1;0;1;0;0;0;624;131;493;273;75;198;331;97;234;277;111;166;36;8;28
4;Kec. Kalidoni;1,334;257;1,077;101;2;99;32;0;32;0;0;0;2;0;2;24;5;19;0;0;0;614;94;520;319;89;230;149;34;115;93;33;60;0;0;0
5;Kec. Ilir Timur II;1,276;326;950;50;0;50;21;0;21;0;0;0;2;0;2;0;0;0;0;0;0;354;68;286;175;49;126;450;163;287;206;41;165;18;5;13
6;Kec. Ilir Timur I;1,179;325;854;56;1;55;10;0;10;0;0;0;0;0;0;4;1;3;0;0;0;334;60;274;222;61;161;193;69;124;360;133;227;0;0;0
7;Kec. Sako;1,086;194;892;109;2;107;21;0;21;0;0;0;7;0;7;15;2;13;0;0;0;417;71;346;283;57;226;132;40;92;58;17;41;44;5;39
8;Kec. Plaju;1,074;233;841;42;1;41;23;0;23;0;0;0;3;1;2;6;2;4;0;0;0;488;93;395;248;59;189;151;37;114;113;40;73;0;0;0
9;Kec. Alang-Alang Lebar;994;205;789;81;1;80;34;3;31;1;0;1;0;0;0;4;2;2;17;3;14;372;69;303;304;76;228;135;45;90;24;4;20;22;2;20
10;Kec. Seberang Ulu I;941;213;728;28;1;27;31;2;29;0;0;0;0;0;0;6;0;6;0;0;0;299;36;263;122;26;96;241;83;158;214;65;149;0;0;0
11;Kec. Kertapati;928;187;741;23;0;23;29;0;29;1;0;1;12;0;12;0;0;0;0;0;0;449;88;361;222;45;177;124;28;96;68;26;42;0;0;0
12;Kec. Seberang Ulu II;810;169;641;61;0;61;28;1;27;0;0;0;2;0;2;5;2;3;0;0;0;302;58;244;182;41;141;136;38;98;89;29;60;5;0;5
13;Kec. Jakabaring;762;136;626;50;0;50;17;0;17;0;0;0;1;0;1;0;0;0;0;0;0;408;73;335;286;63;223;0;0;0;0;0;0;0;0;0
14;Kec. Ilir Timur III;733;149;584;66;0;66;24;3;21;0;0;0;8;0;8;14;1;13;0;0;0;331;65;266;290;80;210;0;0;0;0;0;0;0;0;0
15;Kec. Gandus;645;123;522;31;0;31;35;1;34;0;0;0;1;1;0;0;0;0;0;0;0;284;50;234;171;38;133;123;33;90;0;0;0;0;0;0
16;Kec. Bukit Kecil;493;102;391;37;0;37;9;0;9;0;0;0;0;0;0;11;1;10;0;0;0;267;55;212;139;36;103;30;10;20;0;0;0;0;0;0
17;Kec. Ilir Barat II;484;78;406;35;0;35;8;0;8;0;0;0;2;0;2;37;5;32;0;0;0;159;25;134;123;21;102;64;18;46;56;9;47;0;0;0
18;Kec. Sematang Borang;300;58;242;38;0;38;13;0;13;0;0;0;11;0;11;6;3;3;0;0;0;129;25;104;78;21;57;0;0;0;25;9;16;0;0;0
Total;Total;18,489;3,979;14,51;1,188;14;1,174;424;14;410;3;0;3;73;2;71;153;30;123;17;3;14;7,187;1,29;5,897;4,169;1,002;3,167;3,007;917;2,09;2,066;670;1,396;202;37;165
