Data Sekolah Kota Palembang - Dapodikdasmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;TK;;;KB;;;TPA;;;SPS;;;PKBM;;;SKB;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S
1;Kec. Sukarami;167;34;133;65;0;65;22;0;22;2;0;2;3;0;3;5;0;5;0;0;0;29;22;7;18;7;11;12;3;9;10;1;9;1;1;0
2;Kec. Ilir Barat I;153;42;111;41;1;40;19;0;19;0;0;0;4;0;4;4;0;4;0;0;0;43;29;14;19;6;13;16;4;12;6;2;4;1;0;1
3;Kec. Kalidoni;140;34;106;36;0;36;22;0;22;0;0;0;1;0;1;7;0;7;0;0;0;42;28;14;20;5;15;7;1;6;5;0;5;0;0;0
4;Kec. Sako;116;17;99;50;0;50;13;0;13;0;0;0;4;0;4;3;0;3;0;0;0;22;11;11;11;4;7;4;2;2;5;0;5;4;0;4
5;Kec. Ilir Timur II;96;18;78;18;0;18;10;0;10;0;0;0;2;0;2;0;0;0;0;0;0;23;13;10;12;2;10;19;2;17;10;1;9;2;0;2
6;Kec. Alang-Alang Lebar;91;16;75;28;1;27;19;0;19;1;0;1;1;0;1;3;0;3;1;1;0;20;9;11;12;4;8;3;1;2;1;0;1;2;0;2
7;Kec. Kemuning;91;19;72;20;1;19;8;0;8;0;0;0;4;0;4;3;0;3;0;0;0;23;11;12;11;3;8;9;2;7;10;2;8;3;0;3
8;Kec. Kertapati;86;32;54;9;1;8;18;0;18;1;0;1;5;0;5;1;0;1;0;0;0;34;27;7;12;3;9;4;1;3;2;0;2;0;0;0
9;Kec. Plaju;86;19;67;13;0;13;11;0;11;0;0;0;2;0;2;1;0;1;0;0;0;27;15;12;16;3;13;8;1;7;8;0;8;0;0;0
10;Kec. Seberang Ulu II;83;17;66;22;1;21;14;0;14;0;0;0;1;0;1;1;0;1;0;0;0;19;13;6;11;2;9;8;1;7;6;0;6;1;0;1
11;Kec. Ilir Timur I;76;12;64;22;0;22;7;0;7;0;0;0;0;0;0;2;0;2;0;0;0;19;7;12;11;2;9;8;1;7;7;2;5;0;0;0
12;Kec. Gandus;69;21;48;16;0;16;18;0;18;0;0;0;2;0;2;1;0;1;0;0;0;18;14;4;8;5;3;5;2;3;1;0;1;0;0;0
13;Kec. Seberang Ulu I;67;20;47;8;0;8;15;0;15;0;0;0;0;0;0;3;0;3;0;0;0;16;13;3;7;3;4;10;3;7;8;1;7;0;0;0
14;Kec. Ilir Timur III;66;9;57;17;0;17;12;0;12;0;0;0;1;0;1;4;0;4;0;0;0;17;7;10;15;2;13;0;0;0;0;0;0;0;0;0
15;Kec. Jakabaring;66;17;49;19;1;18;10;0;10;0;0;0;1;0;1;2;0;2;0;0;0;21;11;10;13;5;8;0;0;0;0;0;0;0;0;0
16;Kec. Ilir Barat II;47;11;36;9;0;9;10;0;10;0;0;0;3;0;3;3;0;3;0;0;0;10;9;1;6;2;4;4;0;4;2;0;2;0;0;0
17;Kec. Sematang Borang;46;7;39;16;1;15;8;0;8;0;0;0;6;0;6;4;0;4;0;0;0;7;4;3;4;2;2;0;0;0;1;0;1;0;0;0
18;Kec. Bukit Kecil;42;8;34;9;0;9;8;0;8;0;0;0;0;0;0;2;0;2;0;0;0;12;6;6;8;2;6;2;0;2;1;0;1;0;0;0
Total;Total;1,588;353;1,235;418;7;411;244;0;244;4;0;4;40;0;40;49;0;49;1;1;0;402;249;153;214;62;152;119;24;95;83;9;74;14;1;13
