Data Guru Kota Palembang - Dapodikdasmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;TK;;;KB;;;TPA;;;SPS;;;PKBM;;;SKB;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Kec. Ilir Barat I;1,907;380;1,527;134;1;133;39;4;35;0;0;0;4;0;4;8;3;5;0;0;0;671;111;560;356;87;269;451;116;335;224;55;169;20;3;17
2;Kec. Sukarami;1,8;382;1,418;131;0;131;52;0;52;0;0;0;24;0;24;12;2;10;0;0;0;627;91;536;419;95;324;260;86;174;219;91;128;56;17;39
3;Kec. Kemuning;1,673;430;1,243;95;0;95;19;0;19;0;0;0;12;0;12;2;0;2;0;0;0;611;125;486;296;85;211;313;97;216;289;114;175;36;9;27
4;Kec. Kalidoni;1,302;226;1,076;92;2;90;41;1;40;0;0;0;2;0;2;28;7;21;0;0;0;590;73;517;327;79;248;133;31;102;89;33;56;0;0;0
5;Kec. Ilir Timur II;1,292;333;959;59;0;59;22;1;21;0;0;0;5;0;5;0;0;0;0;0;0;335;57;278;183;44;139;460;175;285;208;50;158;20;6;14
6;Kec. Ilir Timur I;1,157;317;840;63;1;62;8;0;8;0;0;0;0;0;0;1;0;1;0;0;0;342;66;276;257;73;184;151;53;98;335;124;211;0;0;0
7;Kec. Sako;1,075;167;908;112;2;110;20;0;20;0;0;0;5;0;5;10;1;9;0;0;0;402;58;344;296;54;242;124;34;90;50;13;37;56;5;51
8;Kec. Plaju;1,025;228;797;40;1;39;21;0;21;0;0;0;7;1;6;8;2;6;0;0;0;449;76;373;237;65;172;157;48;109;106;35;71;0;0;0
9;Kec. Alang-Alang Lebar;934;183;751;81;1;80;46;2;44;1;0;1;1;0;1;1;0;1;23;5;18;329;52;277;287;68;219;116;42;74;30;10;20;19;3;16
10;Kec. Kertapati;926;182;744;22;0;22;30;0;30;1;0;1;12;0;12;10;2;8;0;0;0;435;75;360;225;51;174;113;28;85;78;26;52;0;0;0
11;Kec. Seberang Ulu I;900;222;678;27;0;27;33;2;31;0;0;0;0;0;0;0;0;0;0;0;0;305;40;265;112;28;84;230;84;146;193;68;125;0;0;0
12;Kec. Seberang Ulu II;823;169;654;59;1;58;38;4;34;0;0;0;3;0;3;6;2;4;0;0;0;273;48;225;197;43;154;140;40;100;102;31;71;5;0;5
13;Kec. Jakabaring;783;133;650;53;0;53;22;0;22;0;0;0;3;0;3;0;0;0;0;0;0;414;72;342;291;61;230;0;0;0;0;0;0;0;0;0
14;Kec. Ilir Timur III;713;146;567;71;1;70;21;1;20;0;0;0;8;0;8;9;2;7;0;0;0;327;67;260;277;75;202;0;0;0;0;0;0;0;0;0
15;Kec. Gandus;601;112;489;21;0;21;36;1;35;0;0;0;5;1;4;9;2;7;0;0;0;261;45;216;165;40;125;104;23;81;0;0;0;0;0;0
16;Kec. Ilir Barat II;508;73;435;44;0;44;10;0;10;0;0;0;2;0;2;34;5;29;0;0;0;172;22;150;140;22;118;66;17;49;40;7;33;0;0;0
17;Kec. Bukit Kecil;507;103;404;33;0;33;12;0;12;0;0;0;0;0;0;9;1;8;0;0;0;271;55;216;157;38;119;25;9;16;0;0;0;0;0;0
18;Kec. Sematang Borang;279;50;229;41;0;41;13;0;13;0;0;0;14;0;14;8;3;5;0;0;0;118;24;94;58;12;46;0;0;0;27;11;16;0;0;0
Total;Total;18,205;3,836;14,369;1,178;10;1,168;483;16;467;2;0;2;107;2;105;155;32;123;23;5;18;6,932;1,157;5,775;4,28;1,02;3,26;2,843;883;1,96;1,99;668;1,322;212;43;169
