Data Sekolah Kota Palembang - Dapodikdasmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;TK;;;KB;;;TPA;;;SPS;;;PKBM;;;SKB;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S
1;Kec. Sukarami;172;34;138;62;0;62;27;0;27;1;0;1;6;0;6;4;0;4;0;0;0;29;22;7;20;7;13;12;3;9;10;1;9;1;1;0
2;Kec. Ilir Barat I;152;42;110;43;1;42;21;0;21;0;0;0;4;0;4;2;0;2;0;0;0;41;29;12;18;6;12;16;4;12;6;2;4;1;0;1
3;Kec. Kalidoni;135;34;101;34;0;34;24;0;24;0;0;0;1;0;1;6;0;6;0;0;0;41;28;13;17;5;12;7;1;6;5;0;5;0;0;0
4;Kec. Sako;124;17;107;49;0;49;22;0;22;0;0;0;5;0;5;3;0;3;0;0;0;20;11;9;12;4;8;4;2;2;5;0;5;4;0;4
5;Kec. Ilir Timur II;98;18;80;20;0;20;13;0;13;0;0;0;2;0;2;0;0;0;0;0;0;23;13;10;10;2;8;18;2;16;10;1;9;2;0;2
6;Kec. Alang-Alang Lebar;96;16;80;27;1;26;25;0;25;2;0;2;1;0;1;3;0;3;1;1;0;20;9;11;11;4;7;3;1;2;1;0;1;2;0;2
7;Kec. Kemuning;92;19;73;19;1;18;8;0;8;0;0;0;6;0;6;2;0;2;0;0;0;23;11;12;11;3;8;9;2;7;10;2;8;4;0;4
8;Kec. Kertapati;87;32;55;8;1;7;18;0;18;1;0;1;5;0;5;2;0;2;0;0;0;34;27;7;13;3;10;4;1;3;2;0;2;0;0;0
9;Kec. Plaju;87;19;68;13;0;13;11;0;11;0;0;0;2;0;2;1;0;1;0;0;0;28;15;13;17;3;14;8;1;7;7;0;7;0;0;0
10;Kec. Ilir Timur I;83;12;71;24;0;24;11;0;11;0;0;0;0;0;0;2;0;2;0;0;0;19;7;12;12;2;10;8;1;7;7;2;5;0;0;0
11;Kec. Seberang Ulu II;82;17;65;22;1;21;14;0;14;0;0;0;1;0;1;1;0;1;0;0;0;18;13;5;11;2;9;8;1;7;6;0;6;1;0;1
12;Kec. Gandus;69;21;48;13;0;13;22;0;22;0;0;0;2;0;2;1;0;1;0;0;0;17;14;3;8;5;3;5;2;3;1;0;1;0;0;0
13;Kec. Seberang Ulu I;68;20;48;9;0;9;15;0;15;0;0;0;1;0;1;3;0;3;0;0;0;16;13;3;7;3;4;10;3;7;7;1;6;0;0;0
14;Kec. Ilir Timur III;66;9;57;18;0;18;12;0;12;0;0;0;2;0;2;3;0;3;0;0;0;17;7;10;14;2;12;0;0;0;0;0;0;0;0;0
15;Kec. Jakabaring;64;17;47;18;1;17;10;0;10;0;0;0;1;0;1;2;0;2;0;0;0;20;11;9;13;5;8;0;0;0;0;0;0;0;0;0
16;Kec. Ilir Barat II;50;11;39;10;0;10;11;0;11;1;0;1;2;0;2;3;0;3;0;0;0;10;9;1;6;2;4;4;0;4;3;0;3;0;0;0
17;Kec. Bukit Kecil;40;8;32;10;0;10;7;0;7;0;0;0;0;0;0;2;0;2;0;0;0;12;6;6;7;2;5;2;0;2;0;0;0;0;0;0
18;Kec. Sematang Borang;40;7;33;15;1;14;8;0;8;0;0;0;4;0;4;3;0;3;0;0;0;6;4;2;3;2;1;0;0;0;1;0;1;0;0;0
Total;Total;1,605;353;1,252;414;7;407;279;0;279;5;0;5;45;0;45;43;0;43;1;1;0;394;249;145;210;62;148;118;24;94;81;9;72;15;1;14
