Data Rombel Kota Palembang - Dapodikdasmen;;;;;;;;;;;;;
No;Wilayah;Total;TK;KB;TPA;SPS;PKBM;SKB;SD;SMP;SMA;SMK;SLB
1;Kec. Sukarami;1,177;0;0;0;0;0;0;568;267;134;141;67
2;Kec. Ilir Barat I;1,111;0;0;0;0;0;0;525;210;232;127;17
3;Kec. Kemuning;965;0;0;0;0;0;0;437;169;161;160;38
4;Kec. Kalidoni;848;0;0;0;0;0;0;479;210;83;76;0
5;Kec. Ilir Timur II;803;0;0;0;0;0;0;264;111;255;149;24
6;Kec. Plaju;677;0;0;0;0;0;0;377;150;75;75;0
7;Kec. Kertapati;656;0;0;0;0;0;0;356;158;75;67;0
8;Kec. Ilir Timur I;642;0;0;0;0;0;0;255;157;77;153;0
9;Kec. Sako;596;0;0;0;0;0;0;300;159;59;30;48
10;Kec. Seberang Ulu I;545;0;0;0;0;0;0;245;71;120;109;0
11;Kec. Seberang Ulu II;525;0;0;0;0;0;0;211;141;83;80;10
12;Kec. Jakabaring;509;0;0;0;0;0;0;329;180;0;0;0
13;Kec. Alang-Alang Lebar;506;0;0;0;0;0;0;277;149;49;9;22
14;Kec. Ilir Timur III;395;0;0;0;0;0;0;226;169;0;0;0
15;Kec. Gandus;385;0;0;0;0;0;0;215;106;64;0;0
16;Kec. Ilir Barat II;327;0;0;0;0;0;0;156;84;44;43;0
17;Kec. Bukit Kecil;308;0;0;0;0;0;0;213;84;11;0;0
18;Kec. Sematang Borang;154;0;0;0;0;0;0;100;36;0;18;0
Total;Total;11,129;0;0;0;0;0;0;5,533;2,611;1,522;1,237;226
