Data Rombel Kota Palembang - Dapodikdasmen;;;;;;;;;;;;;
No;Wilayah;Total;TK;KB;TPA;SPS;PKBM;SKB;SD;SMP;SMA;SMK;SLB
1;Kec. Sukarami;1,596;195;58;8;7;41;0;669;254;138;146;80
2;Kec. Ilir Barat I;1,358;144;47;0;8;33;0;573;201;230;105;17
3;Kec. Kalidoni;1,156;111;36;1;2;65;0;571;208;88;74;0
4;Kec. Kemuning;1,072;82;13;0;7;24;0;419;151;166;164;46
5;Kec. Sako;882;139;31;0;11;15;0;375;154;68;43;46
6;Kec. Ilir Timur II;840;45;15;0;4;0;0;289;93;252;119;23
7;Kec. Plaju;781;64;27;0;6;6;0;396;143;67;72;0
8;Kec. Alang-Alang Lebar;776;113;43;2;6;6;20;316;168;61;10;31
9;Kec. Kertapati;748;34;47;2;12;3;0;382;139;72;57;0
10;Kec. Ilir Timur I;672;51;10;0;0;6;0;218;126;110;151;0
11;Kec. Seberang Ulu I;646;26;49;0;0;20;0;232;75;132;112;0
12;Kec. Seberang Ulu II;595;58;26;0;6;12;0;229;103;73;77;11
13;Kec. Jakabaring;591;64;25;0;1;2;0;340;159;0;0;0
14;Kec. Ilir Timur III;579;69;28;0;5;42;0;238;190;7;0;0
15;Kec. Gandus;555;55;56;0;6;6;0;257;117;58;0;0
16;Kec. Bukit Kecil;382;32;11;0;0;24;0;200;93;21;1;0
17;Kec. Ilir Barat II;376;36;17;0;3;27;0;157;73;37;26;0
18;Kec. Sematang Borang;303;49;23;0;15;21;0;125;58;0;12;0
Total;Total;13,908;1,367;562;13;99;353;20;5,986;2,505;1,58;1,169;254
