Data Guru Kota Palembang - Dapodikdasmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;TK;;;KB;;;TPA;;;SPS;;;PKBM;;;SKB;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Kec. Sukarami;2,219;425;1,794;220;5;215;46;0;46;6;0;6;12;0;12;20;8;12;0;0;0;833;130;703;483;90;393;303;97;206;211;77;134;85;18;67
2;Kec. Ilir Barat I;2,215;455;1,76;155;2;153;45;3;42;0;0;0;4;0;4;27;8;19;0;0;0;833;159;674;403;100;303;508;136;372;215;44;171;25;3;22
3;Kec. Kemuning;1,782;455;1,327;101;0;101;11;0;11;0;0;0;6;0;6;2;0;2;0;0;0;642;131;511;334;94;240;331;99;232;317;123;194;38;8;30
4;Kec. Kalidoni;1,603;297;1,306;130;4;126;31;0;31;1;0;1;2;0;2;34;5;29;0;0;0;744;120;624;384;94;290;173;37;136;104;37;67;0;0;0
5;Kec. Ilir Timur II;1,365;330;1,035;53;1;52;23;1;22;0;0;0;6;0;6;0;0;0;0;0;0;368;65;303;186;47;139;512;162;350;204;52;152;13;2;11
6;Kec. Sako;1,175;230;945;136;2;134;30;0;30;0;0;0;8;0;8;10;1;9;0;0;0;475;92;383;296;70;226;131;40;91;52;19;33;37;6;31
7;Kec. Plaju;1,168;236;932;61;0;61;16;0;16;0;0;0;4;1;3;8;3;5;0;0;0;526;94;432;267;66;201;158;38;120;128;34;94;0;0;0
8;Kec. Alang-Alang Lebar;1,144;232;912;120;0;120;40;3;37;1;0;1;3;0;3;4;1;3;9;1;8;443;84;359;334;91;243;144;46;98;17;4;13;29;2;27
9;Kec. Ilir Timur I;1,134;302;832;53;1;52;7;0;7;0;0;0;0;0;0;6;1;5;0;0;0;317;63;254;233;70;163;195;66;129;323;101;222;0;0;0
10;Kec. Kertapati;987;205;782;33;0;33;36;2;34;1;0;1;11;1;10;0;0;0;0;0;0;463;99;364;242;51;191;127;25;102;74;27;47;0;0;0
11;Kec. Seberang Ulu I;985;228;757;29;1;28;35;0;35;0;0;0;0;0;0;7;0;7;0;0;0;287;43;244;136;30;106;270;87;183;221;67;154;0;0;0
12;Kec. Seberang Ulu II;862;185;677;63;0;63;24;1;23;0;0;0;4;0;4;6;3;3;0;0;0;324;68;256;199;46;153;132;35;97;103;32;71;7;0;7
13;Kec. Ilir Timur III;852;183;669;70;1;69;26;2;24;0;0;0;6;0;6;42;9;33;0;0;0;364;77;287;328;91;237;16;3;13;0;0;0;0;0;0
14;Kec. Jakabaring;812;157;655;65;1;64;21;0;21;0;0;0;1;0;1;1;0;1;0;0;0;430;86;344;294;70;224;0;0;0;0;0;0;0;0;0
15;Kec. Gandus;755;153;602;49;1;48;40;1;39;0;0;0;4;2;2;6;0;6;0;0;0;309;54;255;223;62;161;124;33;91;0;0;0;0;0;0
16;Kec. Bukit Kecil;611;126;485;41;0;41;10;0;10;0;0;0;0;0;0;12;1;11;0;0;0;306;63;243;180;42;138;50;17;33;12;3;9;0;0;0
17;Kec. Ilir Barat II;523;103;420;35;0;35;13;1;12;0;0;0;3;0;3;25;6;19;0;0;0;202;40;162;134;28;106;68;18;50;43;10;33;0;0;0
18;Kec. Sematang Borang;382;78;304;54;0;54;14;0;14;0;0;0;11;0;11;14;7;7;0;0;0;156;35;121;111;29;82;0;0;0;22;7;15;0;0;0
Total;Total;20,574;4,38;16,194;1,468;19;1,449;468;14;454;9;0;9;85;4;81;224;53;171;9;1;8;8,022;1,503;6,519;4,767;1,171;3,596;3,242;939;2,303;2,046;637;1,409;234;39;195
