Data Rombel Kota Palembang - Dapodikdasmen;;;;;;;;;;;;;
No;Wilayah;Total;TK;KB;TPA;SPS;PKBM;SKB;SD;SMP;SMA;SMK;SLB
1;Kec. Sukarami;1,362;115;50;0;20;19;0;559;275;125;139;60
2;Kec. Ilir Barat I;1,264;111;39;0;5;13;0;524;205;228;122;17
3;Kec. Kemuning;1,061;70;17;0;11;12;0;426;167;154;165;39
4;Kec. Kalidoni;987;73;31;0;2;26;0;488;210;82;75;0
5;Kec. Ilir Timur II;875;47;21;0;4;0;0;268;110;253;148;24
6;Kec. Sako;751;102;22;0;8;10;0;304;165;60;32;48
7;Kec. Plaju;747;40;25;0;7;7;0;375;150;69;74;0
8;Kec. Kertapati;741;21;32;1;11;11;0;361;160;73;71;0
9;Kec. Ilir Timur I;687;53;9;0;0;5;0;251;144;77;148;0
10;Kec. Alang-Alang Lebar;641;63;44;1;3;6;12;277;153;48;9;25
11;Kec. Seberang Ulu II;626;49;35;0;3;9;0;218;138;83;82;9
12;Kec. Seberang Ulu I;612;24;37;0;0;6;0;244;71;119;111;0
13;Kec. Jakabaring;570;37;23;0;4;0;0;331;175;0;0;0
14;Kec. Ilir Timur III;491;52;20;0;6;15;0;224;174;0;0;0
15;Kec. Gandus;458;23;40;0;5;8;0;213;109;60;0;0
16;Kec. Ilir Barat II;384;28;13;0;2;22;0;151;82;42;44;0
17;Kec. Bukit Kecil;344;23;11;0;0;17;0;199;84;10;0;0
18;Kec. Sematang Borang;233;35;13;0;11;12;0;103;43;0;16;0
Total;Total;12,834;966;482;2;102;198;12;5,516;2,615;1,483;1,236;222
