Data Peserta Didik Kec. Seberang Ulu I - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
51;SMA GAJAH MADA 03 PALEMBANG;10609642;SMA;Swasta;11 Mar 2026 10:49:44;41;318;9;20;10;13;2;1
52;SMA METHODIST 03 PALEMBANG;10609657;SMA;Swasta;13 Mar 2026 13:35:07;21;43;3;4;5;3;4;1
53;SMA MUHAMMADIYAH 09 PALEMBANG;10609667;SMA;Swasta;06 Mar 2026 20:34:51;12;90;3;2;2;6;1;1
54;SMA NU PALEMBANG;10609669;SMA;Swasta;30 Jan 2026 15:26:48;42;550;15;18;4;13;2;1
55;SMA PGRI 02 PALEMBANG;10609676;SMA;Swasta;09 Mar 2026 13:19:51;72;1,215;34;42;11;32;7;1
56;SMK NEGERI 8 PALEMBANG;69857920;SMK;Negeri;11 Mar 2026 18:37:55;65;1,496;47;101;13;20;2;1
57;SMK  BHAKTI PERSADA;69830127;SMK;Swasta;04 Mar 2026 11:50:02;32;72;5;13;2;11;1;1
58;SMK BINA SRIWIJAYA INDONESIA PALEMBANG;69755983;SMK;Swasta;05 Mar 2026 10:22:28;57;385;16;22;3;19;1;1
59;SMK GAJAH MADA 3;69897078;SMK;Swasta;06 Mar 2026 11:44:37;50;183;7;10;5;9;1;1
60;SMK KESEHATAN KADER BANGSA;69952601;SMK;Swasta;13 Mar 2026 10:51:50;32;174;7;13;3;7;3;1
61;SMK MANGGALA PALEMBANG;70041388;SMK;Swasta;11 Mar 2026 08:24:50;21;69;4;11;1;4;2;1
62;SMK MUHAMMADIYAH 02 PALEMBANG;10603724;SMK;Swasta;07 Mar 2026 18:15:02;52;625;20;40;5;24;3;1
63;SMK PELITA PALEMBANG;10648144;SMK;Swasta;-;25;7;2;3;2;3;2;1
64;PKBM LENI;P9997429;PKBM;Swasta;24 Feb 2026 00:12:41;28;72;6;3;1;3;0;0
65;PKBM PELITA;P9948232;PKBM;Swasta;30 Jan 2026 09:18:19;45;17;8;2;4;2;0;1
66;PKBM SAKILA;P9997562;PKBM;Swasta;19 Feb 2026 14:38:49;7;32;6;2;0;3;0;0
Total;Total;Total;Total;Total;Total;2,366;16,9;633;944;285;551;67;46
