Data Peserta Didik Kec. Ilir Timur III - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;TK BARUNAWATI 2 PALEMBANG;10644599;TK;Swasta;20 Jan 2026 10:58:24;3;43;2;2;1;2;0;0
2;TK BARUNAWATI I;10644602;TK;Swasta;-;3;30;2;3;1;2;0;0
3;TK BETHESDA;70030305;TK;Swasta;10 Mar 2026 15:00:45;40;28;2;2;2;1;0;0
4;TK BINA SEJAHTERA;10644596;TK;Swasta;20 Jan 2026 16:43:32;11;10;1;1;1;1;0;0
5;TK GUANG MING;69989783;TK;Swasta;10 Mar 2026 14:33:08;21;28;2;1;2;2;0;0
6;TK IBA;10647157;TK;Swasta;24 Feb 2026 13:06:24;10;42;3;3;3;4;0;0
7;TK IKAL BULOG;10604086;TK;Swasta;20 Jan 2026 11:40:37;9;26;2;2;1;2;1;1
8;TK INDRIASANA;10644595;TK;Swasta;26 Jan 2026 09:33:18;9;35;2;2;2;3;0;0
9;TK KAMILIYAH;70001437;TK;Swasta;-;0;0;0;0;0;0;0;0
10;TK KEMALA BHAYANGKARI 1 PALEMBANG;10644613;TK;Swasta;04 Mar 2026 13:18:38;36;94;5;5;1;5;0;0
11;TK KHALIFAH 22;69969300;TK;Swasta;27 Jan 2026 08:18:21;8;50;6;8;2;6;0;0
12;TK MAHARDIKA;10644588;TK;Swasta;03 Mar 2026 10:49:36;22;46;3;5;2;4;0;0
13;TK MAITREYAWIRA PALEMBANG;10647676;TK;Swasta;27 Jan 2026 15:09:51;13;194;10;10;5;8;0;0
14;TK MATAHARI;69933908;TK;Swasta;05 Mar 2026 10:49:35;7;48;4;5;1;6;0;1
15;TK MELATI;10644598;TK;Swasta;27 Jan 2026 07:59:44;4;18;1;1;2;2;0;0
16;TK NUSA INDAH 1 PALEMBANG;10644594;TK;Swasta;23 Feb 2026 10:03:33;21;211;9;9;2;14;0;1
17;TK QOBILLAH;69726542;TK;Swasta;08 Mar 2026 08:17:38;24;57;4;5;3;2;0;1
18;TK SUMBANGSIH;10644605;TK;Swasta;01 Mar 2026 09:44:54;6;47;2;2;1;2;0;0
19;KB AL-MALIKI;69773177;KB;Swasta;24 Jan 2026 10:36:00;10;30;2;3;2;4;0;0
20;KB AN-NUR;69773160;KB;Swasta;24 Jan 2026 16:22:34;9;36;2;2;1;2;0;0
21;KB AQRA ATIKAH;69967158;KB;Swasta;24 Jan 2026 09:55:30;9;40;2;2;3;2;0;1
22;KB ASUHAN BUNDA II;69773181;KB;Swasta;13 Mar 2026 17:31:31;12;54;4;3;1;2;0;0
23;KB BASMALLAH;69773180;KB;Swasta;-;3;4;1;1;1;1;0;0
24;KB CEMARA;69773176;KB;Swasta;24 Jan 2026 17:14:03;14;66;3;4;1;2;0;0
25;KB CERDAS;69876059;KB;Swasta;11 Feb 2026 07:02:22;69;52;2;3;2;3;0;0
26;KB IT SAKINA;69947929;KB;Swasta;25 Jan 2026 22:26:26;4;28;1;1;3;1;0;0
27;KB MUSLIMAT;70013209;KB;Swasta;-;5;37;1;1;4;2;0;0
28;KB NUSA INDAH;70034574;KB;Swasta;26 Jan 2026 08:44:24;0;0;0;0;0;0;0;0
29;KB PELANGI BIRU;69773179;KB;Swasta;27 Jan 2026 11:01:50;4;32;2;2;1;2;0;0
30;KB TAMAN SARI;69975280;KB;Swasta;29 Jan 2026 19:45:56;9;15;1;2;0;2;0;1
31;KHARISMA PUTRI;69858098;SPS;Swasta;-;0;0;0;0;0;0;0;0
32;SPS RSI INTERNATIONAL;69937337;SPS;Swasta;09 Mar 2026 11:47:09;24;58;2;8;1;13;0;1
33;SD NEGERI 054 PALEMBANG;10603656;SD;Negeri;03 Mar 2026 09:57:59;36;373;12;19;4;8;0;1
34;SD NEGERI 055 PALEMBANG;10609433;SD;Negeri;03 Mar 2026 10:43:13;46;686;24;31;7;14;0;1
35;SD NEGERI 056 PALEMBANG;10603660;SD;Negeri;12 Mar 2026 00:20:47;31;180;7;8;1;8;0;1
36;SD NEGERI 057 PALEMBANG;10603643;SD;Negeri;02 Mar 2026 08:04:59;42;497;20;27;6;32;0;1
37;SD NEGERI 059 PALEMBANG;10603630;SD;Negeri;10 Mar 2026 10:51:05;28;338;12;14;3;10;0;1
38;SD NEGERI 060 PALEMBANG;10603636;SD;Negeri;11 Mar 2026 09:28:20;60;412;18;18;4;17;0;1
39;SD NEGERI 061 PALEMBANG;10603633;SD;Negeri;03 Mar 2026 13:36:27;17;279;12;15;3;5;0;1
40;SD BETHESDA;70025520;SD;Swasta;27 Feb 2026 08:25:54;16;63;4;8;2;5;1;1
41;SD IGNATIUS GLOBAL SCHOOL PALEMBANG;10648822;SD;Swasta;05 Mar 2026 09:16:44;18;444;16;23;4;16;2;1
42;SD INDRIASANA PALEMBANG;10603908;SD;Swasta;07 Mar 2026 16:28:58;32;342;13;17;4;18;1;1
43;SD IT KAMILIYAH PALEMBANG;10609882;SD;Swasta;15 Feb 2026 17:30:08;12;185;9;20;4;12;1;1
44;SD IT MUTIARA AZZAM PALEMBANG;10648902;SD;Swasta;04 Mar 2026 08:51:07;12;148;7;15;4;8;1;1
45;SD KARYA DHARMA BHAKTI 01 PALEMBANG;10609884;SD;Swasta;04 Mar 2026 07:25:43;51;133;6;7;3;6;2;1
46;SD KUSUMA BANGSA PALEMBANG;69971011;SD;Swasta;09 Mar 2026 13:56:41;25;321;14;14;2;12;1;1
47;SD MAITREYAWIRA PALEMBANG;10647677;SD;Swasta;06 Mar 2026 12:44:54;21;796;30;53;7;34;2;1
48;SD MARANATHA PALEMBANG;69726548;SD;Swasta;26 Jan 2026 07:59:11;23;75;1;7;1;6;2;1
49;SD YAYASAN IBA PALEMBANG;10603948;SD;Swasta;09 Mar 2026 11:40:26;41;432;18;35;4;24;2;1
50;SMP NEGERI 04 PALEMBANG;10603760;SMP;Negeri;04 Mar 2026 13:43:32;49;1,024;32;45;12;32;4;1
51;SMP NEGERI 50 PALEMBANG;10603743;SMP;Negeri;13 Mar 2026 08:15:58;37;876;28;46;11;28;2;1
52;SMP ADABIYAH PALEMBANG;10609483;SMP;Swasta;06 Mar 2026 08:59:11;35;485;15;24;5;17;3;1
53;SMP AZIZIAH PLUS PALEMBANG;10609920;SMP;Swasta;24 Feb 2026 07:15:00;19;120;5;11;3;6;1;1
54;SMP BINA WARGA PALEMBANG;10609504;SMP;Swasta;10 Mar 2026 10:41:04;77;73;3;13;6;6;2;3
55;SMP IBA PALEMBANG;10609482;SMP;Swasta;12 Mar 2026 07:55:48;15;105;4;12;6;11;4;1
56;SMP IGNATIUS GLOBAL SCHOOL PALEMBANG;10648887;SMP;Swasta;10 Mar 2026 07:55:49;59;966;30;46;6;30;7;2
57;SMP INDRIASANA PALEMBANG;10609517;SMP;Swasta;07 Mar 2026 09:42:53;17;173;6;10;4;9;2;1
58;SMP KARYA ABADI PALEMBANG;10609523;SMP;Swasta;03 Mar 2026 14:03:14;25;42;3;4;1;3;1;1
59;SMP KUSUMA BANGSA PALEMBANG;10609531;SMP;Swasta;03 Mar 2026 09:20:39;24;313;11;18;3;15;7;1
60;SMP MAITREYAWIRA;10647152;SMP;Swasta;23 Feb 2026 08:45:20;20;259;10;15;3;10;3;1
