Data Guru Kec. Gandus - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
54;SD TUNAS TELADAN PALEMBANG;69726543;SD;Swasta;07 Mar 2026 07:29:28;35;640;22;27;7;23;1;1
55;SMP NEGERI 05 PALEMBANG;10603742;SMP;Negeri;13 Mar 2026 08:01:06;28;645;21;32;6;21;2;1
56;SMP NEGERI 28 PALEMBANG;10603784;SMP;Negeri;20 Feb 2026 07:12:47;37;734;21;29;9;17;1;1
57;SMP NEGERI 32 PALEMBANG;10603765;SMP;Negeri;13 Mar 2026 09:42:25;89;582;18;31;9;22;1;1
58;SMP NEGERI 39 PALEMBANG;10603761;SMP;Negeri;03 Mar 2026 14:50:01;66;622;19;28;5;19;2;1
59;SMP NEGERI 47 PALEMBANG;10603730;SMP;Negeri;09 Mar 2026 13:01:56;31;760;22;34;6;21;1;1
60;SMP BINA LESTARI PALEMBANG;10609502;SMP;Swasta;07 Mar 2026 00:16:58;34;116;4;9;3;7;2;1
61;SMP DIPENOGORO PALEMBANG;10609510;SMP;Swasta;-;0;0;0;2;0;0;0;0
62;SMP TUNAS TELADAN;69985294;SMP;Swasta;12 Mar 2026 07:43:43;32;106;4;6;2;4;1;1
63;SMA NEGERI 12 PALEMBANG;10603848;SMA;Negeri;05 Mar 2026 13:53:34;64;649;19;43;11;19;3;1
64;SMA NEGERI 20 PALEMBANG;10603728;SMA;Negeri;09 Mar 2026 11:25:57;57;871;26;55;12;14;3;1
65;SMA BINA LESTARI PALEMBANG;10609632;SMA;Swasta;11 Mar 2026 10:52:39;34;229;6;9;2;6;2;1
66;SMA DIPONEGORO PALEMBANG;10609638;SMA;Swasta;09 Mar 2026 12:11:42;25;49;3;2;2;4;1;1
67;SMA MUHAMMADIYAH 08 PALEMBANG;10609665;SMA;Swasta;04 Mar 2026 08:50:40;31;245;9;14;4;9;1;0
68;SMK TI THAWALIB SRIWIJAYA;70009381;SMK;Swasta;-;0;0;0;0;0;0;0;0
69;PKBM GRIYA ASRI;P2966559;PKBM;Swasta;-;0;0;0;0;0;0;0;0
Total;Total;Total;Total;Total;Total;1,445;13,23;475;645;187;422;22;25
