Data Peserta Didik Kec. Seberang Ulu II - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;TK NEGERI PEMBINA 04 PALEMBANG;70001382;TK;Negeri;10 Mar 2026 09:22:10;12;62;4;3;2;4;0;1
2;TK AISYIYAH 11;10644503;TK;Swasta;02 Mar 2026 21:40:20;15;65;5;5;1;3;0;0
3;TK ANAK SOLEHA;70030458;TK;Swasta;15 Jan 2026 12:36:26;13;20;2;2;2;2;0;0
4;TK AZHAR;69773010;TK;Swasta;-;0;0;0;0;0;0;0;0
5;TK AZHARYAH;10644507;TK;Swasta;21 Feb 2026 21:16:28;9;24;2;2;1;2;0;0
6;TK BINA VITA;10644505;TK;Swasta;09 Feb 2026 16:59:11;8;57;3;3;2;4;0;0
7;TK CHIQA SMART;69958868;TK;Swasta;12 Mar 2026 06:38:50;17;65;3;3;1;3;0;0
8;TK GOLDEN KIDS SENTOSA;69970450;TK;Swasta;03 Mar 2026 22:19:21;24;106;4;3;2;4;0;0
9;TK ISLAM NURJANNAH;10647189;TK;Swasta;04 Mar 2026 23:07:34;9;21;1;1;1;2;0;0
10;TK IT ABI UMMI;70038288;TK;Swasta;-;0;0;0;0;0;0;0;0
11;TK IT AL-HIKMAH;69876018;TK;Swasta;16 Jan 2026 16:03:01;3;53;4;4;1;4;0;0
12;TK IT AULADI SU II;69876024;TK;Swasta;04 Mar 2026 13:25:24;17;78;5;13;2;5;0;1
13;TK IT FATHIYAH;70030224;TK;Swasta;02 Mar 2026 22:59:47;23;47;3;2;2;3;0;0
14;TK KARTIKA VIII - 12 PALEMBANG;10644504;TK;Swasta;03 Mar 2026 11:10:52;18;31;3;3;1;4;0;0
15;TK NUR - IMAN;69773099;TK;Swasta;02 Mar 2026 21:46:34;7;48;3;1;1;3;0;0
16;TK PARAS JAYA;10644509;TK;Swasta;02 Mar 2026 21:53:05;10;16;1;1;1;2;0;0
17;TK SAKURA KIDS PALEMBANG;10648037;TK;Swasta;18 Jan 2026 22:51:02;3;16;1;1;1;2;0;1
18;TK SYAKIRA;69958528;TK;Swasta;21 Jan 2026 11:47:36;18;40;2;1;2;3;0;0
19;TK TUNAS JAYA;10647180;TK;Swasta;20 Feb 2026 09:50:43;6;18;1;1;2;2;0;0
20;TK WIDYA PARAMITA;10647182;TK;Swasta;-;0;0;0;0;0;0;0;0
21;TK XAVERIUS 7;10644502;TK;Swasta;04 Mar 2026 08:56:39;6;7;2;1;1;2;0;1
22;TK YASPA;10644510;TK;Swasta;29 Jan 2026 12:24:14;6;58;3;4;1;5;0;0
23;KB AL HUDA;69972693;KB;Swasta;29 Jan 2026 20:33:55;6;30;2;2;3;2;0;0
24;KB ALIFAH;69905571;KB;Swasta;22 Jan 2026 14:37:15;6;26;2;1;1;2;0;0
25;KB ANAK SOLEHA;69964551;KB;Swasta;-;0;0;0;0;0;0;0;0
26;KB ANGGREK SENTOSA;69773095;KB;Swasta;21 Jan 2026 13:29:08;1;38;2;2;2;1;0;0
27;KB AZZAHROH MUSLIMAT NU 12;69947296;KB;Swasta;-;9;31;2;2;2;1;0;0
28;KB CHIQA SMART;69876009;KB;Swasta;21 Jan 2026 21:54:33;6;37;1;1;1;4;0;0
29;KB FADILLAH;69876062;KB;Swasta;29 Jan 2026 21:16:11;6;57;3;3;2;3;0;0
30;KB HARAPAN BANGSA;69773094;KB;Swasta;-;3;0;1;1;1;2;0;0
31;KB ISLAM TERPADU FATHIYYAH;69932340;KB;Swasta;02 Mar 2026 23:14:28;22;21;1;1;2;1;0;0
32;KB JASMINE UMMI;69947291;KB;Swasta;21 Jan 2026 07:51:16;7;48;3;4;1;4;0;0
33;KB SALSABILA;69773104;KB;Swasta;23 Jan 2026 22:32:09;14;65;2;1;2;2;0;0
34;KB SINAR HARAPAN;69773103;KB;Swasta;21 Jan 2026 13:21:33;3;35;2;2;3;2;0;1
35;KB SRIMAS CERIA;69773098;KB;Swasta;11 Feb 2026 15:39:52;3;22;2;1;1;2;0;1
36;KB SUMBER JAYA;69773100;KB;Swasta;31 Jan 2026 07:51:14;13;22;3;4;2;2;0;1
37;SPS KASIH IBU;69773260;SPS;Swasta;21 Jan 2026 10:17:10;10;58;2;2;1;2;0;0
38;SD NEGERI 090 PALEMBANG;10603553;SD;Negeri;09 Mar 2026 12:15:58;54;436;15;22;3;8;0;1
39;SD NEGERI 091 PALEMBANG;10603494;SD;Negeri;13 Mar 2026 09:24:29;34;453;19;24;3;10;0;1
40;SD NEGERI 092 PALEMBANG;10603552;SD;Negeri;07 Mar 2026 09:33:24;35;293;12;17;2;11;1;1
41;SD NEGERI 093 PALEMBANG;10603966;SD;Negeri;05 Mar 2026 15:48:31;48;572;18;23;5;8;0;1
42;SD NEGERI 094 PALEMBANG;10603551;SD;Negeri;07 Mar 2026 09:04:07;34;238;11;15;2;5;0;1
43;SD NEGERI 095 PALEMBANG;10603549;SD;Negeri;12 Mar 2026 14:04:21;32;386;15;18;5;8;0;1
44;SD NEGERI 096 PALEMBANG;10603548;SD;Negeri;03 Mar 2026 12:03:21;37;154;6;8;4;5;0;1
45;SD NEGERI 097 PALEMBANG;10603976;SD;Negeri;03 Mar 2026 16:16:20;43;120;6;10;2;6;0;0
