Data Peserta Didik Kec. Kertapati - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;SD NEGERI 195 PALEMBANG;10604334;SD;Negeri;06 Mar 2026 11:10:33;68;998;32;43;7;17;1;1
2;SD NEGERI 196 PALEMBANG;10604346;SD;Negeri;13 Mar 2026 10:07:16;22;363;14;16;2;6;0;1
3;SD NEGERI 197 PALEMBANG;10609417;SD;Negeri;13 Mar 2026 09:18:48;26;181;6;11;2;7;0;0
4;SD NEGERI 198 PALEMBANG;10609418;SD;Negeri;05 Mar 2026 09:45:10;54;572;18;24;4;15;0;1
5;SD NEGERI 199 PALEMBANG;10604344;SD;Negeri;09 Mar 2026 11:14:22;13;166;6;8;2;6;0;1
6;SD NEGERI 200 PALEMBANG;10604343;SD;Negeri;07 Mar 2026 07:52:55;36;332;12;15;4;12;0;1
7;SD NEGERI 201 PALEMBANG;10604342;SD;Negeri;07 Mar 2026 07:58:12;70;195;8;9;3;5;0;1
8;SD NEGERI 202 PALEMBANG;10604341;SD;Negeri;12 Mar 2026 10:56:55;27;404;12;16;4;10;0;1
9;SD NEGERI 203 PALEMBANG;10604340;SD;Negeri;09 Mar 2026 10:45:44;24;118;6;8;2;7;0;1
10;SD NEGERI 204 PALEMBANG;10604338;SD;Negeri;10 Mar 2026 13:35:41;27;572;17;22;2;13;0;1
11;SD NEGERI 205 PALEMBANG;10609419;SD;Negeri;13 Mar 2026 13:55:08;68;798;31;40;4;14;1;1
12;SD NEGERI 206 PALEMBANG;10609420;SD;Negeri;07 Mar 2026 08:12:21;24;325;12;12;1;8;0;1
13;SD NEGERI 207 PALEMBANG;10604336;SD;Negeri;12 Mar 2026 09:01:22;26;293;12;17;5;12;0;0
14;SD NEGERI 208 PALEMBANG;10604335;SD;Negeri;04 Mar 2026 07:57:44;25;242;11;16;5;15;0;1
15;SD NEGERI 209 PALEMBANG;10604318;SD;Negeri;12 Mar 2026 10:09:41;13;279;12;13;2;8;0;1
16;SD NEGERI 210 PALEMBANG;10604317;SD;Negeri;06 Mar 2026 12:31:57;26;338;13;15;3;10;0;0
17;SD NEGERI 211 PALEMBANG;10604302;SD;Negeri;12 Mar 2026 09:17:27;16;300;12;16;4;10;0;1
18;SD NEGERI 212 PALEMBANG;10604301;SD;Negeri;04 Mar 2026 08:58:52;31;282;12;14;3;7;0;0
19;SD NEGERI 213 PALEMBANG;10609421;SD;Negeri;12 Mar 2026 11:37:29;14;133;6;9;3;5;0;0
20;SD NEGERI 214 PALEMBANG;10609422;SD;Negeri;12 Mar 2026 09:21:52;23;169;7;10;3;6;0;0
21;SD NEGERI 215 PALEMBANG;10604299;SD;Negeri;12 Mar 2026 09:46:29;4;164;6;9;2;6;0;1
22;SD NEGERI 216 PALEMBANG;10604298;SD;Negeri;03 Mar 2026 08:09:29;13;360;12;16;4;7;0;1
23;SD NEGERI 217 PALEMBANG;10604297;SD;Negeri;23 Jan 2026 09:20:04;28;232;8;10;3;7;0;1
24;SD NEGERI 218 PALEMBANG;10604296;SD;Negeri;12 Mar 2026 09:19:17;7;99;6;9;1;6;0;1
25;SD NEGERI 219 PALEMBANG;10609423;SD;Negeri;13 Mar 2026 10:08:46;24;191;7;9;4;6;0;1
26;SD NEGERI 220 PALEMBANG;10604295;SD;Negeri;07 Mar 2026 22:22:43;27;184;8;12;2;4;0;0
27;SD NEGERI 221 PALEMBANG;10604294;SD;Negeri;10 Mar 2026 11:10:08;21;274;11;16;3;6;1;1
28;SD ISLAM TERPADU ZAIN AL MUTTAQIN;69996084;SD;Swasta;06 Mar 2026 10:21:08;0;0;0;0;0;0;0;0
29;SD MUHAMMADIYAH 08 PALEMBANG;10603919;SD;Swasta;12 Mar 2026 17:12:42;26;128;6;10;1;6;1;1
