Data Peserta Didik Kec. Kertapati - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
53;SD NEGERI 214 PALEMBANG;10609422;SD;Negeri;12 Mar 2026 09:21:52;19;173;8;11;2;6;0;0
54;SD NEGERI 215 PALEMBANG;10604299;SD;Negeri;12 Mar 2026 09:46:29;13;136;6;8;2;9;0;1
55;SD NEGERI 216 PALEMBANG;10604298;SD;Negeri;03 Mar 2026 08:09:29;52;324;12;12;4;7;0;1
56;SD NEGERI 217 PALEMBANG;10604297;SD;Negeri;23 Jan 2026 09:20:04;47;274;12;13;2;9;2;1
57;SD NEGERI 218 PALEMBANG;10604296;SD;Negeri;12 Mar 2026 09:19:17;23;96;6;6;2;6;0;1
58;SD NEGERI 219 PALEMBANG;10609423;SD;Negeri;13 Mar 2026 10:08:46;57;200;8;8;3;7;0;0
59;SD NEGERI 220 PALEMBANG;10604295;SD;Negeri;07 Mar 2026 22:22:43;32;166;8;13;3;4;0;0
60;SD NEGERI 221 PALEMBANG;10604294;SD;Negeri;10 Mar 2026 11:10:08;46;267;12;12;3;6;1;1
61;SD ISLAM TERPADU ZAIN AL MUTTAQIN;69996084;SD;Swasta;06 Mar 2026 10:21:08;29;239;10;14;2;10;0;1
62;SD MUHAMMADIYAH 08 PALEMBANG;10603919;SD;Swasta;12 Mar 2026 17:12:42;30;90;6;4;2;6;2;1
63;SD MUHAMMADIYAH 11 PALEMBANG;10603918;SD;Swasta;03 Mar 2026 08:40:29;15;165;6;7;2;6;0;2
64;SD MUHAMMADIYAH 13 PALEMBANG;10609915;SD;Swasta;25 Feb 2026 08:09:50;16;216;10;4;3;6;0;0
65;SD MUHAMMADIYAH 15 PALEMBANG;10609769;SD;Swasta;12 Mar 2026 07:17:12;21;170;6;7;1;6;1;1
66;SD PUJA HANDAYANI PALEMBANG;10609889;SD;Swasta;03 Mar 2026 09:56:09;25;212;12;10;4;12;1;1
67;SD YWKA PALEMBANG;10609895;SD;Swasta;03 Feb 2026 08:25:52;20;169;6;7;2;6;1;1
68;SMP NEGERI 12 PALEMBANG;10603688;SMP;Negeri;07 Mar 2026 06:48:38;55;960;28;42;15;28;1;1
69;SMP NEGERI 25 PALEMBANG;10603689;SMP;Negeri;12 Mar 2026 08:34:54;106;886;28;35;10;29;1;1
70;SMP NEGERI 36 PALEMBANG;10603764;SMP;Negeri;03 Mar 2026 21:05:44;40;984;30;38;8;21;1;1
71;SMP AL-HAMIDIYAH PALEMBANG;10609485;SMP;Swasta;04 Mar 2026 09:00:24;43;259;9;11;5;11;2;1
72;SMP BINA JAYA PALEMBANG;10609505;SMP;Swasta;12 Mar 2026 15:54:18;43;354;12;18;6;12;2;1
73;SMP IKHLASIYAH PALEMBANG;10609515;SMP;Swasta;04 Mar 2026 11:11:33;59;194;7;14;5;10;1;1
74;SMP IT ZAIN AL-MUTTAQIN;70032145;SMP;Swasta;10 Mar 2026 13:52:30;10;40;2;3;2;2;0;0
75;SMP KORPRI (WIDYA BAKTI) PALEMBANG;10609598;SMP;Swasta;02 Mar 2026 12:56:32;37;55;3;3;3;5;1;1
76;SMP MUHAMMADIYAH 08 PALEMBANG;10609547;SMP;Swasta;03 Mar 2026 10:39:30;27;241;9;8;1;12;0;1
77;SMP PEMBANGUNAN PALEMBANG;10609559;SMP;Swasta;05 Mar 2026 09:55:52;18;109;3;5;5;3;1;1
78;SMP PUJA HANDAYANI;10609574;SMP;Swasta;04 Mar 2026 10:30:26;22;149;6;3;2;6;1;1
79;SMP YWKA PALEMBANG;10609617;SMP;Swasta;13 Mar 2026 06:05:38;51;250;10;18;7;15;2;1
80;SMA NEGERI 09 PALEMBANG;10603866;SMA;Negeri;07 Mar 2026 14:44:16;72;1,136;31;73;16;30;3;1
81;SMA BINA JAYA PALEMBANG;10609629;SMA;Swasta;11 Feb 2026 14:13:30;63;680;20;20;11;21;7;1
82;SMA WIDYA BHAKTI PALEMBANG;10609702;SMA;Swasta;17 Feb 2026 13:50:15;23;68;3;9;1;5;1;1
83;SMA YWKA PALEMBANG;10609723;SMA;Swasta;12 Mar 2026 11:17:21;88;727;22;21;11;22;5;1
84;SMK BINA JAYA PALEMBANG;10603703;SMK;Swasta;11 Mar 2026 11:20:50;207;1,688;50;47;12;51;5;1
85;SMK YWKA PALEMBANG;69929355;SMK;Swasta;10 Mar 2026 07:21:04;26;315;13;20;11;18;1;2
86;PKBM SRIWIJAYA;P9948287;PKBM;Swasta;-;4;38;4;0;1;4;0;0
Total;Total;Total;Total;Total;Total;2,473;19,78;733;896;273;673;49;45
