Data Guru Kec. Kalidoni - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;TK ADINDA;10644184;TK;Swasta;-;28;30;2;4;1;4;0;1
2;TK AISYIYAH 8;10644185;TK;Swasta;03 Mar 2026 09:21:36;6;58;4;5;1;4;0;0
3;TK AKAS (AKU ANAK SHALEH);70000989;TK;Swasta;-;5;19;2;2;2;2;0;0
4;TK AL HIKMAH 2;10647190;TK;Swasta;19 Feb 2026 21:15:32;109;50;2;2;1;4;0;0
5;TK AL-HUSNA;10644186;TK;Swasta;-;8;14;1;2;1;2;0;0
6;TK ALAM TELAGA;69900186;TK;Swasta;04 Mar 2026 10:56:59;14;28;2;2;1;2;0;0
7;TK ALIYATI;10644187;TK;Swasta;03 Mar 2026 09:29:33;1;50;3;3;2;4;0;0
8;TK ALVINO;69936574;TK;Swasta;05 Mar 2026 08:58:20;13;38;2;3;3;3;0;0
9;TK AN-NAJAH;69972695;TK;Swasta;11 Feb 2026 23:01:14;19;29;2;2;2;2;0;0
10;TK AR-RIDHO PALEMBANG;10647022;TK;Swasta;02 Mar 2026 20:27:29;23;18;1;1;1;2;0;1
11;TK BHAKTI ASUHAN II;69968989;TK;Swasta;-;0;0;0;0;0;0;0;0
12;TK BINA BANGSA PALEMBANG;10647837;TK;Swasta;19 Jan 2026 20:48:13;38;16;1;1;2;2;0;1
13;TK DHARMA WANITA II;10644188;TK;Swasta;02 Mar 2026 19:26:55;23;74;5;9;1;8;0;0
14;TK DHARMAWANITA III;10644189;TK;Swasta;14 Feb 2026 09:34:57;22;38;3;3;1;3;0;0
15;TK DHARMAWANITA KECAMATAN;10644190;TK;Swasta;-;6;12;1;1;1;2;0;0
16;TK DITA WIJAYA;10644191;TK;Swasta;07 Mar 2026 11:51:43;6;20;3;3;2;3;0;0
17;TK GOLDEN KIDS;69962482;TK;Swasta;06 Feb 2026 10:15:25;4;11;1;1;1;1;0;0
