Data Peserta Didik Kec. Kertapati - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;TK NEGERI PEMBINA 3;70001380;TK;Negeri;10 Mar 2026 09:32:16;10;23;1;1;2;1;0;0
2;TK ACTIVE;10644166;TK;Swasta;19 Feb 2026 10:17:13;5;115;4;3;1;4;0;0
3;TK AISYIYAH 12;10644167;TK;Swasta;07 Mar 2026 15:08:24;3;82;4;4;1;4;0;0
4;TK BAKTI SRIWIJAYA;69968591;TK;Swasta;27 Jan 2026 09:42:57;19;30;2;1;2;3;0;0
5;TK ELEKTRINA;10644168;TK;Swasta;04 Mar 2026 22:41:21;2;52;4;4;1;4;0;0
6;TK HANDAYANI;10644169;TK;Swasta;04 Mar 2026 09:12:32;27;40;2;3;4;3;0;1
7;TK PELANGI AGUNG;69947077;TK;Swasta;08 Mar 2026 18:15:50;2;95;4;6;1;5;0;0
8;KB ABDULLAH;69965553;KB;Swasta;27 Jan 2026 16:03:16;7;41;2;1;1;1;0;0
9;KB AISYIYAH II;69773093;KB;Swasta;-;3;14;1;2;1;1;1;0
10;KB AL - MAHIRA;69970116;KB;Swasta;29 Jan 2026 12:49:13;8;16;1;2;1;2;0;0
11;KB ANAK CERDAS;69773079;KB;Swasta;27 Jan 2026 11:31:56;36;32;2;2;2;1;0;0
12;KB AR-RAHMA;69986143;KB;Swasta;26 Jan 2026 09:34:27;20;20;1;1;2;1;0;0
13;KB BUNDA;69967161;KB;Swasta;28 Feb 2026 12:45:56;12;26;1;1;1;2;0;0
14;KB BUNDA MARET;69982700;KB;Swasta;-;0;0;0;0;0;0;0;0
15;KB CERIA;69988056;KB;Swasta;-;17;36;2;2;1;1;0;0
16;KB GEMPITA;69982652;KB;Swasta;-;0;0;0;0;0;0;0;0
17;KB HARAPAN IBU;69773080;KB;Swasta;10 Feb 2026 19:28:51;5;52;2;2;2;2;0;0
18;KB KEMANG AGUNG;69773081;KB;Swasta;27 Jan 2026 21:07:11;5;29;2;2;1;1;0;0
19;KB MENTARI INDAH;69773078;KB;Swasta;-;0;0;0;0;0;1;0;0
20;KB PELANGI AGUNG;69773084;KB;Swasta;-;0;0;0;0;0;1;0;0
21;KB SWAKARSA;69962485;KB;Swasta;-;5;38;2;2;1;1;0;0
22;KB TIFARANA;69773086;KB;Swasta;30 Jan 2026 13:04:29;25;16;1;1;1;2;0;0
23;KB TUNAS MUDA;69773092;KB;Swasta;-;6;35;3;3;2;4;0;0
24;KB TUNAS MULIA;69773088;KB;Swasta;-;0;0;0;0;0;1;0;0
25;PAUD ANAK EMAS;69773082;KB;Swasta;-;4;12;1;1;1;1;0;0
26;PAUD AS-SYIFA;69876044;KB;Swasta;-;0;0;0;0;0;1;0;0
27;PAUD CANDRA;69933020;KB;Swasta;27 Jan 2026 15:18:43;7;31;2;1;2;1;0;0
28;PAUD GEMILANG;69950696;KB;Swasta;-;4;49;2;3;1;2;0;0
29;PAUD KHALWA;70003515;KB;Swasta;06 Mar 2026 10:00:24;20;22;1;1;2;1;0;0
30;PAUD MELATI JAYA;69913895;KB;Swasta;31 Jan 2026 18:49:51;1;54;3;2;1;2;0;0
31;PAUD PUJI HANDAYANI;69930734;KB;Swasta;-;15;39;2;0;1;2;0;0
32;PAUD PUJI IBU;69949280;KB;Swasta;22 Jan 2026 19:41:43;9;36;1;1;1;1;0;0
33;TPA AISYIYAH 07;69773241;TPA;Swasta;24 Jan 2026 08:43:42;1;30;1;1;1;1;0;0
34;PAUD JELITA;69911788;SPS;Swasta;-;0;0;0;0;0;1;0;0
35;PAUD KHUSNUL KHOTIMAH;69933640;SPS;Swasta;27 Jan 2026 15:43:28;13;39;2;2;2;2;0;0
36;SPS ALHADI KERAMASAN;69981723;SPS;Swasta;17 Jan 2026 17:02:53;8;68;3;3;1;1;0;0
