Data Peserta Didik Kec. Kertapati - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;TK NEGERI PEMBINA 03 PALEMBANG;70001380;TK;Negeri;10 Mar 2026 09:32:16;7;33;2;2;4;3;0;0
2;TK ACTIVE PALEMBANG;10644166;TK;Swasta;19 Feb 2026 10:17:13;10;70;4;3;2;5;0;0
3;TK AISYIYAH 12 PALEMBANG;10644167;TK;Swasta;07 Mar 2026 15:08:24;19;82;3;3;1;4;0;0
4;TK BAKTI SRIWIJAYA PALEMBANG;69968591;TK;Swasta;27 Jan 2026 09:42:57;10;49;3;2;4;3;0;0
5;TK ELEKTRINA PALEMBANG;10644168;TK;Swasta;04 Mar 2026 22:41:21;12;39;2;1;2;4;0;0
6;TK HANDAYANI PALEMBANG;10644169;TK;Swasta;04 Mar 2026 09:12:32;18;49;3;4;2;3;0;1
7;TK HARAPAN IBU;70038954;TK;Swasta;02 Mar 2026 09:05:04;11;16;2;1;1;2;0;0
8;TK PELANGI AGUNG PALEMBANG;69947077;TK;Swasta;08 Mar 2026 18:15:50;1;62;4;6;1;5;0;0
9;TK WIJAYA KUSUMA;70030352;TK;Swasta;09 Feb 2026 00:19:54;1;79;4;3;1;2;0;0
10;KB ABDULLAH;69965553;KB;Swasta;27 Jan 2026 16:03:16;8;74;4;4;2;1;0;0
11;KB AISYIYAH II;69773093;KB;Swasta;-;7;25;2;1;2;2;1;0
12;KB AL - MAHIRA;69970116;KB;Swasta;29 Jan 2026 12:49:13;9;17;1;1;1;2;0;0
13;KB ANAK CERDAS;69773079;KB;Swasta;27 Jan 2026 11:31:56;6;31;2;2;2;1;0;0
14;KB AR-RAHMA;69986143;KB;Swasta;26 Jan 2026 09:34:27;7;31;2;2;3;1;0;0
15;KB BUNDA;69967161;KB;Swasta;28 Feb 2026 12:45:56;15;23;1;2;2;2;0;0
16;KB CANDRA;69933020;KB;Swasta;27 Jan 2026 15:18:43;3;36;2;3;2;1;0;0
17;KB CERIA;69988056;KB;Swasta;-;11;105;4;3;3;4;0;0
18;KB GEMILANG;69950696;KB;Swasta;-;16;46;2;2;1;2;0;0
19;KB HARAPAN IBU;69773080;KB;Swasta;10 Feb 2026 19:28:51;10;47;2;1;2;2;0;0
20;KB KEMANG AGUNG;69773081;KB;Swasta;27 Jan 2026 21:07:11;6;36;2;2;3;1;0;0
21;KB KHALWA;70003515;KB;Swasta;06 Mar 2026 10:00:24;13;53;2;2;2;2;0;0
22;KB MELATI JAYA;69913895;KB;Swasta;31 Jan 2026 18:49:51;7;51;3;3;1;2;0;0
23;KB PRATAMA;70009707;KB;Swasta;22 Feb 2026 14:57:54;10;18;2;1;1;2;0;0
24;KB PUJI HANDAYANI;69930734;KB;Swasta;-;7;22;2;1;2;2;0;0
25;KB PUJI IBU;69949280;KB;Swasta;22 Jan 2026 19:41:43;16;54;2;2;2;1;0;0
26;KB TIFARANA;69773086;KB;Swasta;30 Jan 2026 13:04:29;6;13;1;1;5;2;0;0
27;KB TUNAS MUDA;69773092;KB;Swasta;-;12;34;3;3;2;5;0;0
28;TPA AISYIYAH 07;69773241;TPA;Swasta;24 Jan 2026 08:43:42;11;16;1;1;1;1;0;0
29;SPS ALHADI KERAMASAN;69981723;SPS;Swasta;17 Jan 2026 17:02:53;8;49;4;4;1;1;0;0
30;SPS GEMA SRIWIJAYA;69773257;SPS;Swasta;08 Feb 2026 22:45:12;4;31;2;1;1;2;0;1
31;SPS KHUSNUL KHOTIMAH;69933640;SPS;Swasta;27 Jan 2026 15:43:28;15;42;2;2;2;2;0;0
32;SPS MUHAJIRIN 043;69773258;SPS;Swasta;09 Feb 2026 13:11:02;3;33;3;3;0;2;0;0
33;SPS PELITA IBU;69773259;SPS;Swasta;22 Jan 2026 18:12:09;10;35;3;3;1;1;0;0
