Data Guru Kec. Sukarami - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;TK ADE IRMA PALEMBANG;10647767;TK;Swasta;11 Feb 2026 20:35:11;15;23;2;0;2;3;0;0
2;TK ADIILA MULIA 2;10644274;TK;Swasta;-;4;1;1;1;1;1;0;0
3;TK ADILLA MULIA 1;10644270;TK;Swasta;03 Mar 2026 08:35:09;7;20;2;1;1;3;0;0
4;TK AIDIL FITRI 2;10644278;TK;Swasta;27 Jan 2026 22:08:23;60;53;3;3;2;3;0;0
5;TK AISYIYAH 19 PALEMBANG;10644279;TK;Swasta;04 Mar 2026 05:53:51;1;74;5;5;1;7;0;0
6;TK AISYIYAH 20 INOVATIF;70049237;TK;Swasta;03 Mar 2026 12:02:26;24;32;2;3;1;2;0;0
7;TK AISYIYAH 23 PALEMBANG;69986144;TK;Swasta;03 Mar 2026 06:16:25;13;39;2;1;1;2;0;0
8;TK AL FAJAR;10648888;TK;Swasta;05 Mar 2026 17:00:39;8;13;1;2;1;2;0;0
9;TK AL KAHFI PALEMBANG;10647674;TK;Swasta;03 Mar 2026 05:50:01;1;25;2;2;1;2;0;0
10;TK AL-HIKMAH;10644280;TK;Swasta;-;0;0;0;0;0;0;0;0
11;TK ALAM INDONESIA;70050255;TK;Swasta;27 Feb 2026 11:41:45;0;0;0;0;0;0;0;0
12;TK ALLAMAH PALEMBANG;69996019;TK;Swasta;12 Mar 2026 22:54:04;10;26;2;2;1;2;0;0
13;TK ANGGREK PALEMBANG;69773028;TK;Swasta;03 Mar 2026 21:09:28;5;42;3;2;2;3;0;0
14;TK ANGKASA LANUD PALEMBANG;10644283;TK;Swasta;04 Mar 2026 04:15:11;11;65;3;2;1;3;0;1
15;TK ANNISA PALEMBANG;70003254;TK;Swasta;04 Mar 2026 11:45:33;9;47;3;3;2;3;0;0
16;TK ARIMBI PALEMBANG;10644287;TK;Swasta;04 Mar 2026 04:37:28;11;74;6;6;1;5;0;0
17;TK AWALLIA PALEMBANG;10644288;TK;Swasta;24 Feb 2026 16:15:09;20;59;3;3;2;4;0;0
18;TK AYESHA;70040091;TK;Swasta;06 Mar 2026 08:26:46;15;87;4;6;2;4;0;0
19;TK BAROKAH PALEMBANG;69981725;TK;Swasta;05 Mar 2026 22:34:44;15;53;3;4;1;3;0;1
20;TK BASOKA;70030210;TK;Swasta;10 Mar 2026 21:59:28;6;35;3;3;4;3;0;0
21;TK BINA PUTRA II PALEMBANG;69877595;TK;Swasta;04 Mar 2026 06:13:36;8;18;1;1;1;2;0;0
22;TK BUNDA NINGSIH;69858036;TK;Swasta;01 Mar 2026 07:01:44;11;53;3;3;1;3;0;0
23;TK BUSTANUL AMIN;70030308;TK;Swasta;04 Mar 2026 21:46:45;12;51;3;4;3;3;0;0
24;TK CAHAYA PERMATA PALEMBANG;69980166;TK;Swasta;01 Mar 2026 08:37:57;5;26;2;1;1;3;0;0
25;TK CENDIKIA FAIHA PALEMBANG;69892917;TK;Swasta;03 Feb 2026 21:08:16;9;42;3;5;1;6;1;0
26;TK DAMAR CERDAS;70038715;TK;Swasta;06 Mar 2026 19:02:42;25;24;2;3;2;2;0;0
27;TK DEWI SARTIKA PALEMBANG;10644293;TK;Swasta;28 Jan 2026 20:27:33;19;22;2;3;1;2;0;0
28;TK Dirgantara Permai Sejahtera;70049356;TK;Swasta;19 Feb 2026 21:13:47;0;0;0;0;0;0;0;0
29;TK HANDAYANI PALEMBANG;10644296;TK;Swasta;17 Jan 2026 06:46:37;23;17;1;2;0;1;0;0
30;TK HIGHSCOPE;70050882;TK;Swasta;26 Feb 2026 11:27:14;16;38;2;4;2;4;0;0
31;TK ISLAM ADVENTURE;69976702;TK;Swasta;06 Mar 2026 08:31:16;5;15;1;1;2;2;0;0
32;TK ISLAM AL - GHIFAR;70030220;TK;Swasta;03 Mar 2026 14:38:35;18;53;3;5;1;2;0;0
33;TK ISLAM TERPADU VIRA MAYTAVI;70030212;TK;Swasta;03 Mar 2026 15:04:12;11;49;3;3;2;2;0;0
34;TK ISLAMI PENERBANGAN SRIWIJAYA;70030442;TK;Swasta;06 Mar 2026 13:54:38;19;66;3;2;2;4;0;0
35;TK IT AL FATTAH;69876013;TK;Swasta;04 Mar 2026 08:10:27;9;27;2;3;2;4;0;0
36;TK IT AMINAH TUZUHRIYAH;69858035;TK;Swasta;05 Mar 2026 21:06:02;7;24;3;3;3;4;0;1
37;TK IT ASRI;69899031;TK;Swasta;07 Mar 2026 09:12:37;15;54;4;6;2;4;0;1
38;TK IT DHAIFULLAH PALEMBANG;10648014;TK;Swasta;18 Jan 2026 07:08:50;1;26;2;2;1;4;0;0
39;TK IT INSAN MANDIRI CENDEKIA;70009534;TK;Swasta;03 Feb 2026 09:57:02;19;97;7;7;2;7;0;0
40;TK IT MUTIARA PALEMBANG;10648027;TK;Swasta;03 Mar 2026 19:36:55;9;90;6;6;2;6;0;0
41;TK IT NURJANAH;69929836;TK;Swasta;03 Feb 2026 19:26:26;9;29;2;2;1;3;0;1
42;TK JAYANTI;70030465;TK;Swasta;04 Mar 2026 10:50:09;8;25;2;2;2;2;0;0
43;TK JULIAN PALEMBANG;70032584;TK;Swasta;06 Mar 2026 13:39:55;19;37;3;2;1;2;0;0
44;TK KARUNIA MAKMUR PALEMBANG;70030910;TK;Swasta;19 Jan 2026 14:14:49;10;35;2;3;2;2;0;0
45;TK KASIH BUNDA 1;70038718;TK;Swasta;03 Mar 2026 10:19:45;21;60;6;5;1;6;0;0
46;TK KHALIFAH 16;69969027;TK;Swasta;04 Mar 2026 11:49:14;9;21;2;4;1;2;0;0
47;TK LABIBAH ISLAMIC SCHOOL;70049464;TK;Swasta;05 Mar 2026 16:25:24;28;37;2;2;2;2;0;0
48;TK LIKO PALEMBANG;69982399;TK;Swasta;05 Mar 2026 15:56:44;7;37;2;3;1;3;0;0
49;TK MANDIRI;10644527;TK;Swasta;03 Mar 2026 04:45:34;26;54;3;3;1;4;0;0
50;TK MARLIN;70049360;TK;Swasta;26 Feb 2026 15:31:19;0;0;0;0;0;0;0;0
51;TK MEGAWATI I;10644521;TK;Swasta;02 Mar 2026 22:28:16;3;15;1;2;1;2;0;0
52;TK MEKAR SARI;10644528;TK;Swasta;03 Mar 2026 04:46:27;35;27;2;1;1;2;0;0
53;TK MIFTAHUL JANNAH;69933402;TK;Swasta;05 Mar 2026 19:14:04;14;29;2;2;1;2;0;0
54;TK MUSTIKA DYASA;10644525;TK;Swasta;03 Mar 2026 11:58:03;1;34;2;2;1;3;0;0
55;TK MUTIARA BUNDA;69756889;TK;Swasta;-;5;20;2;2;2;2;0;0
56;TK NURANI;10644517;TK;Swasta;21 Jan 2026 14:15:26;6;43;2;2;2;2;0;0
57;TK NURUL HIDAYAH;10644526;TK;Swasta;25 Jan 2026 00:41:46;8;85;5;5;4;6;0;0
58;TK PANCA BAKTI 2;10644512;TK;Swasta;27 Feb 2026 07:31:27;5;15;1;2;1;2;0;0
59;TK PANCA KARSA;10644522;TK;Swasta;04 Mar 2026 20:30:43;16;63;4;4;2;5;0;0
60;TK PELITA SRIWIJAYA;70043915;TK;Swasta;-;17;41;3;2;1;3;0;0
61;TK Permata;70049236;TK;Swasta;09 Feb 2026 10:20:46;19;51;3;3;3;3;0;0
62;TK PERMATA ASRI;10647177;TK;Swasta;-;7;43;2;2;1;3;0;0
63;TK RASYISA;69858034;TK;Swasta;03 Mar 2026 08:39:50;15;26;2;2;1;2;0;0
64;TK RESTU ILAHI;69932230;TK;Swasta;25 Jan 2026 05:47:05;5;14;1;3;2;2;0;0
65;TK REVINAR JOY;10644523;TK;Swasta;03 Mar 2026 07:58:05;10;17;1;1;1;3;0;1
66;TK SARINAH;69976854;TK;Swasta;28 Feb 2026 19:39:35;7;22;2;1;1;1;0;0
67;TK TAHFIDZ KIAI MAROGAN;70030314;TK;Swasta;11 Feb 2026 13:11:30;14;30;2;3;3;2;0;0
68;TK TERATAI 1 PALEMBANG;10644524;TK;Swasta;03 Mar 2026 05:16:52;7;58;3;3;1;5;0;0
69;TK YIWA FATHONAH;70045452;TK;Swasta;04 Mar 2026 19:24:13;13;16;1;1;2;2;0;0
70;TK YP AR CERIA PALEMBANG;10647878;TK;Swasta;04 Mar 2026 07:02:56;12;35;2;2;1;2;0;0
71;TK YP INDRA 2 PALEMBANG;10644519;TK;Swasta;23 Jan 2026 18:31:56;28;54;3;3;1;5;0;1
72;TK ZIQRI ABIDZAR;70052598;TK;Swasta;28 Jan 2026 13:16:36;0;0;0;0;0;0;0;0
73;TK ZUHRIE PALEMBANG;70030345;TK;Swasta;03 Mar 2026 08:27:45;29;36;2;2;3;2;0;0
74;AL-GHIFAR;69891380;KB;Swasta;11 Feb 2026 17:28:04;6;12;2;3;1;2;0;0
75;KB AL FASHTHA;69958863;KB;Swasta;21 Jan 2026 22:07:14;10;45;2;1;1;2;0;0
76;KB AL-FARUQ;69986686;KB;Swasta;20 Jan 2026 06:59:42;9;19;2;2;1;2;0;0
77;KB ALAM INDONESIA PALEMBANG;70050253;KB;Swasta;-;0;0;0;0;0;0;0;0
78;KB ALISAH PALEMBANG;70044350;KB;Swasta;11 Mar 2026 10:23:16;46;20;1;1;2;2;0;0
79;KB ANGSANA;69960166;KB;Swasta;03 Mar 2026 21:28:26;6;20;2;1;1;2;0;0
80;KB BMB KIDS;70030351;KB;Swasta;06 Mar 2026 19:33:32;15;48;3;4;2;2;0;0
81;KB CAHAYA RIZKI PALEMBANG;70010528;KB;Swasta;-;4;7;1;1;2;2;0;0
82;KB DIRGANTARA;69773224;KB;Swasta;03 Feb 2026 13:24:17;10;87;4;2;2;4;0;0
83;KB FAIZAH ALFIYYAH;69858078;KB;Swasta;-;6;26;2;2;1;2;0;1
84;KB HIGHSCOPE II;70050879;KB;Swasta;03 Mar 2026 11:41:48;11;3;1;2;2;2;0;0
85;KB KESUMA;69858075;KB;Swasta;25 Feb 2026 04:59:00;6;34;2;3;3;2;0;0
86;KB LESTARI;69773213;KB;Swasta;21 Jan 2026 12:59:59;6;22;2;1;2;2;0;0
87;KB MAHABBATAN MINNY;69773283;KB;Swasta;-;4;21;2;4;2;2;0;0
88;KB MUTIARA BUNDA;69773127;KB;Swasta;21 Jan 2026 15:14:08;3;16;1;1;1;2;0;0
