Data Peserta Didik Kec. Sako - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;TK ABRIZAM ANUGERAH;70030359;TK;Swasta;03 Mar 2026 20:59:08;18;36;3;3;2;3;0;0
2;TK AL-AQOBAH ARRABIU;10644328;TK;Swasta;10 Mar 2026 09:10:37;9;32;3;3;1;4;0;0
3;TK ALMUQODDIM;10644332;TK;Swasta;03 Mar 2026 08:42:42;8;29;3;3;1;3;0;0
4;TK ANANDA;69773027;TK;Swasta;16 Jan 2026 10:30:25;5;18;1;1;0;1;0;0
5;TK ANISA KARYA;69773024;TK;Swasta;04 Mar 2026 22:30:20;21;38;3;2;1;3;0;0
6;TK ANNISA;10644325;TK;Swasta;03 Mar 2026 03:57:24;15;32;3;1;2;3;0;0
7;TK AZ-ZAHRA;10644327;TK;Swasta;-;0;0;0;0;0;0;0;0
8;TK BINA CITRA SEJATI II;69876045;TK;Swasta;19 Jan 2026 13:18:03;4;46;2;2;2;3;0;0
9;TK BINA KAWAN;10644307;TK;Swasta;03 Mar 2026 11:54:17;9;38;3;3;2;3;0;0
10;TK BUDI SYUKUR SAKO PALEMBANG;69876028;TK;Swasta;21 Jan 2026 07:08:10;7;36;2;1;1;2;0;0
11;TK CAHAYA HATI;70030204;TK;Swasta;31 Jan 2026 18:04:45;9;47;2;3;2;2;0;0
12;TK CERIA;69982233;TK;Swasta;-;0;0;0;0;1;0;0;0
13;TK DOA ANANDDA;69960204;TK;Swasta;03 Mar 2026 12:34:46;3;34;2;3;0;2;0;0
14;TK DOA IBU;10644313;TK;Swasta;04 Mar 2026 04:08:37;8;27;2;2;1;2;0;0
15;TK ESSABA PALEMBANG;10647153;TK;Swasta;21 Jan 2026 07:33:20;4;15;1;1;1;2;0;1
16;TK FARIS ATHALLAH;69960944;TK;Swasta;06 Mar 2026 01:46:08;18;32;2;2;2;2;0;0
17;TK GENERASI CERDAS;69891376;TK;Swasta;01 Mar 2026 13:31:08;26;57;5;6;1;5;0;0
18;TK HARAPAN BANGSA 5;10644306;TK;Swasta;21 Jan 2026 19:29:34;6;32;2;2;1;3;0;0
19;TK HARAPAN MARDHOTILLAH;69901207;TK;Swasta;23 Jan 2026 08:31:22;7;30;2;3;1;3;0;0
20;TK HARIS;10647870;TK;Swasta;05 Mar 2026 11:11:38;4;13;2;1;1;2;0;1
21;TK HIJRIYAH III;10644324;TK;Swasta;23 Jan 2026 10:43:56;5;35;3;3;1;3;0;0
22;TK ISLAM AL-AZHAR 41 PALEMBANG;69964486;TK;Swasta;03 Mar 2026 11:46:12;16;69;4;4;1;4;0;1
23;TK ISLAM BAITURRAHMAN;69962614;TK;Swasta;03 Mar 2026 10:09:35;22;59;3;3;2;4;0;1
24;TK ISLAM TERPADU DARUL FADHLI;69947470;TK;Swasta;11 Mar 2026 09:05:10;16;20;2;3;2;2;0;0
25;TK ISLAM YAA BUNAYYA;69968765;TK;Swasta;03 Mar 2026 12:13:25;16;79;4;4;3;4;1;1
26;TK IT ALAM TELAGA;70000990;TK;Swasta;-;9;15;1;1;1;1;0;0
27;TK IT AULADI;69876023;TK;Swasta;09 Feb 2026 12:08:01;7;26;2;3;2;2;0;1
28;TK IT KHAZANAH KEBAJIKAN PALEMBANG;70030890;TK;Swasta;-;0;0;0;0;0;0;0;0
29;TK KHALIFAH 21;69876029;TK;Swasta;-;13;28;1;2;1;3;0;0
