Data Guru Kec. Ilir Timur II - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
47;SMA NURUL QOMAR PALEMBANG;10609672;SMA;Swasta;10 Mar 2026 10:59:58;21;81;3;5;4;5;3;1
48;SMA NUSA BANGSA PALEMBANG;10609673;SMA;Swasta;18 Feb 2026 11:14:33;33;18;4;12;3;5;1;1
49;SMA PEMBINA PALEMBANG;10609674;SMA;Swasta;04 Mar 2026 09:20:48;136;301;12;22;3;13;7;2
50;SMA TUNAS BANGSA PALEMBANG;10609719;SMA;Swasta;10 Mar 2026 07:31:51;105;1,006;24;39;11;27;6;1
51;SMA XAVERIUS 01 PALEMBANG;10609704;SMA;Swasta;06 Mar 2026 11:09:27;39;1,217;36;56;18;41;10;1
52;SMA XAVERIUS 04 PALEMBANG;10609707;SMA;Swasta;09 Mar 2026 15:12:18;22;168;7;10;3;9;6;1
53;SMK NEGERI 06 PALEMBANG;10603708;SMK;Negeri;13 Mar 2026 13:47:27;42;1,371;45;88;23;28;4;1
54;SMK AULIA PALEMBANG;69856920;SMK;Swasta;-;12;149;5;7;1;5;0;0
55;SMK FARMASI PALEMBANG;10646388;SMK;Swasta;09 Mar 2026 15:32:05;10;137;5;3;1;6;5;1
56;SMK KRISNA PERSADA PALEMBANG;10646186;SMK;Swasta;-;10;45;4;7;2;4;1;1
57;SMK PELAYARAN SINAR BAHARI PALEMBANG;10603700;SMK;Swasta;03 Mar 2026 13:58:37;48;230;8;16;2;9;5;1
58;SMK PEMBINA 01 PALEMBANG;10603717;SMK;Swasta;02 Mar 2026 14:35:38;77;929;29;22;1;30;1;1
59;SMK PEMBINA 02 PALEMBANG;10609732;SMK;Swasta;12 Mar 2026 22:05:23;81;998;32;22;2;42;5;3
60;SMK TAMAN SISWA SUNGAI BUAH PALEMBANG;10646146;SMK;Swasta;03 Mar 2026 22:39:06;30;92;6;1;1;6;1;1
61;SMK TELENIKA PALEMBANG;10609734;SMK;Swasta;05 Mar 2026 11:27:50;111;300;15;18;4;14;3;1
62;SLB A PRPCN PALEMBANG;10604008;SLB;Swasta;03 Mar 2026 06:12:07;7;31;13;11;1;13;1;1
63;SLB C YAYASAN 88 PALEMBANG;10604006;SLB;Swasta;12 Mar 2026 22:07:55;18;73;11;8;1;10;0;0
Total;Total;Total;Total;Total;Total;2,352;22,498;803;1,155;242;796;147;63
