Data Guru Kec. Kemuning - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
47;SMK NURUL IMAN PALEMBANG;10603721;SMK;Swasta;13 Mar 2026 14:57:04;29;207;10;18;5;12;3;1
48;SMK PENERBANGAN SRIWIJAYA PALEMBANG;69786202;SMK;Swasta;04 Mar 2026 16:27:17;34;147;6;9;3;6;0;1
49;SMK PERBANKAN ALUMNIKA PALEMBANG;69772971;SMK;Swasta;03 Feb 2026 16:35:43;9;185;7;3;1;9;1;1
50;SMK PERHOTELAN INDONESIA PALEMBANG;10609729;SMK;Swasta;-;35;165;6;10;1;5;3;3
51;SMK SWAKARYA PALEMBANG;10603685;SMK;Swasta;04 Mar 2026 09:25:15;100;526;17;27;6;39;2;1
52;SMK TEKNOLOGI NASIONAL PALEMBANG;10609733;SMK;Swasta;12 Mar 2026 12:54:41;83;272;10;12;1;28;6;1
53;SMK TRI SAKTI PALEMBANG;10603681;SMK;Swasta;-;50;59;4;15;2;7;1;1
54;SMK TRISULA PERWARI PALEMBANG;10603680;SMK;Swasta;-;46;89;2;5;2;3;1;1
55;SLB B KARYA IBU PALEMBANG;10644165;SLB;Swasta;25 Feb 2026 09:14:59;15;113;13;16;5;17;0;0
56;SLB C KARYA IBU PALEMBANG;10609477;SLB;Swasta;05 Mar 2026 19:10:44;29;167;25;22;2;29;0;1
Total;Total;Total;Total;Total;Total;3,572;28,431;965;1,503;330;1,004;126;58
