Data Peserta Didik Kec. Alang-Alang Lebar - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
56;SD NEGERI 237 PALEMBANG;10604271;SD;Negeri;07 Mar 2026 08:11:30;13;72;6;6;3;6;0;1
57;SD NEGERI 238 PALEMBANG;10609400;SD;Negeri;04 Mar 2026 10:06:19;72;550;19;23;6;16;0;1
58;SD NEGERI 239 PALEMBANG;10604270;SD;Negeri;07 Mar 2026 10:58:50;25;225;11;16;2;7;0;0
59;SD NEGERI 240 PALEMBANG;10604265;SD;Negeri;03 Mar 2026 10:24:04;102;552;19;25;3;9;2;1
60;SD NEGERI 241 PALEMBANG;10604276;SD;Negeri;11 Mar 2026 12:13:25;59;809;26;27;5;13;1;1
61;SD NEGERI 242 PALEMBANG;10604277;SD;Negeri;07 Mar 2026 09:40:10;19;579;19;20;4;8;0;1
62;SD NEGERI 243 PALEMBANG;10609403;SD;Negeri;12 Mar 2026 11:37:54;74;1,234;31;34;2;15;0;1
63;SD NEGERI 244 PALEMBANG;10609770;SD;Negeri;12 Mar 2026 12:08:00;80;1,044;26;32;2;17;0;1
64;SD NEGERI 249 PALEMBANG;70003773;SD;Negeri;12 Mar 2026 12:50:34;47;179;7;7;5;6;0;0
65;SD BINA POTENSI PALEMBANG;10647818;SD;Swasta;03 Mar 2026 14:21:05;69;66;6;12;2;6;1;1
66;SD IGNATIUS GLOBAL SCHOOL CITRAGRAND CITY;69883476;SD;Swasta;03 Mar 2026 10:51:13;31;149;6;8;2;6;0;1
67;SD ISLAM FATIMAH PALEMBANG;10609880;SD;Swasta;11 Mar 2026 12:03:15;54;513;20;34;9;21;0;1
68;SD ISLAM KHALIFAH ANNIZAM PALEMBANG;69906037;SD;Swasta;11 Mar 2026 13:28:27;50;430;18;34;7;23;2;1
69;SD IT FATHONA PALEMBANG;69726537;SD;Swasta;07 Mar 2026 21:02:45;39;316;12;25;4;13;1;1
70;SD KARYA DHARMA BHAKTI 2 PALEMBANG;10609914;SD;Swasta;25 Feb 2026 11:46:49;7;362;13;12;3;8;1;1
71;SD MUHAMMADIYAH 20 PALEMBANG;70029251;SD;Swasta;04 Mar 2026 20:17:32;0;0;0;0;0;0;0;0
72;SD PALM KIDS PALEMBANG;10609461;SD;Swasta;06 Mar 2026 09:00:09;28;214;9;13;7;34;1;0
73;SD PLUS INDO GLOBAL MANDIRI PALEMBANG;10610115;SD;Swasta;11 Mar 2026 07:29:56;80;548;23;36;10;26;2;1
74;SD RIFANDA;70031466;SD;Swasta;05 Mar 2026 12:48:19;34;10;2;2;2;2;0;1
75;SD SAINS ALUMNIKA PALEMBANG;69990267;SD;Swasta;09 Feb 2026 10:26:01;19;111;5;6;3;5;0;1
76;SMP NEGERI 19 PALEMBANG;10603755;SMP;Negeri;09 Mar 2026 17:54:28;71;1,092;36;70;13;37;3;1
77;SMP NEGERI 52 PALEMBANG;10603752;SMP;Negeri;05 Mar 2026 11:27:14;99;1,041;30;53;13;25;2;1
78;SMP NEGERI 54 PALEMBANG;10603750;SMP;Negeri;12 Mar 2026 14:03:07;62;1,01;31;45;13;29;1;1
79;SMP NEGERI 55 PALEMBANG;10603749;SMP;Negeri;04 Mar 2026 08:53:56;35;659;22;46;9;21;1;1
80;SMP IT AL FURQON PALEMBANG;10646288;SMP;Swasta;06 Mar 2026 10:59:23;33;425;15;34;2;15;3;1
81;SMP IT FATHONA PALEMBANG;69960773;SMP;Swasta;03 Mar 2026 10:45:47;19;60;3;7;2;3;1;1
82;SMP IT IZZATUNA PUTRI PALEMBANG;70029257;SMP;Swasta;07 Mar 2026 09:43:39;10;73;3;3;1;3;0;0
83;SMP KARYA DHARMA BHAKTI PALEMBANG;10609524;SMP;Swasta;04 Mar 2026 12:47:48;8;103;5;7;1;5;2;1
84;SMP LTI INDO GLOBAL MANDIRI PALEMBANG;10604532;SMP;Swasta;04 Mar 2026 13:23:54;46;270;9;27;4;13;3;1
