Data Guru Kec. Sematang Borang - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;TK NEGERI PEMBINA 07 PALEMBANG;70001379;TK;Negeri;03 Mar 2026 13:18:50;16;79;5;6;2;5;0;0
2;TK AL AHSAN INSANI PALEMBANG;69989641;TK;Swasta;-;12;23;2;2;1;2;0;0
3;TK AL-HIDAYAH PALEMBANG;69892914;TK;Swasta;03 Mar 2026 15:01:00;9;54;3;4;1;4;0;0
4;TK AN - NUR PALEMBANG;10647986;TK;Swasta;16 Jan 2026 13:09:22;5;46;3;3;1;4;0;0
5;TK BINTANG KEMBAR PALEMBANG;70003272;TK;Swasta;05 Mar 2026 09:29:22;15;37;1;3;3;2;0;0
6;TK FATHURRAHMAN PALEMBANG;69960491;TK;Swasta;04 Mar 2026 20:09:26;21;70;3;3;1;4;0;0
7;TK FATIMAH 2 PALEMBANG;10644317;TK;Swasta;24 Feb 2026 22:13:00;7;23;1;1;1;2;0;0
8;TK KASIH IBU PALEMBANG;69964235;TK;Swasta;26 Feb 2026 10:49:03;6;31;1;1;1;1;0;0
9;TK MAMA SHAFIRDHA PALEMBANG;69858030;TK;Swasta;20 Jan 2026 08:04:33;4;52;4;3;1;4;0;0
10;TK MUTIARA HATI;70030907;TK;Swasta;06 Mar 2026 21:36:08;14;35;2;2;1;3;0;0
11;TK NURHIDAYAH PALEMBANG;69964230;TK;Swasta;21 Jan 2026 20:09:38;4;55;2;2;3;4;0;1
12;TK PARADUTA KIDS ACADEMY;70030904;TK;Swasta;03 Feb 2026 22:39:29;0;0;0;3;3;0;0;0
13;TK PUSPASARI PALEMBANG;10644336;TK;Swasta;21 Jan 2026 20:20:48;9;29;2;1;2;2;0;1
14;TK TUNAS RIMBA PALEMBANG;10644318;TK;Swasta;19 Jan 2026 14:31:55;5;22;2;1;1;2;0;0
15;TK XAVERIUS 9 PALEMBANG;10644309;TK;Swasta;05 Mar 2026 07:32:22;14;79;3;3;3;4;0;0
16;KB AL-HIDAYAH;69858070;KB;Swasta;-;8;17;1;0;1;1;0;0
17;KB AMALIA MUKMIN;70009415;KB;Swasta;23 Feb 2026 13:13:54;20;16;2;2;1;2;0;0
18;KB FATHURRAHMAN SHIDIQ;69858072;KB;Swasta;-;6;20;1;2;0;1;0;1
19;KB MEKAR SARI;69981343;KB;Swasta;23 Jan 2026 13:30:21;6;35;2;2;1;3;0;0
20;KB MENTARI;69960169;KB;Swasta;03 Mar 2026 22:35:54;3;51;2;1;1;2;0;0
21;KB MUTIARA HATI;69876057;KB;Swasta;16 Jan 2026 22:59:11;8;32;2;2;1;4;0;0
22;KB NURUL ZAHRA;69858073;KB;Swasta;04 Feb 2026 12:20:09;5;26;2;3;3;2;0;0
23;KB PELITA HATI;69960170;KB;Swasta;04 Mar 2026 14:31:41;14;70;2;1;1;2;0;0
24;SPS ADAWIYAH;69876038;SPS;Swasta;-;26;43;2;2;1;2;0;1
25;SPS AL-FALAH;69773278;SPS;Swasta;26 Jan 2026 14:47:21;3;25;1;1;1;3;0;0
26;SPS MUTIARA IBU;69773279;SPS;Swasta;02 Feb 2026 18:08:04;6;24;1;2;1;1;0;0
27;SPS NURUL TAQWA;69773280;SPS;Swasta;06 Mar 2026 05:44:06;7;78;7;6;1;5;0;0
28;SD NEGERI 245 PALEMBANG;10603510;SD;Negeri;12 Mar 2026 13:03:48;68;762;22;28;6;11;0;1
29;SD NEGERI 246 PALEMBANG;10603509;SD;Negeri;07 Mar 2026 19:12:38;121;669;21;26;5;14;1;1
30;SD NEGERI 247 PALEMBANG;10609399;SD;Negeri;07 Mar 2026 07:46:38;23;739;22;28;3;9;0;1
31;SD NEGERI 248 PALEMBANG;10603506;SD;Negeri;13 Mar 2026 08:39:46;75;640;21;14;4;10;0;1
32;SD KHOIRU UMMAH PALEMBANG;10648164;SD;Swasta;03 Mar 2026 07:35:34;44;90;6;8;1;6;0;1
33;SD XAVERIUS 09 PALEMBANG;10609469;SD;Swasta;11 Mar 2026 13:52:14;55;534;18;25;8;18;1;1
34;SMP NEGERI 23 PALEMBANG;10603691;SMP;Negeri;03 Mar 2026 10:59:19;101;723;23;37;8;22;1;1
35;SMP NEGERI 60 PALEMBANG;69978352;SMP;Negeri;07 Mar 2026 16:39:53;39;574;17;26;5;11;1;1
36;SMP XAVERIUS 7;10609605;SMP;Swasta;07 Mar 2026 20:01:37;18;310;12;15;9;12;2;1
37;SMK XAVERIUS PALEMBANG;10603677;SMK;Swasta;06 Mar 2026 15:40:44;43;392;14;25;10;18;3;1
38;PKBM ADAWIYAH;P2966323;PKBM;Swasta;03 Mar 2026 12:41:15;17;188;8;4;1;8;2;1
39;PKBM LUKMANUL HAKIM;P9996688;PKBM;Swasta;12 Mar 2026 11:32:13;58;61;8;2;1;3;0;0
40;PKBM MUTIARA LYVIAS SCHOOL;P9998325;PKBM;Swasta;-;0;0;0;0;1;0;0;0
Total;Total;Total;Total;Total;Total;915;6,754;251;300;100;213;11;15
