Data Guru Kec. Ilir Barat I - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
53;KB HIGHSCOPE;70003516;KB;Swasta;03 Feb 2026 09:27:41;16;54;3;2;1;3;0;0
54;KB ISLAM SAFA AL GHANI;69991491;KB;Swasta;03 Mar 2026 20:43:57;8;69;3;3;3;3;0;0
55;KB IT MADANI;69982688;KB;Swasta;31 Jan 2026 22:00:04;5;19;1;1;1;2;0;0
56;KB IT MUHSIN AL-FATAH;69982595;KB;Swasta;27 Jan 2026 18:45:53;16;8;1;2;1;2;0;0
57;KB Kasih bunda yuliani;69773129;KB;Swasta;07 Mar 2026 14:34:43;11;55;2;1;2;2;0;0
58;KB KURNIA;69773123;KB;Swasta;04 Mar 2026 12:03:25;5;40;2;2;1;3;0;0
59;KB PELANGIKU;70009242;KB;Swasta;06 Mar 2026 11:58:42;2;12;1;1;2;2;0;0
60;KB PELITA HATI;69858058;KB;Swasta;-;0;0;0;0;0;0;0;0
61;KB SANDRENA;69929731;KB;Swasta;29 Jan 2026 14:18:10;7;38;2;2;4;3;0;0
62;KB SYARIF MADANI;69984950;KB;Swasta;27 Feb 2026 14:09:04;7;53;4;4;1;3;0;0
63;KB USWATUN HASANAH;69876046;KB;Swasta;06 Feb 2026 13:48:35;5;3;1;2;2;2;0;0
64;KB.PELANGI;69858059;KB;Swasta;22 Feb 2026 17:14:26;2;11;2;1;3;2;0;0
65;SPS AL FIRDAUS;69989590;SPS;Swasta;27 Feb 2026 10:34:22;3;12;2;1;1;1;0;0
66;SPS AL-HIJRATUL MUSLIMIN;69858090;SPS;Swasta;-;0;0;0;0;0;0;0;0
67;SPS ARRAYAN;69876066;SPS;Swasta;-;11;15;1;1;1;1;0;0
68;SPS SHOFIYAH NUROHMAN;69876054;SPS;Swasta;06 Mar 2026 10:53:51;5;31;2;1;1;5;0;0
69;SD NEGERI 001 PALEMBANG;10603448;SD;Negeri;12 Mar 2026 12:43:06;55;584;22;27;5;12;1;1
70;SD NEGERI 002 PALEMBANG;10603442;SD;Negeri;12 Mar 2026 07:42:54;56;644;18;23;11;15;0;1
71;SD NEGERI 003 PALEMBANG;10603470;SD;Negeri;13 Mar 2026 15:33:51;19;118;6;9;3;7;0;1
72;SD NEGERI 004 PALEMBANG;10603541;SD;Negeri;02 Mar 2026 20:40:51;18;495;18;15;5;18;0;1
73;SD NEGERI 005 PALEMBANG;10603533;SD;Negeri;06 Mar 2026 11:31:05;45;312;12;16;3;9;0;1
74;SD NEGERI 006 PALEMBANG;10603544;SD;Negeri;12 Mar 2026 09:54:21;25;406;16;13;3;14;1;1
75;SD NEGERI 007 PALEMBANG;10603545;SD;Negeri;03 Mar 2026 18:55:34;32;200;7;10;3;6;1;1
76;SD NEGERI 008 PALEMBANG;10603482;SD;Negeri;10 Mar 2026 08:54:04;31;158;6;8;3;9;0;1
77;SD NEGERI 009 PALEMBANG;10603499;SD;Negeri;13 Mar 2026 08:31:36;87;266;12;13;4;9;0;1
78;SD NEGERI 010 PALEMBANG;10603997;SD;Negeri;13 Mar 2026 09:18:49;53;136;6;7;2;6;0;1
79;SD NEGERI 011 PALEMBANG;10603447;SD;Negeri;07 Mar 2026 10:55:52;39;495;18;23;4;11;0;1
80;SD NEGERI 012 PALEMBANG;10603446;SD;Negeri;06 Mar 2026 07:42:24;25;478;17;19;2;11;0;1
81;SD NEGERI 013 PALEMBANG;10603445;SD;Negeri;06 Mar 2026 11:10:05;29;636;19;24;4;8;0;1
82;SD NEGERI 014 PALEMBANG;10603505;SD;Negeri;12 Mar 2026 07:21:41;41;546;17;17;3;6;0;0
83;SD NEGERI 015 PALEMBANG;10603443;SD;Negeri;07 Mar 2026 10:42:40;25;323;12;14;2;7;0;1
84;SD NEGERI 016 PALEMBANG;10603438;SD;Negeri;31 Jan 2026 09:39:28;54;289;12;14;3;10;0;1
85;SD NEGERI 017 PALEMBANG;10603439;SD;Negeri;10 Mar 2026 10:55:11;32;424;16;23;3;19;1;1
86;SD NEGERI 018 PALEMBANG;10603440;SD;Negeri;05 Mar 2026 09:44:52;66;139;8;12;4;9;0;1
87;SD NEGERI 019 PALEMBANG;10603441;SD;Negeri;08 Mar 2026 16:35:12;31;306;12;13;4;8;0;1
88;SD NEGERI 020 PALEMBANG;10603461;SD;Negeri;09 Mar 2026 09:10:04;29;85;6;8;1;5;0;0
89;SD NEGERI 021 PALEMBANG;10603462;SD;Negeri;12 Mar 2026 07:36:49;47;456;18;22;6;27;0;2
90;SD NEGERI 022 PALEMBANG;10603463;SD;Negeri;06 Mar 2026 10:16:03;32;161;8;13;5;6;0;1
91;SD NEGERI 023 PALEMBANG;10604339;SD;Negeri;09 Mar 2026 19:45:36;58;641;22;27;5;21;1;1
