Data Guru Kec. Jakabaring - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;TK NEGERI PEMBINA 02 PALEMBANG;10644338;TK;Negeri;06 Mar 2026 08:49:39;24;124;8;12;2;8;0;0
2;PAUD IT AL FARABI;69960158;TK;Swasta;29 Jan 2026 22:39:08;16;13;1;3;0;2;0;0
3;TK AISYIYAH 20 PALEMBANG;10647706;TK;Swasta;-;0;0;0;0;0;2;0;1
4;TK ALAM PALEMBANG;69958449;TK;Swasta;05 Mar 2026 11:41:51;20;24;2;2;2;2;0;1
5;TK AYU;10644614;TK;Swasta;05 Mar 2026 08:33:12;100;26;2;3;1;3;0;0
6;TK BINA CITRA SEJATI;10644204;TK;Swasta;31 Jan 2026 13:57:28;4;14;1;3;1;3;0;0
7;TK BODHI;10644341;TK;Swasta;23 Feb 2026 12:57:56;28;23;1;1;1;1;0;0
8;TK IDILLIA;69975272;TK;Swasta;24 Jan 2026 15:53:54;3;47;2;3;1;2;0;0
9;TK ISLAM AL-AZHAR SRIWIJAYA;69877594;TK;Swasta;04 Mar 2026 08:49:28;18;12;1;2;3;3;0;0
10;TK KEMALA BHAYANGKARI 4 PALEMBANG;10644398;TK;Swasta;04 Mar 2026 11:49:51;8;37;3;3;1;3;0;1
11;TK KHALIFAH 27;69935524;TK;Swasta;03 Mar 2026 10:53:34;13;86;5;8;2;9;0;1
12;TK MANDIRI;69876021;TK;Swasta;02 Feb 2026 19:37:29;12;17;2;2;1;3;0;0
13;TK NADIRA;10647173;TK;Swasta;03 Mar 2026 07:44:13;38;49;3;4;1;4;0;1
14;TK ORANGE ISLAMIC SCHOOL;70013348;TK;Swasta;03 Mar 2026 10:22:51;0;0;0;2;1;0;0;0
15;TK PERMATA BUNDA;10644393;TK;Swasta;-;0;0;0;0;0;2;0;0
16;TK PERTIWI 1 PALEMBANG;10647178;TK;Swasta;02 Mar 2026 10:23:04;9;21;2;4;1;2;0;0
17;KB INTAN;69933477;KB;Swasta;-;9;32;3;3;1;3;0;0
18;KB KARTIKA MOJOPAHIT;69858047;KB;Swasta;-;0;0;0;0;0;2;0;0
19;KB KARTINI;69773252;KB;Swasta;25 Jan 2026 12:50:48;16;46;3;2;1;2;0;0
20;KB MENTARI;69773074;KB;Swasta;16 Jan 2026 11:04:47;1;50;4;5;2;4;0;0
21;KB PELANGI;69773059;KB;Swasta;01 Mar 2026 02:34:16;3;28;2;2;2;2;0;0
22;KB PRATIWI;69773075;KB;Swasta;14 Feb 2026 19:50:33;4;17;2;3;1;2;0;1
23;KB RAHMA;69876030;KB;Swasta;23 Jan 2026 13:25:04;21;89;4;2;1;2;0;0
24;KB TUNAS MELATI;69953005;KB;Swasta;24 Jan 2026 08:25:53;14;48;2;2;1;3;0;0
25;KB. KASIH IBU;69858045;KB;Swasta;05 Mar 2026 08:40:26;12;57;3;1;4;3;0;0
26;PAUD PELITA HATI;69933476;KB;Swasta;-;6;16;1;0;1;1;0;0
27;SPS TIANA SARI;69773256;SPS;Swasta;-;9;15;2;2;2;2;0;0
28;SD NEGERI 079 PALEMBANG;10603489;SD;Negeri;13 Mar 2026 09:55:53;82;1,157;41;52;11;17;0;3
29;SD NEGERI 080 PALEMBANG;10603491;SD;Negeri;11 Mar 2026 08:17:32;127;330;12;14;3;6;0;1
30;SD NEGERI 081 PALEMBANG;10603502;SD;Negeri;10 Mar 2026 07:59:36;53;1,109;35;44;6;30;2;1
31;SD NEGERI 082 PALEMBANG;10603501;SD;Negeri;04 Mar 2026 19:34:28;96;282;11;13;5;5;0;0
32;SD NEGERI 083 PALEMBANG;10603500;SD;Negeri;07 Mar 2026 00:32:19;150;751;25;29;8;11;0;1
33;SD NEGERI 084 PALEMBANG;10603498;SD;Negeri;13 Mar 2026 13:06:57;32;213;8;10;3;6;0;1
34;SD NEGERI 085 PALEMBANG;10609436;SD;Negeri;06 Mar 2026 10:01:07;84;1,137;38;44;7;25;0;1
35;SD NEGERI 086 PALEMBANG;10609437;SD;Negeri;09 Mar 2026 12:20:15;22;153;6;8;3;6;0;1
36;SD NEGERI 087 PALEMBANG;10603497;SD;Negeri;10 Mar 2026 06:10:02;38;623;21;24;5;12;1;1
37;SD NEGERI 088 PALEMBANG;10609438;SD;Negeri;11 Mar 2026 14:22:07;39;1,029;37;48;10;20;1;1
38;SD NEGERI 089 PALEMBANG;10603595;SD;Negeri;12 Mar 2026 20:03:15;77;434;17;24;2;14;0;1
39;SD ALAM PALEMBANG;10647750;SD;Swasta;03 Mar 2026 08:17:27;30;105;6;12;1;6;1;1
40;SD EMPAT TUNGGAL PALEMBANG;10603925;SD;Swasta;06 Feb 2026 14:13:32;22;37;5;4;1;6;0;0
41;SD ISLAM AL ALIFAH PALEMBANG;69727833;SD;Swasta;10 Mar 2026 09:09:30;53;590;25;30;6;27;2;1
42;SD ISLAM AL-AZHAR SRIWIJAYA;69892395;SD;Swasta;09 Mar 2026 12:49:17;39;184;9;10;4;9;1;1
43;SD KEMALA BHAYANGKARI 1 PALEMBANG;10603906;SD;Swasta;13 Mar 2026 10:40:35;24;177;6;7;1;6;0;1
44;SD MAITREYAWIRA OPI;69990964;SD;Swasta;09 Mar 2026 14:45:45;55;76;6;8;3;6;0;1
45;SD METHODIST 03 PALEMBANG;10603914;SD;Swasta;03 Mar 2026 12:17:09;12;82;6;6;2;6;1;1
46;SD MUHAMMADIYAH 07 PALEMBANG;10603920;SD;Swasta;07 Mar 2026 10:23:57;21;63;6;6;1;6;1;1
47;SD PADMAJAYA PALEMBANG;10603915;SD;Swasta;12 Mar 2026 11:17:24;125;129;6;9;4;7;1;2
48;SMP NEGERI 07 PALEMBANG;10603780;SMP;Negeri;13 Mar 2026 08:35:14;155;1,036;33;56;12;22;1;1
49;SMP NEGERI 15 PALEMBANG;10603699;SMP;Negeri;07 Mar 2026 09:39:31;59;837;26;41;10;12;2;1
50;SMP NEGERI 31 PALEMBANG;10603766;SMP;Negeri;03 Mar 2026 12:06:15;241;951;30;44;13;30;2;1
51;SMP NEGERI 35 PALEMBANG;10603736;SMP;Negeri;06 Mar 2026 10:26:09;42;785;25;37;8;25;1;1
