Data Guru Kec. Kalidoni - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
50;SMP PARAMOUNT PALEMBANG;69755984;SMP;Swasta;03 Mar 2026 12:35:01;18;64;3;4;1;3;2;1
51;SMP PGRI 02 PALEMBANG;10609568;SMP;Swasta;07 Mar 2026 10:12:52;27;197;6;10;4;7;1;1
52;SMP PGRI 11 PALEMBANG;10609564;SMP;Swasta;05 Mar 2026 14:56:09;63;491;16;23;5;8;3;1
53;SMP PRAMULA PALEMBANG;10609737;SMP;Swasta;01 Mar 2026 21:36:27;19;177;6;8;3;6;2;1
54;SMP PUSRI PALEMBANG;10609575;SMP;Swasta;09 Mar 2026 07:57:47;38;461;17;34;6;20;3;1
55;SMP YASOS PALEMBANG;10609608;SMP;Swasta;-;15;11;2;0;1;5;0;1
56;SMA NEGERI 07 PALEMBANG;10603863;SMA;Negeri;09 Mar 2026 09:38:24;75;774;22;44;10;22;5;1
57;SMA BINA CIPTA PALEMBANG;10609628;SMA;Swasta;07 Mar 2026 14:09:49;44;273;9;12;3;48;5;1
58;SMA DARMA BHAKTI PALEMBANG;10609637;SMA;Swasta;10 Mar 2026 15:20:41;24;525;15;14;2;15;2;1
59;SMA KRISTEN IPEKA PALEMBANG;69972507;SMA;Swasta;06 Mar 2026 12:39:42;8;68;6;10;3;6;4;1
60;SMA PGRI 04 PALEMBANG;10609679;SMA;Swasta;05 Mar 2026 15:06:48;27;319;10;20;4;10;2;1
61;SMA PRAMULA PALEMBANG;10609683;SMA;Swasta;07 Mar 2026 10:21:07;36;144;6;6;3;6;2;1
62;SMA PUSRI PALEMBANG;10609714;SMA;Swasta;13 Mar 2026 08:33:10;10;449;15;22;5;20;5;1
63;SMK BINA CIPTA PALEMBANG;10603704;SMK;Swasta;09 Mar 2026 09:44:19;85;392;15;18;3;15;3;1
64;SMK FARMASI BINA MEDIKA PALEMBANG;69756887;SMK;Swasta;06 Mar 2026 19:57:50;19;150;5;7;1;5;3;1
65;SMK PGRI 02 PALEMBANG;10603701;SMK;Swasta;13 Mar 2026 16:17:10;48;1,352;44;52;4;24;5;1
66;SMK PGRI 03 PALEMBANG;69755982;SMK;Swasta;04 Mar 2026 11:57:14;18;296;9;7;2;10;1;1
67;SMK TAQWA PALEMBANG;10603682;SMK;Swasta;13 Mar 2026 14:38:21;39;77;3;4;3;3;0;1
Total;Total;Total;Total;Total;Total;1,992;24,251;848;1,149;233;818;84;64
