Data Peserta Didik Kec. Ilir Timur III - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;TK BARUNAWATI 2 PALEMBANG;10644599;TK;Swasta;20 Jan 2026 10:58:24;5;41;2;2;1;2;0;0
2;TK BARUNAWATI I;10644602;TK;Swasta;-;4;28;2;3;1;2;0;0
3;TK BETHESDA;70030305;TK;Swasta;10 Mar 2026 15:00:45;21;49;2;2;2;1;0;0
4;TK BINA SEJAHTERA;10644596;TK;Swasta;20 Jan 2026 16:43:32;12;8;1;1;1;1;0;0
5;TK GUANG MING;69989783;TK;Swasta;10 Mar 2026 14:33:08;14;25;2;2;2;2;0;0
6;TK IBA;10647157;TK;Swasta;24 Feb 2026 13:06:24;12;47;3;3;3;4;0;0
7;TK IKAL BULOG;10604086;TK;Swasta;20 Jan 2026 11:40:37;9;36;2;1;1;3;0;0
8;TK INDRIASANA;10644595;TK;Swasta;26 Jan 2026 09:33:18;13;31;2;2;2;3;0;0
9;TK KEMALA BHAYANGKARI 1 PALEMBANG;10644613;TK;Swasta;04 Mar 2026 13:18:38;21;102;6;6;1;5;0;0
10;TK KHALIFAH 22;69969300;TK;Swasta;27 Jan 2026 08:18:21;13;52;6;7;2;6;0;0
11;TK MAHARDIKA;10644588;TK;Swasta;03 Mar 2026 10:49:36;30;46;3;4;1;4;0;0
12;TK MAITREYAWIRA PALEMBANG;10647676;TK;Swasta;27 Jan 2026 15:09:51;11;216;10;10;4;8;0;0
13;TK MATAHARI;69933908;TK;Swasta;05 Mar 2026 10:49:35;18;54;4;6;1;6;0;1
14;TK MELATI;10644598;TK;Swasta;27 Jan 2026 07:59:44;4;18;1;1;2;2;0;0
15;TK NUSA INDAH 1 PALEMBANG;10644594;TK;Swasta;23 Feb 2026 10:03:33;60;208;9;9;2;14;0;1
16;TK QOBILLAH;69726542;TK;Swasta;08 Mar 2026 08:17:38;31;61;4;5;3;2;0;1
17;TK SUMBANGSIH;10644605;TK;Swasta;01 Mar 2026 09:44:54;4;23;2;2;1;2;0;0
18;KB AL-MALIKI;69773177;KB;Swasta;24 Jan 2026 10:36:00;7;45;2;2;2;2;0;0
19;KB AN-NUR;69773160;KB;Swasta;24 Jan 2026 16:22:34;8;29;2;2;1;2;0;0
20;KB AQRA ATIKAH;69967158;KB;Swasta;24 Jan 2026 09:55:30;13;31;2;2;3;2;0;1
21;KB ASUHAN BUNDA II;69773181;KB;Swasta;13 Mar 2026 17:31:31;10;54;3;3;1;2;0;1
22;KB BASMALLAH;69773180;KB;Swasta;-;10;20;1;1;1;1;0;0
23;KB CEMARA;69773176;KB;Swasta;24 Jan 2026 17:14:03;5;74;3;3;2;2;0;0
24;KB CERDAS;69876059;KB;Swasta;11 Feb 2026 07:02:22;32;70;2;2;4;3;0;0
25;KB IT SAKINA;69947929;KB;Swasta;25 Jan 2026 22:26:26;5;22;1;3;2;1;0;0
26;KB MUSLIMAT;70013209;KB;Swasta;-;10;26;1;1;2;2;0;0
27;KB NUSA INDAH;70034574;KB;Swasta;26 Jan 2026 08:44:24;19;67;2;2;2;1;0;0
28;KB PELANGI BIRU;69773179;KB;Swasta;27 Jan 2026 11:01:50;11;36;2;2;1;2;0;0
29;KB TAMAN SARI;69975280;KB;Swasta;29 Jan 2026 19:45:56;7;13;1;2;0;2;0;1
30;SPS RSI INTERNATIONAL;69937337;SPS;Swasta;09 Mar 2026 11:47:09;19;70;7;7;1;13;0;1
31;SD NEGERI 054 PALEMBANG;10603656;SD;Negeri;03 Mar 2026 09:57:59;35;368;12;17;4;7;0;1
32;SD NEGERI 055 PALEMBANG;10609433;SD;Negeri;03 Mar 2026 10:43:13;30;676;24;32;6;16;0;1
33;SD NEGERI 056 PALEMBANG;10603660;SD;Negeri;12 Mar 2026 00:20:47;27;162;6;10;1;9;0;1
34;SD NEGERI 057 PALEMBANG;10603643;SD;Negeri;02 Mar 2026 08:04:59;85;481;19;24;6;32;0;2
35;SD NEGERI 059 PALEMBANG;10603630;SD;Negeri;10 Mar 2026 10:51:05;33;344;12;16;3;10;0;1
36;SD NEGERI 060 PALEMBANG;10603636;SD;Negeri;11 Mar 2026 09:28:20;64;405;14;19;3;9;0;0
37;SD NEGERI 061 PALEMBANG;10603633;SD;Negeri;03 Mar 2026 13:36:27;29;290;12;18;2;5;0;1
38;SD BETHESDA;70025520;SD;Swasta;27 Feb 2026 08:25:54;18;105;6;10;2;6;2;1
39;SD IGNATIUS GLOBAL SCHOOL PALEMBANG;10648822;SD;Swasta;05 Mar 2026 09:16:44;12;478;17;27;4;17;2;1
40;SD INDRIASANA PALEMBANG;10603908;SD;Swasta;07 Mar 2026 16:28:58;21;323;13;17;4;18;1;1
41;SD IT KAMILIYAH PALEMBANG;10609882;SD;Swasta;15 Feb 2026 17:30:08;7;184;8;19;4;12;2;1
42;SD IT MUTIARA AZZAM PALEMBANG;10648902;SD;Swasta;04 Mar 2026 08:51:07;21;143;6;15;3;8;1;1
43;SD KARYA DHARMA BHAKTI 01 PALEMBANG;10609884;SD;Swasta;04 Mar 2026 07:25:43;17;115;6;5;3;6;2;1
44;SD KUSUMA BANGSA PALEMBANG;69971011;SD;Swasta;09 Mar 2026 13:56:41;24;444;17;17;2;17;1;1
45;SD MAITREYAWIRA PALEMBANG;10647677;SD;Swasta;06 Mar 2026 12:44:54;36;803;30;53;6;30;1;1
46;SD MARANATHA PALEMBANG;69726548;SD;Swasta;26 Jan 2026 07:59:11;9;64;6;6;1;6;2;1
47;SD YAYASAN IBA PALEMBANG;10603948;SD;Swasta;09 Mar 2026 11:40:26;46;411;16;29;4;24;2;1
48;SMP NEGERI 04 PALEMBANG;10603760;SMP;Negeri;04 Mar 2026 13:43:32;63;1,074;32;46;10;32;4;1
49;SMP NEGERI 50 PALEMBANG;10603743;SMP;Negeri;13 Mar 2026 08:15:58;30;855;27;41;9;28;2;1
50;SMP ADABIYAH PALEMBANG;10609483;SMP;Swasta;06 Mar 2026 08:59:11;49;437;13;21;5;17;2;1
51;SMP AZIZIAH PLUS PALEMBANG;10609920;SMP;Swasta;24 Feb 2026 07:15:00;33;96;4;15;4;6;1;1
52;SMP BETHESDA PALEMBANG;70037851;SMP;Swasta;23 Feb 2026 08:59:32;17;45;2;7;2;2;1;1
53;SMP BINA WARGA PALEMBANG;10609504;SMP;Swasta;10 Mar 2026 10:41:04;32;59;3;8;6;6;1;3
54;SMP IBA PALEMBANG;10609482;SMP;Swasta;12 Mar 2026 07:55:48;13;106;4;12;6;7;4;1
55;SMP IGNATIUS GLOBAL SCHOOL PALEMBANG;10648887;SMP;Swasta;10 Mar 2026 07:55:49;17;941;29;44;5;29;7;2
56;SMP INDRIASANA PALEMBANG;10609517;SMP;Swasta;07 Mar 2026 09:42:53;12;177;6;10;3;9;2;1
57;SMP KARYA ABADI PALEMBANG;10609523;SMP;Swasta;03 Mar 2026 14:03:14;15;39;3;3;1;3;1;1
58;SMP KUSUMA BANGSA PALEMBANG;10609531;SMP;Swasta;03 Mar 2026 09:20:39;22;429;15;20;3;15;7;1
59;SMP MAITREYAWIRA;10647152;SMP;Swasta;23 Feb 2026 08:45:20;19;299;11;18;3;11;3;1
60;SMP NURUL AMAL PALEMBANG;10609551;SMP;Swasta;06 Mar 2026 08:55:55;29;169;6;9;4;6;3;1
61;SMP SINGAPORE INDONESIAN SCHOOL;69983924;SMP;Swasta;27 Feb 2026 09:34:49;15;74;3;7;1;3;3;1
62;SMP YPI TUNAS BANGSA PALEMBANG;10609595;SMP;Swasta;10 Mar 2026 12:28:32;25;516;16;25;5;20;2;1
63;PKBM AL-FATAN ATHARRAZKA;P9997317;PKBM;Swasta;31 Jan 2026 23:25:24;27;128;10;2;2;3;0;0
64;PKBM HOMESCHOOLING RSI INDONESIA;P9948039;PKBM;Swasta;05 Mar 2026 10:16:57;30;175;12;17;4;14;0;1
65;PKBM KUTTAB SAHABAT PALEMBANG;P9998918;PKBM;Swasta;12 Mar 2026 13:36:38;24;76;5;5;3;6;0;0
66;PKBM MELATI MUJAHIDIN;P2966561;PKBM;Swasta;11 Feb 2026 18:08:28;24;161;11;6;2;4;1;1
Total;Total;Total;Total;Total;Total;1,448;13,254;526;748;188;555;60;44
