Data Guru Kec. Sukarami - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;TK ADE IRMA PALEMBANG;10647767;TK;Swasta;11 Feb 2026 20:35:11;11;16;1;1;1;3;0;0
2;TK ADIILA MULIA 2;10644274;TK;Swasta;-;2;6;1;1;1;1;0;0
3;TK ADILLA MULIA 1;10644270;TK;Swasta;03 Mar 2026 08:35:09;8;22;2;2;1;3;0;0
4;TK AIDIL FITRI 2;10644278;TK;Swasta;27 Jan 2026 22:08:23;26;40;2;3;2;3;0;0
5;TK AISYIYAH 19;10644279;TK;Swasta;04 Mar 2026 05:53:51;9;54;4;7;2;7;0;0
6;TK AISYIYAH 23;69986144;TK;Swasta;03 Mar 2026 06:16:25;8;12;1;1;1;1;0;0
7;TK AL FAJAR;10648888;TK;Swasta;05 Mar 2026 17:00:39;6;17;1;3;1;2;0;0
8;TK AL KAHFI PALEMBANG;10647674;TK;Swasta;03 Mar 2026 05:50:01;6;18;1;2;1;2;0;0
9;TK AL-HIKMAH;10644280;TK;Swasta;-;6;12;1;1;1;1;0;0
10;TK ALLAMAH;69996019;TK;Swasta;12 Mar 2026 22:54:04;5;18;1;1;1;2;0;0
11;TK ANGGREK;69773028;TK;Swasta;03 Mar 2026 21:09:28;29;33;3;3;1;3;0;0
12;TK ANGKASA LANUD;10644283;TK;Swasta;04 Mar 2026 04:15:11;1;21;2;2;1;2;0;1
13;TK ANNISA;70003254;TK;Swasta;04 Mar 2026 11:45:33;69;64;3;3;2;3;0;0
14;TK ARIMBI;10644287;TK;Swasta;04 Mar 2026 04:37:28;6;50;4;5;1;5;0;0
15;TK AWALLIA;10644288;TK;Swasta;24 Feb 2026 16:15:09;20;63;3;3;1;4;0;0
16;TK BANGUN SEJAHTERA;10644289;TK;Swasta;-;3;2;1;1;1;1;0;0
17;TK BAROKAH;69981725;TK;Swasta;05 Mar 2026 22:34:44;7;16;1;0;1;1;0;0
18;TK BINA BAGSA;10644290;TK;Swasta;-;0;0;0;0;1;2;0;2
19;TK BINA PUTRA II;69877595;TK;Swasta;04 Mar 2026 06:13:36;4;18;1;3;1;2;0;0
20;TK BUNDA NINGSIH;69858036;TK;Swasta;01 Mar 2026 07:01:44;23;14;1;0;1;1;0;0
21;TK CAHAYA PERMATA;69980166;TK;Swasta;01 Mar 2026 08:37:57;31;17;2;2;1;2;0;0
22;TK CENDIKIA FAIHA;69892917;TK;Swasta;03 Feb 2026 21:08:16;9;25;2;2;1;6;1;0
23;TK DEWI SARTIKA;10644293;TK;Swasta;28 Jan 2026 20:27:33;22;15;1;3;1;2;0;0
24;TK HANDAYANI;10644296;TK;Swasta;17 Jan 2026 06:46:37;6;14;1;0;2;1;0;0
25;TK HARAPAN BANGSA 6 PALEMBANG;10647155;TK;Swasta;-;0;0;0;0;0;1;0;0
26;TK ISLAM ADVENTURE;69976702;TK;Swasta;06 Mar 2026 08:31:16;0;0;0;1;2;0;0;0
27;TK ISLAM TERPADU AL-FATIH;69948024;TK;Swasta;-;26;25;2;2;1;3;0;0
28;TK IT AL FATTAH;69876013;TK;Swasta;04 Mar 2026 08:10:27;10;20;2;4;2;2;0;0
29;TK IT AMINAH TUZUHRIYAH;69858035;TK;Swasta;05 Mar 2026 21:06:02;6;26;3;3;1;4;0;1
30;TK IT ASRI;69899031;TK;Swasta;07 Mar 2026 09:12:37;30;45;3;3;2;4;0;1
31;TK IT DHAIFULLAH PALEMBANG;10648014;TK;Swasta;18 Jan 2026 07:08:50;3;25;2;2;1;4;0;0
32;TK IT INSAN MANDIRI CENDEKIA;70009534;TK;Swasta;03 Feb 2026 09:57:02;27;61;4;4;2;4;0;0
33;TK IT MUTIARA PALEMBANG;10648027;TK;Swasta;03 Mar 2026 19:36:55;23;59;5;7;2;5;0;0
34;TK IT NURJANAH;69929836;TK;Swasta;03 Feb 2026 19:26:26;20;20;1;2;1;3;0;1
35;TK KHALIFAH 16;69969027;TK;Swasta;04 Mar 2026 11:49:14;4;15;2;3;1;2;0;0
36;TK LIKO PALEMBANG;69982399;TK;Swasta;05 Mar 2026 15:56:44;12;42;2;1;1;3;0;0
37;TK MANDIRI;10644527;TK;Swasta;03 Mar 2026 04:45:34;25;30;2;2;1;2;0;0
38;TK MEGAWATI I;10644521;TK;Swasta;02 Mar 2026 22:28:16;2;23;2;3;2;2;0;0
39;TK MEKAR SARI;10644528;TK;Swasta;03 Mar 2026 04:46:27;6;15;1;1;1;2;0;0
40;TK MELATI PRIMA PALEMBANG;10647171;TK;Swasta;-;10;16;1;2;1;2;0;0
41;TK MENTARI INDONESIA;10644515;TK;Swasta;-;0;0;0;0;0;1;0;0
42;TK MUFTAHUL JANNAH;69933402;TK;Swasta;05 Mar 2026 19:14:04;3;12;1;1;1;1;0;0
43;TK MUSTIKA DYASA;10644525;TK;Swasta;03 Mar 2026 11:58:03;6;25;2;2;2;3;0;0
44;TK MUTIARA BUNDA;69756889;TK;Swasta;-;4;24;2;2;1;2;0;0
45;TK NURANI;10644517;TK;Swasta;21 Jan 2026 14:15:26;7;33;2;2;2;3;0;0
46;TK NURUL HIDAYAH;10644526;TK;Swasta;25 Jan 2026 00:41:46;20;80;4;4;1;4;0;0
47;TK PANCA BAKTI 2;10644512;TK;Swasta;27 Feb 2026 07:31:27;8;10;1;3;1;2;0;0
48;TK PANCA KARSA;10644522;TK;Swasta;04 Mar 2026 20:30:43;13;46;3;5;2;5;0;0
49;TK PERMATA ASRI;10647177;TK;Swasta;-;0;0;0;0;0;3;0;0
50;TK RASYISA;69858034;TK;Swasta;03 Mar 2026 08:39:50;11;11;1;1;1;2;0;0
51;TK RESTU ILAHI;69932230;TK;Swasta;25 Jan 2026 05:47:05;2;14;1;3;2;2;0;0
52;TK REVINAR JOY;10644523;TK;Swasta;03 Mar 2026 07:58:05;10;21;2;2;1;3;0;1
53;TK SARINAH;69976854;TK;Swasta;28 Feb 2026 19:39:35;12;6;1;0;1;1;0;0
54;TK TERATAI 1 PALEMBANG;10644524;TK;Swasta;03 Mar 2026 05:16:52;6;47;3;6;1;5;0;0
55;TK WIDYA UTAMI;69876014;TK;Swasta;-;0;0;0;0;0;2;0;1
56;TK YP AR CERIA PALEMBANG;10647878;TK;Swasta;04 Mar 2026 07:02:56;33;28;2;2;1;2;0;0
57;TK YP INDRA 2 PALEMBANG;10644519;TK;Swasta;23 Jan 2026 18:31:56;5;53;4;4;1;5;0;1
58;AL-GHIFAR;69891380;KB;Swasta;11 Feb 2026 17:28:04;29;47;2;2;2;2;0;0
59;KB AL FASHTHA;69958863;KB;Swasta;21 Jan 2026 22:07:14;9;19;1;0;2;2;0;0
60;KB AL IMAN;69773217;KB;Swasta;-;0;0;0;0;0;2;0;0
61;KB AL-FARUQ;69986686;KB;Swasta;20 Jan 2026 06:59:42;6;20;2;1;1;2;0;0
62;KB ANGSANA;69960166;KB;Swasta;03 Mar 2026 21:28:26;16;11;2;2;1;2;0;0
63;KB BASOKA;69773215;KB;Swasta;-;11;36;3;2;2;3;0;0
64;KB BUSTANUL AMIN PALEMBANG;69773285;KB;Swasta;-;9;33;3;5;2;3;0;0
