Data Peserta Didik Kec. Sako - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
54;TKIT CAHAYA RIZQY MANDIRI;10648894;TK;Swasta;02 Mar 2026 21:20:43;13;22;2;2;1;2;0;0
55;KB AISYIYAH 6;69773208;KB;Swasta;24 Feb 2026 10:46:39;10;56;3;3;1;4;0;0
56;KB AULIA;69773202;KB;Swasta;18 Feb 2026 12:01:23;4;20;2;2;2;2;0;0
57;KB CAHAYA HATI;70030203;KB;Swasta;31 Jan 2026 14:56:48;6;25;1;2;2;1;0;0
58;KB DWI RAMA AL-IKHLAS;69876068;KB;Swasta;03 Feb 2026 10:24:21;12;109;4;3;2;4;0;0
59;KB EDUCATION FUN CENTRE;70041628;KB;Swasta;03 Mar 2026 08:54:33;13;35;3;3;1;3;0;0
60;KB ISLAM INKLUSI KHALEEFA ISLAMIC PRESCHOOL PALEMBANG;70046664;KB;Swasta;09 Mar 2026 09:38:56;0;0;0;0;0;0;0;0
61;KB ISLAM INKLUSI KHALEEFA ISLAMIC PRESCHOOL PALEMBANG;70046667;KB;Swasta;-;0;0;0;0;0;0;0;0
62;KB LIAS;69773199;KB;Swasta;08 Mar 2026 11:52:07;4;26;2;2;1;3;0;0
63;KB NUSANTARA;69858071;KB;Swasta;-;12;10;1;1;1;2;0;0
64;PAUD ABIYAH;69958790;KB;Swasta;-;0;0;0;0;0;0;0;0
65;PAUD ASTER;69958795;KB;Swasta;-;4;7;1;1;1;2;0;0
66;PAUD IT NAJMAH;69958501;KB;Swasta;-;6;31;2;6;1;4;0;0
67;PAUD IT TARBAWI;69947429;KB;Swasta;-;3;28;3;3;1;3;0;0
68;PAUD PERMATA BUNDA;69935530;KB;Swasta;27 Jan 2026 12:55:18;4;19;2;2;3;2;0;0
69;PAUD TERPADU KASIH BUNDA;69893601;KB;Swasta;-;21;25;2;3;2;3;0;1
70;PAUD AL - IKHLAS 256;69858102;SPS;Swasta;29 Jan 2026 11:16:44;3;42;2;1;1;2;0;1
