Data Peserta Didik Kec. Seberang Ulu I - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
53;SMA ALAM PALEMBANG;69943823;SMA;Swasta;12 Mar 2026 12:05:24;34;12;3;11;1;3;6;1
54;SMA BSI PALEMBANG;10610049;SMA;Swasta;06 Mar 2026 13:18:19;53;78;4;15;4;7;2;1
55;SMA GAJAH MADA 03 PALEMBANG;10609642;SMA;Swasta;11 Mar 2026 10:49:44;59;319;10;15;5;13;2;1
56;SMA METHODIST 03 PALEMBANG;10609657;SMA;Swasta;13 Mar 2026 13:35:07;52;51;3;11;5;3;5;1
57;SMA MUHAMMADIYAH 09 PALEMBANG;10609667;SMA;Swasta;06 Mar 2026 20:34:51;25;113;5;4;1;6;1;1
58;SMA NU PALEMBANG;10609669;SMA;Swasta;30 Jan 2026 15:26:48;110;454;14;16;4;12;2;1
59;SMA PGRI 02 PALEMBANG;10609676;SMA;Swasta;09 Mar 2026 13:19:51;117;766;22;43;12;26;6;1
60;SMK NEGERI 8 PALEMBANG;69857920;SMK;Negeri;11 Mar 2026 18:37:55;135;1,166;42;78;10;20;1;1
61;SMK  BHAKTI PERSADA;69830127;SMK;Swasta;04 Mar 2026 11:50:02;96;242;11;24;7;11;1;1
62;SMK BINA SRIWIJAYA INDONESIA PALEMBANG;69755983;SMK;Swasta;05 Mar 2026 10:22:28;137;548;19;23;4;19;1;1
63;SMK GAJAH MADA 3;69897078;SMK;Swasta;06 Mar 2026 11:44:37;55;216;8;12;4;8;1;1
64;SMK KESEHATAN KADER BANGSA;69952601;SMK;Swasta;13 Mar 2026 10:51:50;64;194;7;10;1;8;2;1
65;SMK MUHAMMADIYAH 02 PALEMBANG;10603724;SMK;Swasta;07 Mar 2026 18:15:02;60;622;20;51;8;24;3;1
66;SMK PELITA PALEMBANG;10648144;SMK;Swasta;-;59;22;3;8;2;3;1;1
67;PKBM LENI;P9997429;PKBM;Swasta;24 Feb 2026 00:12:41;29;27;1;4;0;3;0;0
68;PKBM PELITA;P9948232;PKBM;Swasta;30 Jan 2026 09:18:19;105;60;2;0;1;2;0;1
69;PKBM SAKILA;P9997562;PKBM;Swasta;19 Feb 2026 14:38:49;12;44;0;2;0;3;0;0
Total;Total;Total;Total;Total;Total;2,664;16,379;602;928;238;555;59;45
