Data Guru Kec. Ilir Timur II - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;TK AISYIYAH 10 PALEMBANG;10644608;TK;Swasta;02 Mar 2026 16:59:45;10;47;2;2;3;2;0;0
2;TK AISYIYAH 5;10647148;TK;Swasta;03 Mar 2026 05:00:59;5;24;3;3;1;3;0;0
3;TK AL-FATTAH PALEMBANG;10644604;TK;Swasta;03 Mar 2026 08:35:20;16;39;3;3;1;4;0;0
4;TK ASRI;10644611;TK;Swasta;04 Mar 2026 10:02:00;14;47;2;5;1;2;0;1
5;TK BUNDA DWP DISDIKPORA KOTA PALEMBANG;69953702;TK;Swasta;06 Mar 2026 06:26:00;28;64;3;4;2;3;0;1
6;TK CERDAS CERIA PALEMBANG;69986759;TK;Swasta;28 Feb 2026 20:25:54;13;52;4;4;2;4;0;0
7;TK DHARMA WANITA I PALEMBANG;10644601;TK;Swasta;04 Mar 2026 19:47:17;5;23;1;1;1;2;0;0
8;TK FATIMAH 8 PALEMBANG;10644603;TK;Swasta;03 Mar 2026 11:06:32;9;28;1;1;2;3;0;0
9;TK HAPPY KIDS PALEMBANG;69959253;TK;Swasta;03 Mar 2026 10:52:11;14;20;2;3;2;2;0;0
10;TK ISLAM TERPADU BINA ILMI LEMABANG;70001383;TK;Swasta;11 Feb 2026 12:19:04;17;105;6;6;2;6;0;0
11;TK KARTIKA II-2 PALEMBANG;10647166;TK;Swasta;06 Mar 2026 07:54:11;5;37;3;3;1;3;0;1
12;TK KARTIKA II-6 PALEMBANG;10644607;TK;Swasta;24 Feb 2026 10:02:05;16;26;1;3;3;3;0;1
13;TK KEMALA BHAYANGKARI 6 PALEMBANG;10647169;TK;Swasta;02 Mar 2026 22:47:20;11;31;2;3;1;2;0;0
14;TK MAWAR MELATI PALEMBANG;10644593;TK;Swasta;-;7;12;1;1;1;1;0;0
15;TK MOULYA PALEMBANG;10647484;TK;Swasta;11 Mar 2026 08:28:01;14;24;2;2;1;3;0;1
16;TK PWS;10644606;TK;Swasta;27 Jan 2026 15:13:16;9;17;1;1;1;2;0;0
17;TK TAHFIZH FATHONA PALEMBANG;70009917;TK;Swasta;03 Mar 2026 07:48:03;49;38;2;4;2;2;0;0
18;TK XAVERIUS 3 PALEMBANG;10644609;TK;Swasta;12 Mar 2026 12:15:24;6;31;2;2;2;3;0;1
19;KB AL - HAFIDZ;69958590;KB;Swasta;16 Jan 2026 14:48:40;10;40;3;3;2;2;0;0
20;KB AL-KAUTSAR;69773169;KB;Swasta;-;5;18;2;1;2;2;0;1
21;KB BAROKAH;69876043;KB;Swasta;02 Feb 2026 13:29:51;9;14;1;2;1;2;0;0
