Data Peserta Didik Kec. Seberang Ulu II - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
54;SD ISLAM TERPADU AULADI PALEMBANG;10647118;SD;Swasta;05 Mar 2026 13:36:57;26;461;19;35;13;22;2;1
55;SD IT ABI UMI;70038358;SD;Swasta;-;0;0;0;0;0;0;0;0
56;SD MUHAMMADIYAH 16 PALEMBANG;10603900;SD;Swasta;02 Mar 2026 21:35:17;31;321;13;18;3;6;1;1
57;SD MUHAMMADIYAH 17 PALEMBANG;10603993;SD;Swasta;06 Mar 2026 11:03:37;32;168;6;7;1;6;0;1
58;SD XAVERIUS 07 PALEMBANG;10603984;SD;Swasta;04 Mar 2026 08:14:45;13;55;6;6;4;6;2;1
59;SDI BAITUR RAHMAH;69992049;SD;Swasta;06 Mar 2026 03:33:08;9;317;13;18;4;13;1;1
60;SMP NEGERI 16 PALEMBANG;10603698;SMP;Negeri;06 Mar 2026 20:57:30;64;980;29;52;11;29;2;1
61;SMP NEGERI 30 PALEMBANG;10603767;SMP;Negeri;09 Mar 2026 09:35:58;62;916;28;38;11;25;1;1
62;SMP ASSANADIYAH PALEMBANG;10609490;SMP;Swasta;-;9;5;2;3;3;3;1;1
63;SMP AZHARYAH PALEMBANG;10609481;SMP;Swasta;05 Mar 2026 13:57:12;52;472;16;20;3;22;2;1
64;SMP AZZAHRO PALEMBANG;10609493;SMP;Swasta;07 Mar 2026 21:58:26;30;82;3;8;2;6;3;1
65;SMP DAARUL AITAM PALEMBANG;10609507;SMP;Swasta;12 Mar 2026 10:33:27;40;326;11;20;5;9;2;1
66;SMP INSAN CENDIKIA SRIWIJAYA PALEMBANG;10609518;SMP;Swasta;02 Mar 2026 20:40:32;41;91;3;9;2;3;2;1
67;SMP ISLAM TERPADU AL-AFIF PALEMBANG;69963953;SMP;Swasta;05 Mar 2026 11:38:39;9;30;3;6;4;3;0;1
68;SMP MUHAMMADIYAH 06 PALEMBNG;10609545;SMP;Swasta;05 Mar 2026 14:29:41;22;53;3;6;3;7;1;1
69;SMP SRIGUNA PALEMBANG;10609584;SMP;Swasta;23 Feb 2026 14:46:00;35;343;12;15;4;25;4;1
70;SMA NEGERI 08 PALEMBANG;10603855;SMA;Negeri;13 Mar 2026 09:08:22;97;1,06;31;65;21;31;6;1
71;SMA ASSANADIYAH PALEMBANG;10609623;SMA;Swasta;04 Mar 2026 13:34:40;28;49;3;8;2;8;4;1
72;SMA AZHARYAH PALEMBANG;10609624;SMA;Swasta;11 Feb 2026 10:08:15;32;392;11;8;3;11;3;1
73;SMA DAARUL AITAM PALEMBANG;10609636;SMA;Swasta;13 Mar 2026 08:38:37;44;159;5;14;3;6;2;1
74;SMA INSAN CENDIKIA SRIWIJAYA PALEMBANG;10609643;SMA;Swasta;06 Mar 2026 09:49:14;35;66;4;9;1;6;3;1
75;SMA MUHAMMADIYAH 03 PALEMBANG;10609660;SMA;Swasta;12 Mar 2026 08:41:08;51;50;3;9;3;7;2;1
76;SMA SRI GUNA PALEMBANG;10609688;SMA;Swasta;05 Mar 2026 15:00:19;39;658;19;13;2;25;7;1
77;SMK ASSANADIYAH;69897042;SMK;Swasta;05 Mar 2026 08:11:45;9;19;2;2;1;6;2;1
78;SMK AZZAHRO PALEMBANG;10648882;SMK;Swasta;10 Mar 2026 21:24:43;24;57;6;9;2;6;1;1
79;SMK HARAPAN KITA PALEMBANG;10603716;SMK;Swasta;-;0;0;0;0;0;0;0;0
80;SMK MADYATAMA PALEMBANG;10647495;SMK;Swasta;07 Mar 2026 09:16:48;48;534;17;21;3;19;3;1
81;SMK MUHAMMADIYAH 03 PALEMBANG;10603723;SMK;Swasta;09 Mar 2026 08:53:41;37;399;14;17;3;11;0;1
82;SMK YP GAJAH MADA PALEMBANG;10603675;SMK;Swasta;05 Mar 2026 00:43:49;64;978;33;39;9;20;3;1
83;PKBM AL-IZZIYAH;P2966336;PKBM;Swasta;01 Feb 2026 19:04:42;30;86;8;4;1;2;0;0
84;PKBM HASANAH GEMILANG SCHOOL;P9999888;PKBM;Swasta;-;0;0;0;0;0;0;0;0
85;SLB C AUTIS PELITA HATI;69952506;SLB;Swasta;02 Mar 2026 19:37:09;15;22;10;8;1;6;0;1
Total;Total;Total;Total;Total;Total;2,122;14,901;586;806;228;546;62;47
