Data Peserta Didik Kec. Ilir Timur I - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
55;SMP BINA KARYA PALEMBANG;10609500;SMP;Swasta;-;49;27;3;6;1;5;2;1
56;SMP HOSANNA PALEMBANG;10609513;SMP;Swasta;-;0;0;0;0;0;5;0;1
57;SMP METHODIST 02 PALEMBANG;10609537;SMP;Swasta;06 Mar 2026 08:03:40;26;310;10;15;12;9;6;1
58;SMP MUHAMMADIYAH 02 PALEMBANG;10609541;SMP;Swasta;05 Mar 2026 11:43:59;132;66;3;6;1;4;1;1
59;SMP QURANIAH 01 PALEMBANG;10609576;SMP;Swasta;26 Feb 2026 09:52:01;84;281;9;17;4;12;0;1
60;SMP SUMSEL JAYA PALEMBANG;10609587;SMP;Swasta;05 Mar 2026 22:47:58;32;71;3;11;6;7;2;1
61;SMP TAMAN SISWA;10609588;SMP;Swasta;04 Mar 2026 20:19:15;54;150;6;12;4;6;2;1
62;SMP XAVERIUS 01 PALEMBANG;10609599;SMP;Swasta;04 Mar 2026 07:49:18;65;719;23;48;11;32;5;1
63;SMP XAVERIUS 06 PALEMBANG;10609604;SMP;Swasta;26 Feb 2026 10:49:06;12;255;9;15;6;24;3;1
64;SMP XAVERIUS MARIA PALEMBANG;10609606;SMP;Swasta;09 Mar 2026 13:06:18;25;408;14;24;12;17;4;1
65;SMA NEGERI 15 PALEMBANG;10603846;SMA;Negeri;06 Mar 2026 15:26:04;140;702;21;45;11;25;3;1
66;SMA BINA KARYA PALEMBANG;10609630;SMA;Swasta;-;51;28;3;7;2;9;1;1
67;SMA METHODIST 02 PALEMBANG;10609656;SMA;Swasta;02 Mar 2026 07:09:12;161;370;12;20;3;12;5;1
68;SMA QUR ANIYAH PALEMBANG;10609684;SMA;Swasta;12 Mar 2026 15:02:59;111;172;6;11;2;6;1;1
69;SMA SUMSEL JAYA PALEMBANG;10609690;SMA;Swasta;22 Jan 2026 08:03:34;34;154;6;13;3;9;3;1
70;SMA TAMAN SISWA PALEMBANG;10609693;SMA;Swasta;06 Mar 2026 08:56:11;129;122;6;16;2;9;3;2
71;SMA XAVERIUS 03 PALEMBANG;10609706;SMA;Swasta;06 Mar 2026 14:54:11;87;719;23;39;13;24;5;1
72;SMK NEGERI 01 PALEMBANG;10603713;SMK;Negeri;07 Mar 2026 10:47:15;107;1,153;35;80;21;49;2;1
73;SMK NEGERI 02 PALEMBANG;10603711;SMK;Negeri;09 Mar 2026 12:16:24;183;2,434;73;181;31;51;8;1
74;SMK KESEHATAN ATHALLA PUTRA PALEMBANG;69772973;SMK;Swasta;12 Mar 2026 13:49:28;52;158;7;17;4;7;2;1
75;SMK METHODIST 02 PALEMBANG;69838800;SMK;Swasta;09 Mar 2026 09:19:41;72;309;9;12;3;9;5;1
76;SMK MUTIARA AZZAM PALEMBANG;10648174;SMK;Swasta;07 Mar 2026 12:50:20;24;62;6;7;2;7;1;2
77;SMK TAMAN SISWA 01 PALEMBANG;10603684;SMK;Swasta;12 Mar 2026 10:20:14;44;276;9;21;8;10;3;1
78;SMK TAMAN SISWA 02 PALEMBANG;10603683;SMK;Swasta;06 Mar 2026 07:48:49;27;214;9;17;9;14;5;1
79;PKBM HOMESCHOOLING HAPPY KIDS;P9970553;PKBM;Swasta;02 Feb 2026 23:59:35;12;9;5;1;0;4;0;0
Total;Total;Total;Total;Total;Total;3,394;18,615;687;1,157;310;776;103;57
