Data Peserta Didik Kec. Alang-Alang Lebar - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;TK NEGERI PEMBINA 06 PALEMBANG;70001381;TK;Negeri;03 Mar 2026 10:35:28;8;45;4;5;1;4;0;0
2;TK AISYIYAH 18;10644171;TK;Swasta;01 Mar 2026 17:36:21;28;52;3;3;1;3;0;1
3;TK AL-KAUTSAR;10644281;TK;Swasta;02 Mar 2026 12:14:55;2;34;2;1;1;2;0;0
4;TK AVIA PALEMBANG;10644277;TK;Swasta;-;0;0;0;0;0;6;0;0
5;TK BHAKTI ASUHAN 03 PALEMBANG;10647188;TK;Swasta;05 Mar 2026 12:04:08;2;13;2;2;1;2;0;0
6;TK BINA POTENSI;10644291;TK;Swasta;-;11;7;1;0;2;1;0;0
7;TK BOEGENVILE;10644552;TK;Swasta;-;0;0;0;0;0;1;0;0
8;TK CAHAYA INTAN;10644292;TK;Swasta;05 Mar 2026 12:25:54;8;26;2;2;2;3;0;0
9;TK FATHONA;69959051;TK;Swasta;03 Mar 2026 07:58:28;9;27;2;3;1;3;0;0
10;TK FATHUL ILMI;69958805;TK;Swasta;05 Mar 2026 09:23:43;7;18;2;4;1;3;0;0
11;TK FATIMAH 05 PALEMBANG;10644294;TK;Swasta;25 Feb 2026 22:36:46;17;60;4;4;1;5;0;0
12;TK GOLDEN AGE;69979965;TK;Swasta;02 Mar 2026 22:06:14;5;36;2;2;2;3;0;1
13;TK HARAPAN BANGSA 4;10644297;TK;Swasta;05 Mar 2026 20:50:17;17;36;2;2;1;2;0;0
14;TK HARAPAN KITA;10644298;TK;Swasta;06 Mar 2026 08:13:47;5;30;2;2;2;3;0;0
15;TK HELAU KIDS PALEMBANG;10647156;TK;Swasta;03 Mar 2026 04:48:25;15;80;4;4;1;4;0;0
16;TK IGNATIUS GLOBAL SCHOOL;69959424;TK;Swasta;03 Mar 2026 11:03:00;22;12;1;3;1;4;0;1
17;TK INDO GLOBAL MANDIRI;69969002;TK;Swasta;27 Jan 2026 14:23:01;17;48;4;5;2;6;0;0
18;TK ISLAM BAKTI I;10644301;TK;Swasta;06 Mar 2026 03:13:25;7;25;2;3;1;2;0;0
19;TK ISLAM NOOR SALAM;10644302;TK;Swasta;04 Mar 2026 19:35:21;9;15;1;1;2;2;0;0
20;TK ISLAM NURUL HUDA PALEMBANG;10644303;TK;Swasta;-;0;0;0;0;0;1;0;1
21;TK KARYA DHARMA BHAKTI 2;10644305;TK;Swasta;22 Jan 2026 12:35:15;9;37;2;1;1;2;0;1
22;TK KHALIFAH 23 PALEMBANG;69876015;TK;Swasta;12 Mar 2026 07:36:24;24;20;1;2;1;2;0;0
23;TK MANDIRI PALEMBANG;69876012;TK;Swasta;04 Mar 2026 04:11:37;10;14;1;2;1;2;0;0
24;TK NADIRA 2;69964550;TK;Swasta;03 Mar 2026 10:43:58;10;144;9;9;1;6;0;0
25;TK PERTIWI 5;10644518;TK;Swasta;05 Mar 2026 15:24:22;13;25;2;2;2;2;0;0
26;TK PERTIWI PASMA;10644514;TK;Swasta;05 Mar 2026 21:52:39;12;20;2;2;1;2;0;1
27;TK RIFANDA;69969820;TK;Swasta;04 Mar 2026 10:00:31;24;14;1;1;2;3;0;0
28;TK TATUKA KESUMA PALEMBANG;69773034;TK;Swasta;20 Jan 2026 18:16:12;8;58;4;5;1;4;1;0
29;KB Adilla Mulia;69773237;KB;Swasta;-;0;0;0;0;0;2;0;0
30;KB AL-FATAH;69876048;KB;Swasta;-;8;39;2;1;2;3;0;0
31;KB Al-Ikhlas;69773228;KB;Swasta;06 Feb 2026 21:06:44;5;32;2;2;0;2;0;0
32;KB Anggrek;69773238;KB;Swasta;-;0;0;0;0;0;0;0;0
33;KB AR-RAHMAH;69773233;KB;Swasta;14 Feb 2026 12:51:21;4;38;3;2;2;3;0;0
34;KB ARAFAH;69858080;KB;Swasta;22 Feb 2026 21:38:48;6;45;2;0;0;2;0;0
35;KB CENDANA;69876064;KB;Swasta;-;12;86;5;5;1;5;0;0
36;KB EKKLESIA;69989708;KB;Swasta;26 Feb 2026 11:56:44;7;11;2;2;3;2;0;0
37;KB GOLDEN KIDS;69773235;KB;Swasta;-;0;0;0;0;0;2;0;0
38;KB HANIFAH;69876008;KB;Swasta;06 Feb 2026 17:18:19;18;63;2;3;2;4;0;0
39;KB KURNIA ALAM;69773229;KB;Swasta;-;0;0;0;0;0;1;0;0
40;KB MAWADDAH WAROHMAH;69973577;KB;Swasta;21 Feb 2026 12:00:03;13;50;3;2;3;3;0;0
41;KB MPOWER;69858081;KB;Swasta;18 Feb 2026 19:27:10;9;29;3;3;3;3;0;1
42;KB Natasa;69773226;KB;Swasta;23 Jan 2026 12:58:45;2;43;2;2;3;3;0;0
43;KB NUR AMALIYAH;69858082;KB;Swasta;24 Jan 2026 22:00:19;12;19;1;1;1;2;0;0
44;KB PARIS;69964552;KB;Swasta;-;0;0;0;0;0;3;0;0
45;KB ZAHRA ZAFIRA;69773232;KB;Swasta;04 Feb 2026 21:30:35;12;39;3;2;2;3;0;0
46;PAUD AKBAR;69931609;KB;Swasta;23 Jan 2026 16:37:25;14;37;3;2;1;3;0;0
47;PAUD AL-MUHAJIRIN;69947981;KB;Swasta;04 Mar 2026 00:15:54;14;10;2;1;2;3;0;0
48;PAUD AMELIA AL-KARIM;69912986;KB;Swasta;04 Mar 2026 11:47:04;12;25;2;2;2;2;0;0
49;PAUD GENTAR ALAM;69996021;KB;Swasta;11 Mar 2026 12:12:10;15;43;3;4;0;3;0;0
50;PAUD HIJRAH;69938475;KB;Swasta;-;0;0;0;0;0;2;0;0
51;PAUD TAMAN SARI;69937335;KB;Swasta;-;0;0;0;0;0;2;0;0
52;PAUD TERPADU CERDAS DAN SEHAT;69773230;KB;Swasta;-;3;20;2;3;2;3;0;1
53;PAUD WIJAYA;69932238;KB;Swasta;-;8;15;2;3;0;2;0;1
54;TPA Harapan Bangsa;69773245;TPA;Swasta;-;0;0;0;0;0;1;0;0
55;TPA TATUKA KESUMA;69773246;TPA;Swasta;17 Feb 2026 10:23:32;2;26;1;1;2;1;1;0
56;SPS AL IKHLAS;69773292;SPS;Swasta;14 Feb 2026 08:16:39;2;13;1;0;0;1;0;0
57;SD NEGERI 237 PALEMBANG;10604271;SD;Negeri;07 Mar 2026 08:11:30;15;79;6;4;4;6;0;1
58;SD NEGERI 238 PALEMBANG;10609400;SD;Negeri;04 Mar 2026 10:06:19;67;562;19;23;7;16;0;1
59;SD NEGERI 239 PALEMBANG;10604270;SD;Negeri;07 Mar 2026 10:58:50;21;238;11;15;3;7;0;0
60;SD NEGERI 240 PALEMBANG;10604265;SD;Negeri;03 Mar 2026 10:24:04;71;519;18;23;3;9;2;1
61;SD NEGERI 241 PALEMBANG;10604276;SD;Negeri;11 Mar 2026 12:13:25;73;847;26;31;5;13;1;1
62;SD NEGERI 242 PALEMBANG;10604277;SD;Negeri;07 Mar 2026 09:40:10;59;624;19;19;4;8;0;1
63;SD NEGERI 243 PALEMBANG;10609403;SD;Negeri;12 Mar 2026 11:37:54;61;1,25;30;33;1;15;0;1
64;SD NEGERI 244 PALEMBANG;10609770;SD;Negeri;12 Mar 2026 12:08:00;44;1,07;28;31;3;16;0;1
65;SD NEGERI 249 PALEMBANG;70003773;SD;Negeri;12 Mar 2026 12:50:34;94;75;3;5;2;6;0;0
66;SD BINA POTENSI PALEMBANG;10647818;SD;Swasta;03 Mar 2026 14:21:05;36;60;6;11;2;6;1;1
