Data Peserta Didik Kec. Sako - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;PAUD ISLAM TERPADU DARUL FADHLI;69947470;TK;Swasta;11 Mar 2026 09:05:10;12;16;2;2;1;1;0;0
2;TK AL AMANAH PALEMBANG;10647218;TK;Swasta;-;0;0;0;0;0;2;0;0
3;TK AL-AQOBAH ARRABIU;10644328;TK;Swasta;10 Mar 2026 09:10:37;20;62;4;5;1;5;0;0
4;TK ALKAUTSAR II;10644335;TK;Swasta;-;0;0;0;0;0;2;0;0
5;TK ALMUQODDIM;10644332;TK;Swasta;03 Mar 2026 08:42:42;3;20;3;3;1;3;0;0
6;TK ANANDA;69773027;TK;Swasta;16 Jan 2026 10:30:25;4;21;1;1;1;1;0;0
7;TK ANISA KARYA;69773024;TK;Swasta;04 Mar 2026 22:30:20;12;45;3;3;2;3;0;0
8;TK ANNISA;10644325;TK;Swasta;03 Mar 2026 03:57:24;1;40;2;1;2;2;0;0
9;TK AZ-ZAHRA;10644327;TK;Swasta;-;0;0;0;0;0;2;0;0
10;TK BINA CITRA SEJATI II;69876045;TK;Swasta;19 Jan 2026 13:18:03;4;29;2;3;2;3;0;0
11;TK BINA KAWAN;10644307;TK;Swasta;03 Mar 2026 11:54:17;1;32;2;3;2;2;0;0
12;TK BINA PUTRA;10644312;TK;Swasta;-;0;0;0;0;0;1;0;0
13;TK BUDI SYUKUR SAKO PALEMBANG;69876028;TK;Swasta;21 Jan 2026 07:08:10;4;42;2;2;1;2;0;0
14;TK CERIA;69982233;TK;Swasta;-;0;0;0;0;0;0;0;0
15;TK DOA ANANDDA;69960204;TK;Swasta;03 Mar 2026 12:34:46;7;26;2;2;1;2;0;0
16;TK DOA IBU;10644313;TK;Swasta;04 Mar 2026 04:08:37;6;29;2;3;1;2;0;0
