"No";"Kecamatan";"Penduduk";"Guru";"Siswa";"Rombel";"Rasio (S/G)"
"1";"Alang-Alang Lebar";"106.641";"330";"5810";"273";"17.61"
"2";"Bukit Kecil";"38.566";"268";"5043";"196";"18.82"
"3";"Gandus";"75.394";"289";"5960";"217";"20.62"
"4";"Ilir Barat I";"141.855";"673";"13753";"529";"20.44"
"5";"Ilir Barat II";"67.647";"171";"4073";"150";"23.82"
"6";"Ilir Timur I";"66.135";"339";"6284";"248";"18.54"
"7";"Ilir Timur II";"85.417";"313";"6715";"258";"21.45"
"8";"Ilir Timur III";"72.973";"325";"5623";"224";"17.30"
"9";"Jakabaring";"90.882";"402";"8661";"326";"21.54"
"10";"Kalidoni";"124.248";"615";"13238";"488";"21.53"
"11";"Kemuning";"80.644";"625";"12060";"421";"19.30"
"12";"Kertapati";"92.344";"457";"9358";"360";"20.48"
"13";"Plaju";"94.143";"474";"9909";"383";"20.91"
"14";"Sako";"112.553";"374";"9164";"293";"24.50"
"15";"Seberang Ulu I";"91.637";"305";"6511";"239";"21.35"
"16";"Seberang Ulu II";"100.480";"282";"5486";"216";"19.45"
"17";"Sematang Borang";"56.874";"127";"3346";"106";"26.35"
"18";"Sukarami";"187.640";"652";"18159";"558";"27.85"
