"No";"Kecamatan";"Penduduk";"Guru";"Siswa";"Rombel";"Rasio (S/G)"
"1";"Alang-Alang Lebar";"105.201";"329";"7928";"277";"24.10"
"2";"Bukit Kecil";"38.585";"271";"5220";"199";"19.26"
"3";"Gandus";"73.953";"261";"6070";"213";"23.26"
"4";"Ilir Barat I";"140.945";"671";"13899";"524";"20.71"
"5";"Ilir Barat II";"67.614";"172";"4207";"151";"24.46"
"6";"Ilir Timur I";"66.168";"342";"6580";"251";"19.24"
"7";"Ilir Timur II";"85.460";"347";"6197";"271";"17.86"
"8";"Ilir Timur III";"73.010";"327";"5717";"224";"17.48"
"9";"Jakabaring";"90.415";"414";"7802";"331";"18.85"
"10";"Kalidoni";"122.474";"590";"13358";"488";"22.64"
"11";"Kemuning";"80.685";"611";"12579";"426";"20.59"
"12";"Kertapati";"91.661";"435";"9670";"361";"22.23"
"13";"Plaju";"93.171";"449";"9923";"375";"22.10"
"14";"Sako";"110.079";"372";"9203";"288";"24.74"
"15";"Seberang Ulu I";"91.166";"305";"6791";"244";"22.27"
"16";"Seberang Ulu II";"100.232";"263";"5526";"209";"21.01"
"17";"Sematang Borang";"54.362";"118";"3334";"103";"28.25"
"18";"Sukarami";"183.667";"617";"18423";"551";"29.86"
