"No";"Kecamatan";"Penduduk";"Guru";"Siswa";"Rombel";"Rasio (S/G)"
"1";"Alang-Alang Lebar";"116.594";"428";"8290";"301";"19.37"
"2";"Bukit Kecil";"38.195";"284";"4941";"196";"17.40"
"3";"Gandus";"83.882";"321";"6355";"244";"19.80"
"4";"Ilir Barat I";"154.738";"794";"13976";"549";"17.60"
"5";"Ilir Barat II";"69.871";"205";"4065";"159";"19.83"
"6";"Ilir Timur I";"66.124";"353";"5648";"234";"16.00"
"7";"Ilir Timur II";"85.005";"347";"6279";"265";"18.10"
"8";"Ilir Timur III";"74.562";"341";"5869";"232";"17.21"
"9";"Jakabaring";"94.583";"435";"8772";"337";"20.17"
"10";"Kalidoni";"133.017";"712";"13961";"548";"19.61"
"11";"Kemuning";"82.167";"632";"11135";"416";"17.62"
"12";"Kertapati";"99.576";"476";"9201";"378";"19.33"
"13";"Plaju";"99.559";"526";"9983";"391";"18.98"
"14";"Sako";"117.573";"474";"9165";"353";"19.34"
"15";"Seberang Ulu I";"96.058";"299";"6025";"232";"20.15"
"16";"Seberang Ulu II";"106.752";"305";"5512";"217";"18.07"
"17";"Sematang Borang";"70.870";"156";"3712";"123";"23.79"
"18";"Sukarami";"212.241";"834";"19528";"654";"23.41"
