"No";"Kecamatan";"Penduduk";"Guru";"Siswa";"Rombel";"Rasio (S/G)"
"1";"Alang-Alang Lebar";"113.578";"397";"8171";"287";"20.58"
"2";"Bukit Kecil";"38.226";"266";"4995";"194";"18.78"
"3";"Gandus";"81.146";"298";"6237";"235";"20.93"
"4";"Ilir Barat I";"151.894";"775";"14119";"544";"18.22"
"5";"Ilir Barat II";"69.665";"177";"4045";"153";"22.85"
"6";"Ilir Timur I";"66.260";"332";"5931";"242";"17.86"
"7";"Ilir Timur II";"84.949";"367";"6613";"271";"18.02"
"8";"Ilir Timur III";"74.431";"334";"5796";"224";"17.35"
"9";"Jakabaring";"93.830";"408";"8690";"321";"21.30"
"10";"Kalidoni";"130.828";"667";"13824";"529";"20.73"
"11";"Kemuning";"81.977";"627";"11246";"415";"17.94"
"12";"Kertapati";"98.434";"437";"9286";"371";"21.25"
"13";"Plaju";"98.426";"503";"10049";"391";"19.98"
"14";"Sako";"115.585";"448";"10110";"334";"22.57"
"15";"Seberang Ulu I";"94.662";"291";"5999";"232";"20.62"
"16";"Seberang Ulu II";"105.784";"293";"5491";"216";"18.74"
"17";"Sematang Borang";"67.447";"142";"3634";"116";"25.59"
"18";"Sukarami";"205.370";"743";"18194";"618";"24.49"
