Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel
Gandus,SD NEGERI 148 PALEMBANG,2024-2025,83882,Negeri,619,29,23
Gandus,SD NEGERI 149 PALEMBANG,2024-2025,83882,Negeri,738,28,24
Gandus,SD NEGERI 150 PALEMBANG,2024-2025,83882,Negeri,457,22,16
Gandus,SD NEGERI 151 PALEMBANG,2024-2025,83882,Negeri,249,13,11
Gandus,SD NEGERI 152 PALEMBANG,2024-2025,83882,Negeri,69,10,6
Gandus,SD NEGERI 153 PALEMBANG,2024-2025,83882,Negeri,69,10,6
Gandus,SD NEGERI 154 PALEMBANG,2024-2025,83882,Negeri,114,8,6
Gandus,SD NEGERI 155 PALEMBANG,2024-2025,83882,Negeri,276,15,13
Gandus,SD TUNAS TELADAN PALEMBANG,2024-2025,83882,Swasta,720,32,26
Ilir Barat I,SD ADVENT II PALEMBANG,2019-2020,141544,Swasta,138,6,6
Ilir Barat I,SD ALAM INDONESIA,2019-2020,141544,Swasta,106,10,6
Ilir Barat I,SD HARAPAN MANDIRI PALEMBANG,2019-2020,141544,Swasta,120,7,6
Ilir Barat I,SD HIGHSCOPE INDONESIA,2019-2020,141544,Swasta,0,1,0
Ilir Barat I,SD ISLAM AZ-ZAHRAH PALEMBANG,2019-2020,141544,Swasta,788,44,31
Ilir Barat I,SD ISLAM TERPADU BINA ILMI PALEMBANG,2019-2020,141544,Swasta,839,61,33
Ilir Barat I,SD IT AULADI PAKJO PALEMBANG,2019-2020,141544,Swasta,222,15,12
Ilir Barat I,SD IT IZZUDDIN PALEMBANG,2019-2020,141544,Swasta,600,35,24
Ilir Barat I,SD NEGERI 001 PALEMBANG,2019-2020,141544,Negeri,656,31,24
Ilir Barat I,SD NEGERI 002 PALEMBANG,2019-2020,141544,Negeri,685,37,24
Ilir Barat I,SD NEGERI 003 PALEMBANG,2019-2020,141544,Negeri,120,8,6
Ilir Barat I,SD NEGERI 004 PALEMBANG,2019-2020,141544,Negeri,530,18,18
Ilir Barat I,SD NEGERI 005 PALEMBANG,2019-2020,141544,Negeri,281,16,12
Ilir Barat I,SD NEGERI 006 PALEMBANG,2019-2020,141544,Negeri,445,17,16
Ilir Barat I,SD NEGERI 007 PALEMBANG,2019-2020,141544,Negeri,194,9,7
Ilir Barat I,SD NEGERI 008 PALEMBANG,2019-2020,141544,Negeri,159,7,6
Ilir Barat I,SD NEGERI 009 PALEMBANG,2019-2020,141544,Negeri,275,15,12
Ilir Barat I,SD NEGERI 010 PALEMBANG,2019-2020,141544,Negeri,116,9,6
Ilir Barat I,SD NEGERI 011 PALEMBANG,2019-2020,141544,Negeri,485,22,17
Ilir Barat I,SD NEGERI 012 PALEMBANG,2019-2020,141544,Negeri,461,20,16
Ilir Barat I,SD NEGERI 013 PALEMBANG,2019-2020,141544,Negeri,623,24,19
Ilir Barat I,SD NEGERI 014 PALEMBANG,2019-2020,141544,Negeri,343,12,12
Ilir Barat I,SD NEGERI 015 PALEMBANG,2019-2020,141544,Negeri,315,14,11
Ilir Barat I,SD NEGERI 016 PALEMBANG,2019-2020,141544,Negeri,314,16,12
Ilir Barat I,SD NEGERI 017 PALEMBANG,2019-2020,141544,Negeri,463,26,18
Ilir Barat I,SD NEGERI 018 PALEMBANG,2019-2020,141544,Negeri,186,12,8
Ilir Barat I,SD NEGERI 019 PALEMBANG,2019-2020,141544,Negeri,310,12,12
Ilir Barat I,SD NEGERI 020 PALEMBANG,2019-2020,141544,Negeri,94,8,6
Ilir Barat I,SD NEGERI 021 PALEMBANG,2019-2020,141544,Negeri,539,27,19
Ilir Barat I,SD NEGERI 022 PALEMBANG,2019-2020,141544,Negeri,227,14,9
Ilir Barat I,SD NEGERI 023 PALEMBANG,2019-2020,141544,Negeri,608,28,22
Ilir Barat I,SD NEGERI 024 PALEMBANG,2019-2020,141544,Negeri,545,13,15
Ilir Barat I,SD NEGERI 025 PALEMBANG,2019-2020,141544,Negeri,632,27,22
Ilir Barat I,SD NEGERI 026 PALEMBANG,2019-2020,141544,Negeri,316,16,12
Ilir Barat I,SD NEGERI 027 PALEMBANG,2019-2020,141544,Negeri,206,12,9
Ilir Barat I,SD NEGERI 028 PALEMBANG,2019-2020,141544,Negeri,332,18,13
Ilir Barat I,SD NEGERI 029 PALEMBANG,2019-2020,141544,Negeri,85,7,6
Ilir Barat I,SD PALEMBANG HARAPAN,2019-2020,141544,Swasta,419,19,18
Ilir Barat I,SD ADVENT II PALEMBANG,2020-2021,140945,Swasta,130,6,6
Ilir Barat I,SD ALAM INDONESIA,2020-2021,140945,Swasta,111,8,6
Ilir Barat I,SD HARAPAN MANDIRI PALEMBANG,2020-2021,140945,Swasta,134,8,6
Ilir Barat I,SD HIGHSCOPE INDONESIA,2020-2021,140945,Swasta,21,9,3
Ilir Barat I,SD ISLAM AZ-ZAHRAH PALEMBANG,2020-2021,140945,Swasta,858,44,33
Ilir Barat I,SD ISLAM TERPADU BINA ILMI PALEMBANG,2020-2021,140945,Swasta,826,47,31
Ilir Barat I,SD IT AULADI PAKJO PALEMBANG,2020-2021,140945,Swasta,223,15,12
Ilir Barat I,SD IT IZZUDDIN PALEMBANG,2020-2021,140945,Swasta,617,34,24
Ilir Barat I,SD NEGERI 001 PALEMBANG,2020-2021,140945,Negeri,614,31,23
Ilir Barat I,SD NEGERI 002 PALEMBANG,2020-2021,140945,Negeri,687,30,22
Ilir Barat I,SD NEGERI 003 PALEMBANG,2020-2021,140945,Negeri,119,8,6
Ilir Barat I,SD NEGERI 004 PALEMBANG,2020-2021,140945,Negeri,523,16,18
Ilir Barat I,SD NEGERI 005 PALEMBANG,2020-2021,140945,Negeri,295,15,12
Ilir Barat I,SD NEGERI 006 PALEMBANG,2020-2021,140945,Negeri,430,16,16
Ilir Barat I,SD NEGERI 007 PALEMBANG,2020-2021,140945,Negeri,207,9,7
Ilir Barat I,SD NEGERI 008 PALEMBANG,2020-2021,140945,Negeri,152,5,6
Ilir Barat I,SD NEGERI 009 PALEMBANG,2020-2021,140945,Negeri,278,16,12
Ilir Barat I,SD NEGERI 010 PALEMBANG,2020-2021,140945,Negeri,119,8,6
Ilir Barat I,SD NEGERI 011 PALEMBANG,2020-2021,140945,Negeri,492,21,18
Ilir Barat I,SD NEGERI 012 PALEMBANG,2020-2021,140945,Negeri,472,20,16
Ilir Barat I,SD NEGERI 013 PALEMBANG,2020-2021,140945,Negeri,633,21,19
Ilir Barat I,SD NEGERI 014 PALEMBANG,2020-2021,140945,Negeri,386,16,14
Ilir Barat I,SD NEGERI 015 PALEMBANG,2020-2021,140945,Negeri,318,12,11
Ilir Barat I,SD NEGERI 016 PALEMBANG,2020-2021,140945,Negeri,315,17,12
Ilir Barat I,SD NEGERI 017 PALEMBANG,2020-2021,140945,Negeri,453,27,18
Ilir Barat I,SD NEGERI 018 PALEMBANG,2020-2021,140945,Negeri,177,10,9
Ilir Barat I,SD NEGERI 019 PALEMBANG,2020-2021,140945,Negeri,305,10,12
Ilir Barat I,SD NEGERI 020 PALEMBANG,2020-2021,140945,Negeri,78,8,6
Ilir Barat I,SD NEGERI 021 PALEMBANG,2020-2021,140945,Negeri,515,26,18
Ilir Barat I,SD NEGERI 022 PALEMBANG,2020-2021,140945,Negeri,205,11,7
Ilir Barat I,SD NEGERI 023 PALEMBANG,2020-2021,140945,Negeri,633,32,22
Ilir Barat I,SD NEGERI 024 PALEMBANG,2020-2021,140945,Negeri,569,14,16
Ilir Barat I,SD NEGERI 025 PALEMBANG,2020-2021,140945,Negeri,653,24,21
Ilir Barat I,SD NEGERI 026 PALEMBANG,2020-2021,140945,Negeri,318,16,12
Ilir Barat I,SD NEGERI 027 PALEMBANG,2020-2021,140945,Negeri,189,11,8
Ilir Barat I,SD NEGERI 028 PALEMBANG,2020-2021,140945,Negeri,335,15,12
Ilir Barat I,SD NEGERI 029 PALEMBANG,2020-2021,140945,Negeri,87,6,6
Ilir Barat I,SD PALEMBANG HARAPAN,2020-2021,140945,Swasta,422,29,18
Ilir Barat I,SD ADVENT II PALEMBANG,2021-2022,141855,Swasta,88,6,6
Ilir Barat I,SD GLOBAL TALENT ISLAMIC SCHOOL & STUDIO,2021-2022,141855,Swasta,107,7,6
Ilir Barat I,SD HARAPAN MANDIRI PALEMBANG,2021-2022,141855,Swasta,132,8,6
Ilir Barat I,SD HIGHSCOPE INDONESIA,2021-2022,141855,Swasta,39,8,5
Ilir Barat I,SD ISLAM AZ-ZAHRAH PALEMBANG,2021-2022,141855,Swasta,901,43,34
Ilir Barat I,SD ISLAM TERPADU BINA ILMI PALEMBANG,2021-2022,141855,Swasta,790,49,31
Ilir Barat I,SD ISLAM TERPADU FATHONA PAKJO,2021-2022,141855,Swasta,35,1,3
Ilir Barat I,SD IT AULADI PAKJO PALEMBANG,2021-2022,141855,Swasta,221,25,12
Ilir Barat I,SD IT IZZUDDIN PALEMBANG,2021-2022,141855,Swasta,612,33,24
Ilir Barat I,SD NEGERI 001 PALEMBANG,2021-2022,141855,Negeri,595,27,22
Ilir Barat I,SD NEGERI 002 PALEMBANG,2021-2022,141855,Negeri,685,27,20
Ilir Barat I,SD NEGERI 003 PALEMBANG,2021-2022,141855,Negeri,114,10,6
Ilir Barat I,SD NEGERI 004 PALEMBANG,2021-2022,141855,Negeri,521,14,18
Ilir Barat I,SD NEGERI 005 PALEMBANG,2021-2022,141855,Negeri,285,16,12
Ilir Barat I,SD NEGERI 006 PALEMBANG,2021-2022,141855,Negeri,419,13,16
Ilir Barat I,SD NEGERI 007 PALEMBANG,2021-2022,141855,Negeri,209,9,7
Ilir Barat I,SD NEGERI 008 PALEMBANG,2021-2022,141855,Negeri,140,7,6
Ilir Barat I,SD NEGERI 009 PALEMBANG,2021-2022,141855,Negeri,268,17,12
Ilir Barat I,SD NEGERI 010 PALEMBANG,2021-2022,141855,Negeri,131,8,6
Ilir Barat I,SD NEGERI 011 PALEMBANG,2021-2022,141855,Negeri,505,20,18
Ilir Barat I,SD NEGERI 012 PALEMBANG,2021-2022,141855,Negeri,475,21,16
Ilir Barat I,SD NEGERI 013 PALEMBANG,2021-2022,141855,Negeri,608,26,19
Ilir Barat I,SD NEGERI 014 PALEMBANG,2021-2022,141855,Negeri,453,18,15
Ilir Barat I,SD NEGERI 015 PALEMBANG,2021-2022,141855,Negeri,328,14,12
Ilir Barat I,SD NEGERI 016 PALEMBANG,2021-2022,141855,Negeri,289,15,12
Ilir Barat I,SD NEGERI 017 PALEMBANG,2021-2022,141855,Negeri,414,23,17
Ilir Barat I,SD NEGERI 018 PALEMBANG,2021-2022,141855,Negeri,162,11,9
Ilir Barat I,SD NEGERI 019 PALEMBANG,2021-2022,141855,Negeri,309,12,12
Ilir Barat I,SD NEGERI 020 PALEMBANG,2021-2022,141855,Negeri,76,8,6
Ilir Barat I,SD NEGERI 021 PALEMBANG,2021-2022,141855,Negeri,471,23,18
Ilir Barat I,SD NEGERI 022 PALEMBANG,2021-2022,141855,Negeri,185,12,8
Ilir Barat I,SD NEGERI 023 PALEMBANG,2021-2022,141855,Negeri,637,30,22
Ilir Barat I,SD NEGERI 024 PALEMBANG,2021-2022,141855,Negeri,549,17,16
Ilir Barat I,SD NEGERI 025 PALEMBANG,2021-2022,141855,Negeri,662,28,21
Ilir Barat I,SD NEGERI 026 PALEMBANG,2021-2022,141855,Negeri,301,14,12
Ilir Barat I,SD NEGERI 027 PALEMBANG,2021-2022,141855,Negeri,175,11,8
Ilir Barat I,SD NEGERI 028 PALEMBANG,2021-2022,141855,Negeri,328,15,12
Ilir Barat I,SD NEGERI 029 PALEMBANG,2021-2022,141855,Negeri,96,6,6
Ilir Barat I,SD PALEMBANG HARAPAN,2021-2022,141855,Swasta,438,21,18
Ilir Barat I,SD ADVENT II PALEMBANG,2022-2023,144355,Swasta,83,6,6
Ilir Barat I,SD GLOBAL TALENT ISLAMIC SCHOOL & STUDIO,2022-2023,144355,Swasta,107,8,6
Ilir Barat I,SD HARAPAN MANDIRI PALEMBANG,2022-2023,144355,Swasta,124,6,6
Ilir Barat I,SD HIGHSCOPE INDONESIA,2022-2023,144355,Swasta,41,7,6
Ilir Barat I,SD ISLAM AL ASRI PALEMBANG,2022-2023,144355,Swasta,0,0,0
Ilir Barat I,SD ISLAM AZ-ZAHRAH PALEMBANG,2022-2023,144355,Swasta,939,55,35
Ilir Barat I,SD ISLAM TERPADU BINA ILMI PALEMBANG,2022-2023,144355,Swasta,739,50,29
Ilir Barat I,SD ISLAM TERPADU FATHONA PAKJO,2022-2023,144355,Swasta,70,5,4
Ilir Barat I,SD IT AULADI PAKJO PALEMBANG,2022-2023,144355,Swasta,215,27,12
Ilir Barat I,SD IT IZZUDDIN PALEMBANG,2022-2023,144355,Swasta,616,45,24
Ilir Barat I,SD NEGERI 001 PALEMBANG,2022-2023,144355,Negeri,584,27,22
Ilir Barat I,SD NEGERI 002 PALEMBANG,2022-2023,144355,Negeri,644,23,18
Ilir Barat I,SD NEGERI 003 PALEMBANG,2022-2023,144355,Negeri,118,9,6
Ilir Barat I,SD NEGERI 004 PALEMBANG,2022-2023,144355,Negeri,495,15,18
Ilir Barat I,SD NEGERI 005 PALEMBANG,2022-2023,144355,Negeri,312,16,12
Ilir Barat I,SD NEGERI 006 PALEMBANG,2022-2023,144355,Negeri,406,13,16
Ilir Barat I,SD NEGERI 007 PALEMBANG,2022-2023,144355,Negeri,200,10,7
Ilir Barat I,SD NEGERI 008 PALEMBANG,2022-2023,144355,Negeri,158,8,6
Ilir Barat I,SD NEGERI 009 PALEMBANG,2022-2023,144355,Negeri,266,13,12
Ilir Barat I,SD NEGERI 010 PALEMBANG,2022-2023,144355,Negeri,136,7,6
Ilir Barat I,SD NEGERI 011 PALEMBANG,2022-2023,144355,Negeri,495,23,18
Ilir Barat I,SD NEGERI 012 PALEMBANG,2022-2023,144355,Negeri,478,19,17
Ilir Barat I,SD NEGERI 013 PALEMBANG,2022-2023,144355,Negeri,636,24,19
Ilir Barat I,SD NEGERI 014 PALEMBANG,2022-2023,144355,Negeri,546,17,17
Ilir Barat I,SD NEGERI 015 PALEMBANG,2022-2023,144355,Negeri,323,14,12
Ilir Barat I,SD NEGERI 016 PALEMBANG,2022-2023,144355,Negeri,289,14,12
Ilir Barat I,SD NEGERI 017 PALEMBANG,2022-2023,144355,Negeri,424,23,16
Ilir Barat I,SD NEGERI 018 PALEMBANG,2022-2023,144355,Negeri,139,12,8
Ilir Barat I,SD NEGERI 019 PALEMBANG,2022-2023,144355,Negeri,306,13,12
Ilir Barat I,SD NEGERI 020 PALEMBANG,2022-2023,144355,Negeri,85,8,6
Ilir Barat I,SD NEGERI 021 PALEMBANG,2022-2023,144355,Negeri,456,22,18
Ilir Barat I,SD NEGERI 022 PALEMBANG,2022-2023,144355,Negeri,161,13,8
Ilir Barat I,SD NEGERI 023 PALEMBANG,2022-2023,144355,Negeri,641,27,22
Ilir Barat I,SD NEGERI 024 PALEMBANG,2022-2023,144355,Negeri,591,20,17
Ilir Barat I,SD NEGERI 025 PALEMBANG,2022-2023,144355,Negeri,627,26,22
Ilir Barat I,SD NEGERI 026 PALEMBANG,2022-2023,144355,Negeri,294,16,12
Ilir Barat I,SD NEGERI 027 PALEMBANG,2022-2023,144355,Negeri,176,10,8
Ilir Barat I,SD NEGERI 028 PALEMBANG,2022-2023,144355,Negeri,325,17,12
Ilir Barat I,SD NEGERI 029 PALEMBANG,2022-2023,144355,Negeri,98,7,6
Ilir Barat I,SD PALEMBANG HARAPAN,2022-2023,144355,Swasta,460,24,18
Ilir Barat I,SD REAL ISLAMIC SCHOOL PALEMBANG,2022-2023,144355,Swasta,0,1,0
Ilir Barat I,SD ADVENT II PALEMBANG,2023-2024,151894,Swasta,68,9,6
Ilir Barat I,SD GLOBAL TALENT ISLAMIC SCHOOL & STUDIO,2023-2024,151894,Swasta,96,8,6
Ilir Barat I,SD HARAPAN MANDIRI PALEMBANG,2023-2024,151894,Swasta,126,5,6
Ilir Barat I,SD HIGHSCOPE INDONESIA,2023-2024,151894,Swasta,64,7,6
Ilir Barat I,SD ISLAM AL ASRI PALEMBANG,2023-2024,151894,Swasta,79,17,7
Ilir Barat I,SD ISLAM AZ-ZAHRAH PALEMBANG,2023-2024,151894,Swasta,951,67,36
Ilir Barat I,SD ISLAM TERAPAN PROF. MUHAJIRIN,2023-2024,151894,Swasta,22,5,2
Ilir Barat I,SD ISLAM TERPADU BINA ILMI PALEMBANG,2023-2024,151894,Swasta,734,45,24
Ilir Barat I,SD ISLAM TERPADU FATHONA PAKJO,2023-2024,151894,Swasta,95,12,5
Ilir Barat I,SD IT  KEYNAN,2023-2024,151894,Swasta,0,1,0
Ilir Barat I,SD IT AULADI PAKJO PALEMBANG,2023-2024,151894,Swasta,220,15,12
Ilir Barat I,SD IT IZZUDDIN PALEMBANG,2023-2024,151894,Swasta,641,40,25
Ilir Barat I,SD NEGERI 001 PALEMBANG,2023-2024,151894,Negeri,545,32,21
Ilir Barat I,SD NEGERI 002 PALEMBANG,2023-2024,151894,Negeri,640,24,19
Ilir Barat I,SD NEGERI 003 PALEMBANG,2023-2024,151894,Negeri,121,11,6
Ilir Barat I,SD NEGERI 004 PALEMBANG,2023-2024,151894,Negeri,529,22,18
Ilir Barat I,SD NEGERI 005 PALEMBANG,2023-2024,151894,Negeri,306,15,12
Ilir Barat I,SD NEGERI 006 PALEMBANG,2023-2024,151894,Negeri,418,22,16
Ilir Barat I,SD NEGERI 007 PALEMBANG,2023-2024,151894,Negeri,185,8,7
Ilir Barat I,SD NEGERI 008 PALEMBANG,2023-2024,151894,Negeri,162,7,6
Ilir Barat I,SD NEGERI 009 PALEMBANG,2023-2024,151894,Negeri,275,12,12
Ilir Barat I,SD NEGERI 010 PALEMBANG,2023-2024,151894,Negeri,136,8,6
Ilir Barat I,SD NEGERI 011 PALEMBANG,2023-2024,151894,Negeri,507,23,18
Ilir Barat I,SD NEGERI 012 PALEMBANG,2023-2024,151894,Negeri,479,22,18
Ilir Barat I,SD NEGERI 013 PALEMBANG,2023-2024,151894,Negeri,636,24,19
Ilir Barat I,SD NEGERI 014 PALEMBANG,2023-2024,151894,Negeri,647,22,19
Ilir Barat I,SD NEGERI 015 PALEMBANG,2023-2024,151894,Negeri,288,12,11
Ilir Barat I,SD NEGERI 016 PALEMBANG,2023-2024,151894,Negeri,293,14,12
Ilir Barat I,SD NEGERI 017 PALEMBANG,2023-2024,151894,Negeri,375,23,14
Ilir Barat I,SD NEGERI 018 PALEMBANG,2023-2024,151894,Negeri,133,12,6
Ilir Barat I,SD NEGERI 019 PALEMBANG,2023-2024,151894,Negeri,338,16,13
Ilir Barat I,SD NEGERI 020 PALEMBANG,2023-2024,151894,Negeri,87,9,6
Ilir Barat I,SD NEGERI 021 PALEMBANG,2023-2024,151894,Negeri,463,23,18
Ilir Barat I,SD NEGERI 022 PALEMBANG,2023-2024,151894,Negeri,153,11,8
Ilir Barat I,SD NEGERI 023 PALEMBANG,2023-2024,151894,Negeri,574,30,22
Ilir Barat I,SD NEGERI 024 PALEMBANG,2023-2024,151894,Negeri,622,25,20
Ilir Barat I,SD NEGERI 025 PALEMBANG,2023-2024,151894,Negeri,627,29,21
Ilir Barat I,SD NEGERI 026 PALEMBANG,2023-2024,151894,Negeri,312,19,12
Ilir Barat I,SD NEGERI 027 PALEMBANG,2023-2024,151894,Negeri,193,10,8
Ilir Barat I,SD NEGERI 028 PALEMBANG,2023-2024,151894,Negeri,308,15,12
Ilir Barat I,SD NEGERI 029 PALEMBANG,2023-2024,151894,Negeri,105,9,6
Ilir Barat I,SD PALEMBANG HARAPAN,2023-2024,151894,Swasta,480,28,18
Ilir Barat I,SD REAL ISLAMIC SCHOOL PALEMBANG,2023-2024,151894,Swasta,86,7,5
Ilir Barat I,SD ADVENT II PALEMBANG,2024-2025,154738,Swasta,36,6,6
Ilir Barat I,SD GLOBAL TALENT ISLAMIC SCHOOL & STUDIO,2024-2025,154738,Swasta,89,10,6
Ilir Barat I,SD HARAPAN MANDIRI PALEMBANG,2024-2025,154738,Swasta,118,9,6
Ilir Barat I,SD ISLAM AL ASRI PALEMBANG,2024-2025,154738,Swasta,129,21,9
Ilir Barat I,SD ISLAM AZ-ZAHRAH PALEMBANG,2024-2025,154738,Swasta,954,67,36
Ilir Barat I,SD ISLAM TERAPAN PROF. MUHAJIRIN,2024-2025,154738,Swasta,32,5,3
Ilir Barat I,SD ISLAM TERPADU BINA ILMI PALEMBANG,2024-2025,154738,Swasta,726,46,24
Ilir Barat I,SD ISLAM TERPADU FATHONA PAKJO,2024-2025,154738,Swasta,102,6,6
Ilir Barat I,SD IT  KEIYNAN,2024-2025,154738,Swasta,21,3,4
Ilir Barat I,SD IT AULADI PAKJO PALEMBANG,2024-2025,154738,Swasta,226,12,12
Ilir Barat I,SD IT IZZUDDIN PALEMBANG,2024-2025,154738,Swasta,625,39,24
Ilir Barat I,SD NEGERI 001 PALEMBANG,2024-2025,154738,Negeri,556,31,21
Ilir Barat I,SD NEGERI 002 PALEMBANG,2024-2025,154738,Negeri,619,26,20
Ilir Barat I,SD NEGERI 003 PALEMBANG,2024-2025,154738,Negeri,116,11,6
Ilir Barat I,SD NEGERI 004 PALEMBANG,2024-2025,154738,Negeri,553,24,19
Ilir Barat I,SD NEGERI 005 PALEMBANG,2024-2025,154738,Negeri,312,14,12
Ilir Barat I,SD NEGERI 006 PALEMBANG,2024-2025,154738,Negeri,429,22,16
Ilir Barat I,SD NEGERI 007 PALEMBANG,2024-2025,154738,Negeri,168,11,7
Ilir Barat I,SD NEGERI 008 PALEMBANG,2024-2025,154738,Negeri,155,7,6
Ilir Barat I,SD NEGERI 009 PALEMBANG,2024-2025,154738,Negeri,273,13,12
Ilir Barat I,SD NEGERI 010 PALEMBANG,2024-2025,154738,Negeri,138,9,6
Ilir Barat I,SD NEGERI 011 PALEMBANG,2024-2025,154738,Negeri,497,24,18
Ilir Barat I,SD NEGERI 012 PALEMBANG,2024-2025,154738,Negeri,475,23,18
Ilir Barat I,SD NEGERI 013 PALEMBANG,2024-2025,154738,Negeri,610,23,19
Ilir Barat I,SD NEGERI 014 PALEMBANG,2024-2025,154738,Negeri,685,26,21
Ilir Barat I,SD NEGERI 015 PALEMBANG,2024-2025,154738,Negeri,290,13,12
Ilir Barat I,SD NEGERI 016 PALEMBANG,2024-2025,154738,Negeri,289,16,12
Ilir Barat I,SD NEGERI 017 PALEMBANG,2024-2025,154738,Negeri,351,21,14
Ilir Barat I,SD NEGERI 018 PALEMBANG,2024-2025,154738,Negeri,130,11,6
Ilir Barat I,SD NEGERI 019 PALEMBANG,2024-2025,154738,Negeri,351,17,14
Ilir Barat I,SD NEGERI 020 PALEMBANG,2024-2025,154738,Negeri,84,10,6
Ilir Barat I,SD NEGERI 021 PALEMBANG,2024-2025,154738,Negeri,433,27,18
Ilir Barat I,SD NEGERI 022 PALEMBANG,2024-2025,154738,Negeri,147,11,7
Ilir Barat I,SD NEGERI 023 PALEMBANG,2024-2025,154738,Negeri,554,33,22
Ilir Barat I,SD NEGERI 024 PALEMBANG,2024-2025,154738,Negeri,604,26,20
Ilir Barat I,SD NEGERI 025 PALEMBANG,2024-2025,154738,Negeri,606,30,22
Ilir Barat I,SD NEGERI 026 PALEMBANG,2024-2025,154738,Negeri,297,15,12
Ilir Barat I,SD NEGERI 027 PALEMBANG,2024-2025,154738,Negeri,193,15,9
Ilir Barat I,SD NEGERI 028 PALEMBANG,2024-2025,154738,Negeri,306,16,12
Ilir Barat I,SD NEGERI 029 PALEMBANG,2024-2025,154738,Negeri,105,10,6
Ilir Barat I,SD PALEMBANG HARAPAN,2024-2025,154738,Swasta,474,29,18
Ilir Barat I,SD REAL ISLAMIC SCHOOL PALEMBANG,2024-2025,154738,Swasta,139,9,6
Ilir Barat Ii,SD ADVENT I PALEMBANG,2019-2020,73269,Swasta,77,2,6
Ilir Barat Ii,SD NEGERI 030 PALEMBANG,2019-2020,73269,Negeri,688,27,23
Ilir Barat Ii,SD NEGERI 031 PALEMBANG,2019-2020,73269,Negeri,313,15,12
Ilir Barat Ii,SD NEGERI 032 PALEMBANG,2019-2020,73269,Negeri,311,12,12
Ilir Barat Ii,SD NEGERI 033 PALEMBANG,2019-2020,73269,Negeri,916,34,30
Ilir Barat Ii,SD NEGERI 034 PALEMBANG,2019-2020,73269,Negeri,402,17,13
Ilir Barat Ii,SD NEGERI 035 PALEMBANG,2019-2020,73269,Negeri,1031,44,35
Ilir Barat Ii,SD NEGERI 036 PALEMBANG,2019-2020,73269,Negeri,114,10,6
Ilir Barat Ii,SD NEGERI 037 PALEMBANG,2019-2020,73269,Negeri,154,7,6
Ilir Barat Ii,SD NEGERI 038 PALEMBANG,2019-2020,73269,Negeri,353,16,13
Ilir Barat Ii,SD ADVENT I PALEMBANG,2020-2021,67614,Swasta,67,1,6
Ilir Barat Ii,SD NEGERI 030 PALEMBANG,2020-2021,67614,Negeri,642,24,20
Ilir Barat Ii,SD NEGERI 031 PALEMBANG,2020-2021,67614,Negeri,291,13,12
Ilir Barat Ii,SD NEGERI 032 PALEMBANG,2020-2021,67614,Negeri,297,11,12
Ilir Barat Ii,SD NEGERI 033 PALEMBANG,2020-2021,67614,Negeri,916,30,29
Ilir Barat Ii,SD NEGERI 034 PALEMBANG,2020-2021,67614,Negeri,393,17,13
Ilir Barat Ii,SD NEGERI 035 PALEMBANG,2020-2021,67614,Negeri,960,43,33
Ilir Barat Ii,SD NEGERI 036 PALEMBANG,2020-2021,67614,Negeri,112,7,6
Ilir Barat Ii,SD NEGERI 037 PALEMBANG,2020-2021,67614,Negeri,170,9,7
Ilir Barat Ii,SD NEGERI 038 PALEMBANG,2020-2021,67614,Negeri,359,17,13
Ilir Barat Ii,SD ADVENT I PALEMBANG,2021-2022,67647,Swasta,51,2,6
Ilir Barat Ii,SD NEGERI 030 PALEMBANG,2021-2022,67647,Negeri,630,21,21
Ilir Barat Ii,SD NEGERI 031 PALEMBANG,2021-2022,67647,Negeri,269,14,12
Ilir Barat Ii,SD NEGERI 032 PALEMBANG,2021-2022,67647,Negeri,284,10,12
Ilir Barat Ii,SD NEGERI 033 PALEMBANG,2021-2022,67647,Negeri,865,33,29
Ilir Barat Ii,SD NEGERI 034 PALEMBANG,2021-2022,67647,Negeri,381,20,13
Ilir Barat Ii,SD NEGERI 035 PALEMBANG,2021-2022,67647,Negeri,946,37,30
Ilir Barat Ii,SD NEGERI 036 PALEMBANG,2021-2022,67647,Negeri,106,7,6
Ilir Barat Ii,SD NEGERI 037 PALEMBANG,2021-2022,67647,Negeri,188,9,8
Ilir Barat Ii,SD NEGERI 038 PALEMBANG,2021-2022,67647,Negeri,353,18,13
Ilir Barat Ii,SD ADVENT I PALEMBANG,2022-2023,68026,Swasta,55,2,6
Ilir Barat Ii,SD NEGERI 030 PALEMBANG,2022-2023,68026,Negeri,677,18,22
Ilir Barat Ii,SD NEGERI 031 PALEMBANG,2022-2023,68026,Negeri,253,13,11
Ilir Barat Ii,SD NEGERI 032 PALEMBANG,2022-2023,68026,Negeri,281,10,12
Ilir Barat Ii,SD NEGERI 033 PALEMBANG,2022-2023,68026,Negeri,853,29,26
Ilir Barat Ii,SD NEGERI 034 PALEMBANG,2022-2023,68026,Negeri,400,19,14
Ilir Barat Ii,SD NEGERI 035 PALEMBANG,2022-2023,68026,Negeri,957,34,31
Ilir Barat Ii,SD NEGERI 036 PALEMBANG,2022-2023,68026,Negeri,104,7,6
Ilir Barat Ii,SD NEGERI 037 PALEMBANG,2022-2023,68026,Negeri,198,10,8
Ilir Barat Ii,SD NEGERI 038 PALEMBANG,2022-2023,68026,Negeri,351,17,13
