Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel
Alang-Alang Lebar,SD MUHAMMADIYAH 20 PALEMBANG,2022-2023,110085,Swasta,0,0,0
Alang-Alang Lebar,SD NEGERI 237 PALEMBANG,2022-2023,110085,Negeri,72,6,6
Alang-Alang Lebar,SD NEGERI 238 PALEMBANG,2022-2023,110085,Negeri,550,23,19
Alang-Alang Lebar,SD NEGERI 239 PALEMBANG,2022-2023,110085,Negeri,225,16,11
Alang-Alang Lebar,SD NEGERI 240 PALEMBANG,2022-2023,110085,Negeri,552,25,19
Alang-Alang Lebar,SD NEGERI 241 PALEMBANG,2022-2023,110085,Negeri,809,27,26
Alang-Alang Lebar,SD NEGERI 242 PALEMBANG,2022-2023,110085,Negeri,579,20,19
Alang-Alang Lebar,SD NEGERI 243 PALEMBANG,2022-2023,110085,Negeri,1234,34,31
Alang-Alang Lebar,SD NEGERI 244 PALEMBANG,2022-2023,110085,Negeri,1044,32,26
Alang-Alang Lebar,SD NEGERI 249 PALEMBANG,2022-2023,110085,Negeri,179,7,7
Alang-Alang Lebar,SD PALM KIDS PALEMBANG,2022-2023,110085,Swasta,214,13,9
Alang-Alang Lebar,SD PLUS INDO GLOBAL MANDIRI PALEMBANG,2022-2023,110085,Swasta,548,36,23
Alang-Alang Lebar,SD RIFANDA,2022-2023,110085,Swasta,10,2,2
Alang-Alang Lebar,SD SAINS ALUMNIKA PALEMBANG,2022-2023,110085,Swasta,111,6,5
Alang-Alang Lebar,SD BINA POTENSI PALEMBANG,2023-2024,113578,Swasta,65,11,6
Alang-Alang Lebar,SD IGNATIUS GLOBAL SCHOOL CITRAGRAND CITY,2023-2024,113578,Swasta,162,8,6
Alang-Alang Lebar,SD ISLAM FATIMAH PALEMBANG,2023-2024,113578,Swasta,540,33,21
Alang-Alang Lebar,SD ISLAM KHALIFAH ANNIZAM PALEMBANG,2023-2024,113578,Swasta,444,32,18
Alang-Alang Lebar,SD IT FATHONA PALEMBANG,2023-2024,113578,Swasta,327,23,13
Alang-Alang Lebar,SD KARYA DHARMA BHAKTI 2 PALEMBANG,2023-2024,113578,Swasta,357,8,13
Alang-Alang Lebar,SD MUHAMMADIYAH 20 PALEMBANG,2023-2024,113578,Swasta,82,4,3
Alang-Alang Lebar,SD NEGERI 237 PALEMBANG,2023-2024,113578,Negeri,203,9,9
Alang-Alang Lebar,SD NEGERI 238 PALEMBANG,2023-2024,113578,Negeri,553,28,19
Alang-Alang Lebar,SD NEGERI 239 PALEMBANG,2023-2024,113578,Negeri,235,17,11
Alang-Alang Lebar,SD NEGERI 240 PALEMBANG,2023-2024,113578,Negeri,602,25,19
Alang-Alang Lebar,SD NEGERI 241 PALEMBANG,2023-2024,113578,Negeri,808,31,26
Alang-Alang Lebar,SD NEGERI 242 PALEMBANG,2023-2024,113578,Negeri,541,23,17
Alang-Alang Lebar,SD NEGERI 243 PALEMBANG,2023-2024,113578,Negeri,1119,38,31
Alang-Alang Lebar,SD NEGERI 244 PALEMBANG,2023-2024,113578,Negeri,998,35,25
Alang-Alang Lebar,SD NEGERI 249 PALEMBANG,2023-2024,113578,Negeri,243,8,9
Alang-Alang Lebar,SD PALM KIDS PALEMBANG,2023-2024,113578,Swasta,182,16,9
Alang-Alang Lebar,SD PLUS INDO GLOBAL MANDIRI PALEMBANG,2023-2024,113578,Swasta,585,38,24
Alang-Alang Lebar,SD RIFANDA,2023-2024,113578,Swasta,15,3,3
Alang-Alang Lebar,SD SAINS ALUMNIKA PALEMBANG,2023-2024,113578,Swasta,110,7,5
Alang-Alang Lebar,SD BINA POTENSI PALEMBANG,2024-2025,116594,Swasta,69,15,6
Alang-Alang Lebar,SD IGNATIUS GLOBAL SCHOOL CITRAGRAND CITY,2024-2025,116594,Swasta,166,8,6
Alang-Alang Lebar,SD ISLAM FATIMAH PALEMBANG,2024-2025,116594,Swasta,570,34,22
Alang-Alang Lebar,SD ISLAM KHALIFAH ANNIZAM PALEMBANG,2024-2025,116594,Swasta,463,43,19
Alang-Alang Lebar,SD IT FATHONA PALEMBANG,2024-2025,116594,Swasta,339,24,16
Alang-Alang Lebar,SD IT IZZATUNA PALEMBANG,2024-2025,116594,Swasta,0,0,0
Alang-Alang Lebar,SD KARYA DHARMA BHAKTI 2 PALEMBANG,2024-2025,116594,Swasta,336,13,12
Alang-Alang Lebar,SD MUHAMMADIYAH 20 PALEMBANG,2024-2025,116594,Swasta,106,7,5
Alang-Alang Lebar,SD NEGERI 237 PALEMBANG,2024-2025,116594,Negeri,202,13,9
Alang-Alang Lebar,SD NEGERI 238 PALEMBANG,2024-2025,116594,Negeri,530,23,19
Alang-Alang Lebar,SD NEGERI 239 PALEMBANG,2024-2025,116594,Negeri,235,15,11
Alang-Alang Lebar,SD NEGERI 240 PALEMBANG,2024-2025,116594,Negeri,648,27,20
Alang-Alang Lebar,SD NEGERI 241 PALEMBANG,2024-2025,116594,Negeri,815,34,27
Alang-Alang Lebar,SD NEGERI 242 PALEMBANG,2024-2025,116594,Negeri,553,23,18
Alang-Alang Lebar,SD NEGERI 243 PALEMBANG,2024-2025,116594,Negeri,1067,44,32
Alang-Alang Lebar,SD NEGERI 244 PALEMBANG,2024-2025,116594,Negeri,920,34,25
Alang-Alang Lebar,SD NEGERI 249 PALEMBANG,2024-2025,116594,Negeri,290,10,11
