Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel,Jumlah Sekolah
alang-alang lebar,SD NEGERI 238 PALEMBANG,2022-2023,110,Negeri,550,23,19,20
alang-alang lebar,SD NEGERI 239 PALEMBANG,2022-2023,110,Negeri,225,16,11,20
alang-alang lebar,SD NEGERI 240 PALEMBANG,2022-2023,110,Negeri,552,25,19,20
alang-alang lebar,SD NEGERI 241 PALEMBANG,2022-2023,110,Negeri,809,27,26,20
alang-alang lebar,SD NEGERI 242 PALEMBANG,2022-2023,110,Negeri,579,20,19,20
alang-alang lebar,SD NEGERI 243 PALEMBANG,2022-2023,110,Negeri,1234,34,31,20
alang-alang lebar,SD NEGERI 244 PALEMBANG,2022-2023,110,Negeri,1044,32,26,20
alang-alang lebar,SD NEGERI 249 PALEMBANG,2022-2023,110,Negeri,179,7,7,20
alang-alang lebar,SD PALM KIDS PALEMBANG,2022-2023,110,Swasta,214,13,9,20
alang-alang lebar,SD PLUS INDO GLOBAL MANDIRI PALEMBANG,2022-2023,110,Swasta,548,36,23,20
alang-alang lebar,SD RIFANDA,2022-2023,110,Swasta,10,2,2,20
alang-alang lebar,SD SAINS ALUMNIKA PALEMBANG,2022-2023,110,Swasta,111,6,5,20
alang-alang lebar,SD BINA POTENSI PALEMBANG,2023-2024,114,Swasta,65,11,6,20
alang-alang lebar,SD IGNATIUS GLOBAL SCHOOL CITRAGRAND CITY,2023-2024,114,Swasta,162,8,6,20
alang-alang lebar,SD ISLAM FATIMAH PALEMBANG,2023-2024,114,Swasta,540,33,21,20
alang-alang lebar,SD ISLAM KHALIFAH ANNIZAM PALEMBANG,2023-2024,114,Swasta,444,32,18,20
alang-alang lebar,SD IT FATHONA PALEMBANG,2023-2024,114,Swasta,327,23,13,20
alang-alang lebar,SD KARYA DHARMA BHAKTI 2 PALEMBANG,2023-2024,114,Swasta,357,8,13,20
alang-alang lebar,SD MUHAMMADIYAH 20 PALEMBANG,2023-2024,114,Swasta,82,4,3,20
alang-alang lebar,SD NEGERI 237 PALEMBANG,2023-2024,114,Negeri,203,9,9,20
alang-alang lebar,SD NEGERI 238 PALEMBANG,2023-2024,114,Negeri,553,28,19,20
alang-alang lebar,SD NEGERI 239 PALEMBANG,2023-2024,114,Negeri,235,17,11,20
alang-alang lebar,SD NEGERI 240 PALEMBANG,2023-2024,114,Negeri,602,25,19,20
alang-alang lebar,SD NEGERI 241 PALEMBANG,2023-2024,114,Negeri,808,31,26,20
alang-alang lebar,SD NEGERI 242 PALEMBANG,2023-2024,114,Negeri,541,23,17,20
alang-alang lebar,SD NEGERI 243 PALEMBANG,2023-2024,114,Negeri,1119,38,31,20
alang-alang lebar,SD NEGERI 244 PALEMBANG,2023-2024,114,Negeri,998,35,25,20
alang-alang lebar,SD NEGERI 249 PALEMBANG,2023-2024,114,Negeri,243,8,9,20
alang-alang lebar,SD PALM KIDS PALEMBANG,2023-2024,114,Swasta,182,16,9,20
alang-alang lebar,SD PLUS INDO GLOBAL MANDIRI PALEMBANG,2023-2024,114,Swasta,585,38,24,20
alang-alang lebar,SD RIFANDA,2023-2024,114,Swasta,15,3,3,20
alang-alang lebar,SD SAINS ALUMNIKA PALEMBANG,2023-2024,114,Swasta,110,7,5,20
alang-alang lebar,SD BINA POTENSI PALEMBANG,2024-2025,117,Swasta,69,15,6,21
alang-alang lebar,SD IGNATIUS GLOBAL SCHOOL CITRAGRAND CITY,2024-2025,117,Swasta,166,8,6,21
alang-alang lebar,SD ISLAM FATIMAH PALEMBANG,2024-2025,117,Swasta,570,34,22,21
alang-alang lebar,SD ISLAM KHALIFAH ANNIZAM PALEMBANG,2024-2025,117,Swasta,463,43,19,21
alang-alang lebar,SD IT FATHONA PALEMBANG,2024-2025,117,Swasta,339,24,16,21
alang-alang lebar,SD IT IZZATUNA PALEMBANG,2024-2025,117,Swasta,0,0,0,21
alang-alang lebar,SD KARYA DHARMA BHAKTI 2 PALEMBANG,2024-2025,117,Swasta,336,13,12,21
alang-alang lebar,SD MUHAMMADIYAH 20 PALEMBANG,2024-2025,117,Swasta,106,7,5,21
alang-alang lebar,SD NEGERI 237 PALEMBANG,2024-2025,117,Negeri,202,13,9,21
alang-alang lebar,SD NEGERI 238 PALEMBANG,2024-2025,117,Negeri,530,23,19,21
alang-alang lebar,SD NEGERI 239 PALEMBANG,2024-2025,117,Negeri,235,15,11,21
alang-alang lebar,SD NEGERI 240 PALEMBANG,2024-2025,117,Negeri,648,27,20,21
alang-alang lebar,SD NEGERI 241 PALEMBANG,2024-2025,117,Negeri,815,34,27,21
alang-alang lebar,SD NEGERI 242 PALEMBANG,2024-2025,117,Negeri,553,23,18,21
alang-alang lebar,SD NEGERI 243 PALEMBANG,2024-2025,117,Negeri,1067,44,32,21
alang-alang lebar,SD NEGERI 244 PALEMBANG,2024-2025,117,Negeri,920,34,25,21
alang-alang lebar,SD NEGERI 249 PALEMBANG,2024-2025,117,Negeri,290,10,11,21
alang-alang lebar,SD PALM KIDS PALEMBANG,2024-2025,117,Swasta,192,9,9,21
alang-alang lebar,SD PLUS INDO GLOBAL MANDIRI PALEMBANG,2024-2025,117,Swasta,600,40,24,21
alang-alang lebar,SD RIFANDA,2024-2025,117,Swasta,26,6,4,21
alang-alang lebar,SD SAINS ALUMNIKA PALEMBANG,2024-2025,117,Swasta,163,6,6,21
