Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel,Jumlah Sekolah
ilir timur III,SD NEGERI 054 PALEMBANG,2022-2023,73,Negeri,373,19,12,17
ilir timur III,SD NEGERI 055 PALEMBANG,2022-2023,73,Negeri,686,31,24,17
ilir timur III,SD NEGERI 056 PALEMBANG,2022-2023,73,Negeri,180,8,7,17
ilir timur III,SD NEGERI 057 PALEMBANG,2022-2023,73,Negeri,497,27,20,17
ilir timur III,SD NEGERI 059 PALEMBANG,2022-2023,73,Negeri,338,14,12,17
ilir timur III,SD NEGERI 060 PALEMBANG,2022-2023,73,Negeri,412,18,18,17
ilir timur III,SD NEGERI 061 PALEMBANG,2022-2023,73,Negeri,279,15,12,17
ilir timur III,SD YAYASAN IBA PALEMBANG,2022-2023,73,Swasta,432,35,18,17
ilir timur III,SD BETHESDA,2023-2024,74,Swasta,105,10,6,17
ilir timur III,SD IGNATIUS GLOBAL SCHOOL PALEMBANG,2023-2024,74,Swasta,478,27,17,17
ilir timur III,SD INDRIASANA PALEMBANG,2023-2024,74,Swasta,323,17,13,17
ilir timur III,SD IT KAMILIYAH PALEMBANG,2023-2024,74,Swasta,184,19,8,17
ilir timur III,SD IT MUTIARA AZZAM PALEMBANG,2023-2024,74,Swasta,143,15,6,17
ilir timur III,SD KARYA DHARMA BHAKTI 01 PALEMBANG,2023-2024,74,Swasta,115,5,6,17
ilir timur III,SD KUSUMA BANGSA PALEMBANG,2023-2024,74,Swasta,444,17,17,17
ilir timur III,SD MAITREYAWIRA PALEMBANG,2023-2024,74,Swasta,803,53,30,17
ilir timur III,SD MARANATHA PALEMBANG,2023-2024,74,Swasta,64,6,6,17
ilir timur III,SD NEGERI 054 PALEMBANG,2023-2024,74,Negeri,368,17,12,17
ilir timur III,SD NEGERI 055 PALEMBANG,2023-2024,74,Negeri,676,32,24,17
ilir timur III,SD NEGERI 056 PALEMBANG,2023-2024,74,Negeri,162,10,6,17
ilir timur III,SD NEGERI 057 PALEMBANG,2023-2024,74,Negeri,481,24,19,17
ilir timur III,SD NEGERI 059 PALEMBANG,2023-2024,74,Negeri,344,16,12,17
ilir timur III,SD NEGERI 060 PALEMBANG,2023-2024,74,Negeri,405,19,14,17
ilir timur III,SD NEGERI 061 PALEMBANG,2023-2024,74,Negeri,290,18,12,17
ilir timur III,SD YAYASAN IBA PALEMBANG,2023-2024,74,Swasta,411,29,16,17
ilir timur III,SD BETHESDA,2024-2025,75,Swasta,171,13,8,17
ilir timur III,SD IGNATIUS GLOBAL SCHOOL PALEMBANG,2024-2025,75,Swasta,479,27,17,17
ilir timur III,SD INDRIASANA PALEMBANG,2024-2025,75,Swasta,282,16,12,17
ilir timur III,SD IT KAMILIYAH PALEMBANG,2024-2025,75,Swasta,180,16,9,17
ilir timur III,SD IT MUTIARA AZZAM PALEMBANG,2024-2025,75,Swasta,140,15,6,17
