Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel,Jumlah Sekolah
seberang ulu II,SD MUHAMMADIYAH 17 PALEMBANG,2022-2023,101,Swasta,163,9,6,18
seberang ulu II,SD NEGERI 090 PALEMBANG,2022-2023,101,Negeri,434,16,15,18
seberang ulu II,SD NEGERI 091 PALEMBANG,2022-2023,101,Negeri,441,21,18,18
seberang ulu II,SD NEGERI 092 PALEMBANG,2022-2023,101,Negeri,282,17,13,18
seberang ulu II,SD NEGERI 093 PALEMBANG,2022-2023,101,Negeri,585,27,19,18
seberang ulu II,SD NEGERI 094 PALEMBANG,2022-2023,101,Negeri,248,15,11,18
seberang ulu II,SD NEGERI 095 PALEMBANG,2022-2023,101,Negeri,360,18,14,18
seberang ulu II,SD NEGERI 096 PALEMBANG,2022-2023,101,Negeri,175,11,8,18
seberang ulu II,SD NEGERI 097 PALEMBANG,2022-2023,101,Negeri,125,8,6,18
seberang ulu II,SD NEGERI 098 PALEMBANG,2022-2023,101,Negeri,510,19,16,18
seberang ulu II,SD NEGERI 099 PALEMBANG,2022-2023,101,Negeri,392,21,16,18
seberang ulu II,SD NEGERI 100 PALEMBANG,2022-2023,101,Negeri,289,16,12,18
seberang ulu II,SD NEGERI 101 PALEMBANG,2022-2023,101,Negeri,298,13,12,18
seberang ulu II,SD NEGERI 102 PALEMBANG,2022-2023,101,Negeri,351,14,12,18
seberang ulu II,SD XAVERIUS 07 PALEMBANG,2022-2023,101,Swasta,73,7,6,18
seberang ulu II,SDI BAITUR RAHMAH,2022-2023,101,Swasta,247,13,10,18
seberang ulu II,SD ISLAM TERPADU AULADI PALEMBANG,2023-2024,106,Swasta,483,38,22,19
seberang ulu II,SD IT ABI UMI,2023-2024,106,Swasta,0,0,0,19
seberang ulu II,SD MUHAMMADIYAH 16 PALEMBANG,2023-2024,106,Swasta,304,14,11,19
seberang ulu II,SD MUHAMMADIYAH 17 PALEMBANG,2023-2024,106,Swasta,164,8,6,19
seberang ulu II,SD NEGERI 090 PALEMBANG,2023-2024,106,Negeri,436,22,15,19
seberang ulu II,SD NEGERI 091 PALEMBANG,2023-2024,106,Negeri,453,24,19,19
seberang ulu II,SD NEGERI 092 PALEMBANG,2023-2024,106,Negeri,293,17,12,19
seberang ulu II,SD NEGERI 093 PALEMBANG,2023-2024,106,Negeri,572,23,18,19
seberang ulu II,SD NEGERI 094 PALEMBANG,2023-2024,106,Negeri,238,15,11,19
seberang ulu II,SD NEGERI 095 PALEMBANG,2023-2024,106,Negeri,386,18,15,19
seberang ulu II,SD NEGERI 096 PALEMBANG,2023-2024,106,Negeri,154,8,6,19
seberang ulu II,SD NEGERI 097 PALEMBANG,2023-2024,106,Negeri,120,10,6,19
seberang ulu II,SD NEGERI 098 PALEMBANG,2023-2024,106,Negeri,510,19,17,19
seberang ulu II,SD NEGERI 099 PALEMBANG,2023-2024,106,Negeri,365,21,16,19
