Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel,Jumlah Sekolah
ilir barat I,SD NEGERI 013 PALEMBANG,2020-2021,141,Negeri,633,21,19,38
ilir barat I,SD NEGERI 014 PALEMBANG,2020-2021,141,Negeri,386,16,14,38
ilir barat I,SD NEGERI 015 PALEMBANG,2020-2021,141,Negeri,318,12,11,38
ilir barat I,SD NEGERI 016 PALEMBANG,2020-2021,141,Negeri,315,17,12,38
ilir barat I,SD NEGERI 017 PALEMBANG,2020-2021,141,Negeri,453,27,18,38
ilir barat I,SD NEGERI 018 PALEMBANG,2020-2021,141,Negeri,177,10,9,38
ilir barat I,SD NEGERI 019 PALEMBANG,2020-2021,141,Negeri,305,10,12,38
ilir barat I,SD NEGERI 020 PALEMBANG,2020-2021,141,Negeri,78,8,6,38
ilir barat I,SD NEGERI 021 PALEMBANG,2020-2021,141,Negeri,515,26,18,38
ilir barat I,SD NEGERI 022 PALEMBANG,2020-2021,141,Negeri,205,11,7,38
ilir barat I,SD NEGERI 023 PALEMBANG,2020-2021,141,Negeri,633,32,22,38
ilir barat I,SD NEGERI 024 PALEMBANG,2020-2021,141,Negeri,569,14,16,38
ilir barat I,SD NEGERI 025 PALEMBANG,2020-2021,141,Negeri,653,24,21,38
ilir barat I,SD NEGERI 026 PALEMBANG,2020-2021,141,Negeri,318,16,12,38
ilir barat I,SD NEGERI 027 PALEMBANG,2020-2021,141,Negeri,189,11,8,38
ilir barat I,SD NEGERI 028 PALEMBANG,2020-2021,141,Negeri,335,15,12,38
ilir barat I,SD NEGERI 029 PALEMBANG,2020-2021,141,Negeri,87,6,6,38
ilir barat I,SD PALEMBANG HARAPAN,2020-2021,141,Swasta,422,29,18,38
ilir barat I,SD ADVENT II PALEMBANG,2021-2022,142,Swasta,88,6,6,39
ilir barat I,SD GLOBAL TALENT ISLAMIC SCHOOL & STUDIO,2021-2022,142,Swasta,107,7,6,39
ilir barat I,SD HARAPAN MANDIRI PALEMBANG,2021-2022,142,Swasta,132,8,6,39
ilir barat I,SD HIGHSCOPE INDONESIA,2021-2022,142,Swasta,39,8,5,39
ilir barat I,SD ISLAM AZ-ZAHRAH PALEMBANG,2021-2022,142,Swasta,901,43,34,39
ilir barat I,SD ISLAM TERPADU BINA ILMI PALEMBANG,2021-2022,142,Swasta,790,49,31,39
ilir barat I,SD ISLAM TERPADU FATHONA PAKJO,2021-2022,142,Swasta,35,1,3,39
ilir barat I,SD IT AULADI PAKJO PALEMBANG,2021-2022,142,Swasta,221,25,12,39
ilir barat I,SD IT IZZUDDIN PALEMBANG,2021-2022,142,Swasta,612,33,24,39
