Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel,Jumlah Sekolah
seberang ulu I,SD NEGERI 073 PALEMBANG,2022-2023,93,Negeri,178,10,7,16
seberang ulu I,SD NEGERI 074 PALEMBANG,2022-2023,93,Negeri,790,32,26,16
seberang ulu I,SD NEGERI 075 PALEMBANG,2022-2023,93,Negeri,505,21,17,16
seberang ulu I,SD NEGERI 076 PALEMBANG,2022-2023,93,Negeri,372,17,13,16
seberang ulu I,SD NEGERI 077 PALEMBANG,2022-2023,93,Negeri,241,12,8,16
seberang ulu I,SD NEGERI 078 PALEMBANG,2022-2023,93,Negeri,805,42,30,16
seberang ulu I,SD YP NURFAUZAN PALEMBANG,2022-2023,93,Swasta,86,4,6,16
seberang ulu I,SD IT MUSHAB BIN UMAIR,2023-2024,95,Swasta,74,10,6,16
seberang ulu I,SD MUHAMMADIYAH 02 PALEMBANG,2023-2024,95,Swasta,473,19,18,16
seberang ulu I,SD NEGERI 066 PALEMBANG,2023-2024,95,Negeri,209,14,11,16
seberang ulu I,SD NEGERI 067 PALEMBANG,2023-2024,95,Negeri,315,13,12,16
seberang ulu I,SD NEGERI 068 PALEMBANG,2023-2024,95,Negeri,420,20,18,16
seberang ulu I,SD NEGERI 069 PALEMBANG,2023-2024,95,Negeri,268,17,12,16
seberang ulu I,SD NEGERI 070 PALEMBANG,2023-2024,95,Negeri,397,16,13,16
seberang ulu I,SD NEGERI 071 PALEMBANG,2023-2024,95,Negeri,238,10,9,16
seberang ulu I,SD NEGERI 072 PALEMBANG,2023-2024,95,Negeri,747,31,25,16
seberang ulu I,SD NEGERI 073 PALEMBANG,2023-2024,95,Negeri,180,10,8,16
seberang ulu I,SD NEGERI 074 PALEMBANG,2023-2024,95,Negeri,791,37,26,16
seberang ulu I,SD NEGERI 075 PALEMBANG,2023-2024,95,Negeri,542,24,18,16
seberang ulu I,SD NEGERI 076 PALEMBANG,2023-2024,95,Negeri,337,16,13,16
seberang ulu I,SD NEGERI 077 PALEMBANG,2023-2024,95,Negeri,266,10,9,16
seberang ulu I,SD NEGERI 078 PALEMBANG,2023-2024,95,Negeri,727,41,28,16
seberang ulu I,SD YP NURFAUZAN PALEMBANG,2023-2024,95,Swasta,15,3,6,16
seberang ulu I,SD IT MUSHAB BIN UMAIR,2024-2025,96,Swasta,98,11,7,15
seberang ulu I,SD MUHAMMADIYAH 02 PALEMBANG,2024-2025,96,Swasta,407,21,16,15
seberang ulu I,SD NEGERI 066 PALEMBANG,2024-2025,96,Negeri,191,14,10,15
seberang ulu I,SD NEGERI 067 PALEMBANG,2024-2025,96,Negeri,324,17,14,15
seberang ulu I,SD NEGERI 068 PALEMBANG,2024-2025,96,Negeri,400,26,18,15
seberang ulu I,SD NEGERI 069 PALEMBANG,2024-2025,96,Negeri,294,16,13,15
seberang ulu I,SD NEGERI 070 PALEMBANG,2024-2025,96,Negeri,379,16,13,15
seberang ulu I,SD NEGERI 071 PALEMBANG,2024-2025,96,Negeri,267,13,10,15
seberang ulu I,SD NEGERI 072 PALEMBANG,2024-2025,96,Negeri,740,33,25,15
seberang ulu I,SD NEGERI 073 PALEMBANG,2024-2025,96,Negeri,188,9,8,15
seberang ulu I,SD NEGERI 074 PALEMBANG,2024-2025,96,Negeri,818,35,27,15
seberang ulu I,SD NEGERI 075 PALEMBANG,2024-2025,96,Negeri,608,24,20,15
seberang ulu I,SD NEGERI 076 PALEMBANG,2024-2025,96,Negeri,315,17,13,15
seberang ulu I,SD NEGERI 077 PALEMBANG,2024-2025,96,Negeri,265,10,10,15
seberang ulu I,SD NEGERI 078 PALEMBANG,2024-2025,96,Negeri,731,37,28,15
