Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel,Jumlah Sekolah
bukit kecil,SD NEGERI 140 PALEMBANG,2023-2024,38,Negeri,242,14,12,12
bukit kecil,SD NEGERI 141 PALEMBANG,2023-2024,38,Negeri,648,27,22,12
bukit kecil,SD XAVERIUS 04 PALEMBANG,2023-2024,38,Swasta,426,22,18,12
bukit kecil,SD ISLAM MAHAD DARUSSALAM,2024-2025,38,Swasta,127,13,8,12
bukit kecil,SD IT HARAPAN MULIA PALEMBANG,2024-2025,38,Swasta,701,53,24,12
bukit kecil,SD IT ROYAL ISLAMIC SCHOOL,2024-2025,38,Swasta,234,16,11,12
bukit kecil,SD KARTIKA II 3 PALEMBANG,2024-2025,38,Swasta,280,15,12,12
bukit kecil,SD MUHAMMADIYAH 01 PALEMBANG,2024-2025,38,Swasta,683,27,24,12
bukit kecil,SD NEGERI 136 PALEMBANG,2024-2025,38,Negeri,666,33,24,12
bukit kecil,SD NEGERI 137 PALEMBANG,2024-2025,38,Negeri,120,12,6,12
bukit kecil,SD NEGERI 138 PALEMBANG,2024-2025,38,Negeri,468,26,19,12
bukit kecil,SD NEGERI 139 PALEMBANG,2024-2025,38,Negeri,392,23,16,12
bukit kecil,SD NEGERI 140 PALEMBANG,2024-2025,38,Negeri,212,16,10,12
bukit kecil,SD NEGERI 141 PALEMBANG,2024-2025,38,Negeri,636,28,24,12
bukit kecil,SD XAVERIUS 04 PALEMBANG,2024-2025,38,Swasta,422,22,18,12
