Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel,Jumlah Sekolah
ilir timur II,SD NEGERI 058 PALEMBANG,2021-2022,85,Negeri,502,22,18,23
ilir timur II,SD NEGERI 062 PALEMBANG,2021-2022,85,Negeri,380,19,15,23
ilir timur II,SD NEGERI 063 PALEMBANG,2021-2022,85,Negeri,274,14,12,23
ilir timur II,SD NEGERI 064 PALEMBANG,2021-2022,85,Negeri,319,15,12,23
ilir timur II,SD NEGERI 065 PALEMBANG,2021-2022,85,Negeri,153,8,6,23
ilir timur II,SD SINGAPORE INDONESIAN SCHOOL PALEMBANG,2021-2022,85,Swasta,310,13,13,23
ilir timur II,SD TAMAN SISWA PENDAWA PALEMBANG,2021-2022,85,Swasta,115,5,6,23
ilir timur II,SD TAMAN SISWA SUNGAI BUAH PALEMBANG,2021-2022,85,Swasta,217,11,8,23
ilir timur II,SD XAVERIUS 03 PALEMBANG,2021-2022,85,Swasta,310,16,12,23
ilir timur II,SDIT BINA ILMI LEMABANG PALEMBANG,2021-2022,85,Swasta,359,23,15,23
ilir timur II,SD BINA WARGA PALEMBANG,2022-2023,86,Swasta,210,14,11,23
ilir timur II,SD IT BINA ILMI LEMABANG PALEMBANG,2022-2023,86,Swasta,395,33,16,23
ilir timur II,SD IT FATHONA LEMABANG,2022-2023,86,Swasta,101,12,7,23
ilir timur II,SD KARTIKA II 01 PALEMBANG,2022-2023,86,Swasta,131,12,7,23
ilir timur II,SD MUHAMMADIYAH 09 PALEMBANG,2022-2023,86,Swasta,296,16,13,23
ilir timur II,SD MUHAMMADIYAH 10 PALEMBANG,2022-2023,86,Swasta,270,16,11,23
ilir timur II,SD NEGERI 046 PALEMBANG,2022-2023,86,Negeri,201,12,8,23
ilir timur II,SD NEGERI 047 PALEMBANG,2022-2023,86,Negeri,671,22,21,23
ilir timur II,SD NEGERI 048 PALEMBANG,2022-2023,86,Negeri,568,28,21,23
ilir timur II,SD NEGERI 049 PALEMBANG,2022-2023,86,Negeri,109,8,6,23
ilir timur II,SD NEGERI 050 PALEMBANG,2022-2023,86,Negeri,603,15,20,23
ilir timur II,SD NEGERI 051 PALEMBANG,2022-2023,86,Negeri,222,13,10,23
ilir timur II,SD NEGERI 052 PALEMBANG,2022-2023,86,Negeri,137,7,6,23
